// key	CHARACTER_DESCRIPTION_
10200073	ผู้ค้าข้อมูลที่น่ารักที่สุดและทรงพลังที่สุดในประวัติศาสตร์ "ข้าแลกเปลี่ยนในข้อมูลทุกรูปแบบ!"
10200074	"ข้าคือสกัลด์ ข้าคือผู้กุมชะตาของโลกไว้ในมือ ข้าเก็บงำความลับที่จะนำไปสู่การทำลายล้างจักรวาล"
10200075	ข้าต้องการเจ้า ใช่ เจ้านั่นแหละ\จะพาข้าไปไหนก็ได้
10200076	อย่ายอมแพ้เชียวนะ ถ้าหากยอมแพ้ล่ะก็\ยูโทเปียของเราอาจจะหายสาบสูญไปก็ได้!
10200077	"โอ้ ข้าทำพลาดไปซะแล้ว! ท่านพอจะยกโทษให้ข้าได้ไหม มาสเตอร์"
10200078	เฮอร์คิวลิส ความท้าทายสุดทรหดที่ไม่มีใครหยุดลงได้ "จงพิสูจน์ว่าเจ้ามีตัวตนอยู่ด้วยพลังของเจ้าเอง!"
10200079	ดานู ฮีโร่ผู้เอาตัวเองเป็นศูนย์กลาง\คนดีหรือคนชั่ว ข้านี่แหละคือผู้ตัดสิน!
10200081	ทริกออร์ทรีต!\อ้าว ไม่กลัวเหรอ?
10200082	Trick or Treat!\ปีศาจน้อยผู้อ่อนโยนมาหยอกเจ้าแล้วน้า
10200083	ดูซะให้ดี! ช่างน่าตื่นเต้นจริงๆ ที่จะได้ระเบิดเจ้าให้กระจุยไปเลย!
10200086	หลอกหรือเลี้ยง!\ข้ามีเรื่องสนุกๆ มาเล่านะคะ อยากฟังไหม?
10200090	เจ้าคนอโลนตรงนั้นน่ะ! แฟรี่คริสต์มาสแสนน่ารักมาพบเจ้าแล้วนะ♪
10200091	เกียรติศักดิ์ศรีของราชินีมิได้เกิดจากมงกุฎ\เจ้าจะแบกรับน้ำหนักของมงกุฎไหวหรือ
10200094	เจ้าไม่ควรประมาทเมื่ออยู่ในน้ำ\ถ้าเจ้าไม่อยากกลายเป็นของเล่นของข้าน่ะนะ
10200096	เจ้าคนบาป กรรมชั่วที่เจ้าทำไว้\จะกลับมาหลอกหลอนในสักวันหนึ่ง
10200098	โทษทัณฑ์ของการแอบดูหญิงสาวอาบน้ำคือความตาย
10200100	อวตารของไชลด์จากแดนไกลโพ้น ผู้ร่อนเร่ราวกับล่องลอยไปตามสายลม
10200101	ให้ข้าเดาใจเจ้าดูไหม?\"เจ้าจำเป็นต้องมีข้า" ใช่ไหมล่ะ?
10200103	กรรรร! ข้าอยากมีเขี้ยวมาโดยตลอด\เพื่อจะได้ปกป้องสิ่งสำคัญของข้า!
10200104	กรรรร! ข้าอยากมีอาวุธมาโดยตลอด\เพื่อจะได้ปกป้องสิ่งสำคัญของข้า!
10200107	ผู้พิทักษ์สวรรค์ที่มีชีวิตอยู่เพื่อทำให้ดอกไม้ของฮาเดสบาน
10200108	ไปข้างหน้าเลย!\ข้าจะคอยระวังหลังให้!
10200111	"เจ้าดูมีความสุขนะ ไหนลองทำหน้าสนุกมากกว่านี้ ให้ข้าดูหน่อยสิ"
10200112	มังกรโลหิตกษัตริย์เพลิง เปลวเพลิงสีแดงที่ซ่อนเร้น คือสีแห่งความคลุ้มคลั่ง
10200113	พวกมันจะดุร้ายเมื่อถูกฉีดน้ำใส่ แต่ทุกคนรู้ดีว่าไม่ควรทำให้ผมหยิกต้องเปียกปอน!
10200114	อย่าสนใจข้าเลย!\ข้าแค่กำลังตามหานางในฝัน
10200115	เจ้าผู้ซึ่งปีนป่ายอยู่บนยอดเสาของผู้ตาย!\ผู้กล้าปลุกฟาโรห์จากการบรรทม!
10200118	ไม่ว่าข้าจะอยู่หรือตาย มันไม่สำคัญกับข้าเลย!
10200119	ไม่ต้องห่วง\กฎมีไว้ให้แหก!
10200121	ลอร์ดแมมมอน ประสงค์ของท่านคือบัญชาข้า!\...ขอแค่อย่าเกินค่าจ้างของข้าก็แล้วกัน
10200122	ข้าหวังจริงๆ นะว่าจะไม่ต้องเจอเจ้าอีก...\เอาล่ะ สวัสดี ข้าคือผู้รับคำสั่ง เฮล
10200123	สวัสดีค่ะ ข้าชื่อลอเฟย์\ฝากทักทายท่านโลกิด้วยนะคะ
10200124	ข้าขออวยพรให้เจ้าพบกับความสุข\แต่ถ้าไม่พบก็อย่าโทษข้าละกัน
10200125	ข้าจะตามหาแดนสวรรค์\สถานที่ที่มีแสงสว่างนิรันดร์สาดส่องเพื่อข้าเพียงคนเดียว
10200127	"ท่านคือมาสเตอร์คนใหม่ของข้าเหรอ ข้าขอโทษที่ไม่มาให้เร็วกว่านี้"
10200129	"ความตื่นเต้นที่เกิดขึ้นสดๆ ร้อนๆ! ตื่นเต้นยิ่งกว่าแชนแนลอีวิล!"\ดอกไม้ปีศาจตนใหม่ นาตาลิสมาแล้วค่ะ
10200130	บัทเลอร์ผู้น่าสงสารที่ยังไม่อาจหามาสเตอร์ที่คู่ควรจะรับใช้
10200131	ข้าจะแสดงให้ดูว่านักเต้นที่เก่งที่สุดเป็นยังไง\นักเต้นผู้พยายามเป็นที่หนึ่งเสมอ
10200132	ข้าจะเป็นดาบที่มั่นคงของท่านรูฟัส
10200133	เจ้ามาเล่นสนุกกับข้าได้มั้ย?\ข้าไม่อยากได้ความรักหรือความเชื่อใจทั้งนั้น แม้แต่มิตรภาพก็ไม่อยากได้
10200135	น้อมรับคำสั่งค่ะ ท่านรูฟัส
10200137	จากนี้ไป เจ้าเป็นเจ้าสาวของข้าแล้ว\ข้าสาบานว่าจะปกป้องเจ้า
10200138	ค่ำคืนที่เงียบสงัด ค่ำคืนอันศักดิ์สิทธิ์...\ไม่เห็นไชลด์หรือปีศาจเลย...
10200139	ท่านจะไปไหนคะ ท่านลูกค้าตัวน้อย? ไม่มีทางหนีหรอก
10200142	เห็นกวางเรนเดียร์ของข้าไหม?\มาช่วยข้าหาทีสิ!
10200143	เจ้าเชื่อใจข้าได้ทุกเรื่องน่า!\ข้าจะทำทุกอย่างให้เรียบร้อยตามที่เจ้าต้องการ
10200144	คำเตือน! ถ้าข้าเป็นเจ้า ข้าจะรีบหนีไป...\ข้าคือจาชองบี วีรสตรีแห่งการต่อสู้
10200148	เด็กๆ มีพรสวรรค์ในการ\ค้นพบความลับ
10200151	วันนี้เราคงได้บิดมอเตอร์ไซค์กันมันเลย ไอ้น้อง!\พยากรณ์อากาศแจ่มใส มีโอกาสชนแล้วหนี!
10200153	หนูจะช่วยให้พี่กลายเป็นราชาปีศาจเอง\พี่ปีศาจ
10200154	เคปรี เทพมรณะผู้โหดร้ายและนักล่าปีศาจ
10200155	"ถ้าเค้กไม่หวานแล้วจะกินไปเพื่ออะไร"
10200158	บอกมาว่าเจ้าอยากเห็นอะไร\ข้าอาจให้เจ้าดูก็ได้...
10200159	บอกมาสิว่าต้องการรูปโฉมแบบไหน!\ข้าจะทำให้ความปรารถนาของเจ้าเป็นจริงทุกประการ ตราบใดที่สามารถทำได้นะ
10200160	นี่เป็นช่วงเวลาที่ดีจริงๆ เลยว่าไหม?\ขอให้วันนี้เป็นวันที่สงบสุขด้วยเช่นกัน
10200161	ไม่มีใครได้อะไรมาฟรีๆ หรอก\เจ้าจะให้อะไรกับข้าเพื่อแลกกับความปรารถนาของเจ้า?
10200162	ความตายนั้นไม่อาจหลีกเลี่ยงได้\หากแต่ชีวิตนั้นเต็มไปด้วยโอกาสมากมาย
10200164	สวัสดีค่ะ! ข้าคือลูน่า แสงจันทราที่จะสาดส่องไปที่ท่าน\ข้าเฝ้ารอวันนี้มาตลอด ♬
10200167	โชคของผู้เริ่มต้นคือพลังที่แท้จริงที่ต้องต่อกรด้วย!\ข้าอาจจะเป็นน้องใหม่ แต่ข้าพร้อมที่จะต่อสู้ค่ะ!
10200168	เดินทางไปจนสุดขอบโลกปีศาจ!\วิ่งไปสู่อ้อมแขนของโมนา!
10200169	ความกล้า 1% พลังแห่งความมุ่งมั่นอันแรงกล้า 99%!\มาระเบิดชายหาดด้วยกันเถอะ!
10200170	ยิ่งเสี่ยง ยิ่งได้รางวัลมาก!\อยากจะลองดูไหม
10200171	ข้าส่งสัญญาณอยู่นะ! ครั้งนี้ห้ามพลาดอีกล่ะ!
10200172	เอ็กโซซิสต์ผู้มีพลังอำนาจสูงสุดในหมู่อัครสาวกทั้งสิบสองคน
10200173	ความสงบสุขมาจากสถานที่เงียบสงบ \แพน ผู้พิทักษ์แห่งท้องทุ่ง
10200174	ช่วงเวลาแบบนี้เนี่ยล่ะที่ข้ารู้สึกมีชีวิตชีวามากที่สุด\ข้าจะเปล่งประกายกว่าใครๆ เพื่อเจ้าคนเดียว
10200175	ข้าจะร้องเพลงสุดฝีมือเพื่อเจ้า\ไม่ว่าเจ้าอยู่ที่ไหน!
10200176	เจ้าหญิงแห่งสวีตเดวิมาแล้วค่ะ!\หนึ่ง สอง ไป! สวย น่ารัก เซ็กซี่สตรองค่า~★
10200177	นี่คือช่วงเวลาที่ข้าจะเปล่งประกาย\ข้าฝากให้เจ้าช่วยเหลือด้วยนะ!
10200179	อย่าร้องไห้เลยนะ ข้าจะบอกเหตุผลให้ฟัง เพราะซานตาคลอสไม่ชอบเวลาที่เจ้าทำตัวน่ารำคาญน่ะ
10200180	"ความหวังของข้าคือปกป้องเจ้า ข้าจะปกป้องรอยยิ้มนั้นบนใบหน้าของเจ้า"
10200181	สู้เพื่อเกียรติยศ! หอกที่มีอานุภาพทะลวงสวรรค์!
10200182	นักร้องสาวอิเล็กทรอนิกส์อยู่นี่แล้ว! เสียงใสดุจนางฟ้าของเธอจะกล่อมให้ปีศาจเถื่อนสงบลง
10200183	มิโกะแห่งศาลเจ้านกกระเรียนหงอนแดงยืนสง่าอยู่ท่ามกลางดินแดนที่หิมะปกคลุม
10200184	หญิงสาวผู้นี้หลุดพ้นจากความปรารถนาทางโลกทั้งปวง หลังจากถูกลวงโดยศาสนาจอมปลอม
10200185	"จงซื่อตรงต่อตนเอง สัมผัสถึงความรักอ่อนหวานในใจของเจ้า"
10200186	อาวุธพลังแสงอาทิตย์จากอนาคตที่ออกแบบมาเพื่อกำราบราชาปีศาจ "มือปราบปีศาจหน่วย 1 ลิซ่า ประจำการ!"
10200188	ทุกอย่างไม่จำเป็นต้องสมบูรณ์แบบ\เพราะการเบี่ยงเบนจะช่วยปกปิดความอ่อนแอไว้ได้!
10200189	ความมุ่งมั่นของข้าและความกรุณาของท่านจะทำให้ความฝันกลายเป็นจริงค่ะ
10200190	อรุณสวัสดิ์ค่ะ\วันนี้ข้าจะสั่งยาความสิ้นหวังให้กับท่าน~
10200191	โฮะ โฮะ โฮะ โฮะ โฮะ! คุกเข่าต่อหน้าราชาปีศาจดาบิซะ!
10200193	เจ้าอยากได้พลังมั้ยล่ะ?\ผู้ส่งสาส์นที่มีปีกสีดำที่เกิดมาพร้อมความปรารถนา
10200194	ย้าฮู่! ฮ่าฮ่าฮ่า! ข้ารู้สึกดีมาก!\เงินทอง ชื่อเสียง อะไรก็ตามที่ทำให้ข้ามีหน้ามีตา ข้าชอบทั้งนั้น!
10200196	ในที่สุดก็มาถึง\วันที่ข้าจะได้แต่งงานกับลูกค้าตัวน้อย ♥
10200197	เราจะตามหาความสุขของเจ้าด้วยกัน!\แต่งงานกันเถอะ!
10200198	พระอาทิตย์ของข้า จิตวิญญาณของข้า\มอบชีวิตของเจ้าให้ข้าเถอะ
10200199	ปกป้อง UV เรียบร้อย!\อยู่กับโมนาตามลำพังในฤดูร้อนสุดฮ็อต
10200200	ถึงเจ้าไม่ว่ายน้ำเป็นก็ยังสนุกกับฤดูร้อนได้ คิกคิก... ทำหน้าแบบนั้นทำไมคะ?
10200201	จงดูไว้ เสน่ห์รูปแบบใหม่เอี่ยมอ่อง!\ดาบิไม่กลัวรังสีความร้อนที่เจิดจ้าท่ามกลางฤดูร้อน!
10200202	คราวนี้ข้าจะขโมยหัวใจของเจ้า\ด้วยเสน่ห์ของข้า!
10200205	เฟรย์ เจ้าทึ่มน่ารำคาญนั่น...!\แล้วชุดเดรสบ้าบอนี่มันอะไรกันคะ?!
10200206	เราพบกันอีกแล้ว!\นี่ข้าไง เฟรย์ผู้ฟื้นคืนชีพที่น่าทึ่ง!
10200207	ข้าปรารถนาความสิ้นหวังและการทำลายล้าง...\เพื่อให้ทั้งหมดกลับคืนสู่ความว่างเปล่า
10200208	โล่ที่แข็งแกร่งนี้คือการจุติของข้า\ข้าคือโล่ของมาสเตอร์
10200211	แกะไม่ฉงนใจ\ว่ามีหมาป่าตัวหนึ่งอยู่ในฝูง
10200212	ข้าคือยามิ ดอกไม้แห่งความตายอันน่าสะพรึงที่หยั่งรากอยู่ในห้วงลึก...\โอ๊ะ ข้าทำให้เจ้ากลัวเหรอ
10200213	หลอกหรือเลี้ยง!\ข้ามีของขวัญที่เจ้าเห็นแล้วต้องตกใจแน่!
10200214	พี่โมนา ข้าอยู่ที่นี่
10200215	ข้ารักเธอ แต่ก็เกลียดด้วย…\ความสิ้นหวังอันมืดมนก่อกำเนิดจากหัวใจที่สับสน
10200216	ข้ารับใช้ของปีศาจตัวน้อย\ข้าจะสนุกกับทริปวันหยุดแบบผู้ใหญ่นี่ให้สุดเหวี่ยงไปเลย!
10200217	สงสัยจริงๆ ว่าตอนนี้ข้ายังขาดอะไรไปนะ...\
10200218	สาวในชุดนักเรียนแสนลึกลับ\เจ้ากับข้าไปเที่ยวทริปดีๆ ในวันหยุดยาวด้วยกันเถอะ
10200219	เอาชนะอดีตอันมืดมิด…\มุ่งหน้าสู่แสงสว่างสดใส!
10200220	พลังเวทมนตร์ของข้าสูงสุดแล้ว!\เมดบ์มีพลังแค่ไหนเดี๋ยวเจ้าก็รู้ ♪
10200221	ใครมีหูจงฟังเถิด!\อ๊ะ เจ้าก็รู้ว่าปีศาจอย่างเจ้าไม่มีสิทธิ์ใช่มั้ย?
10200222	นับจากนี้ไป เจ้าจงเป็นเจ้าสาวของข้า\ข้าสาบานว่าจะปกป้องเจ้า
10200223	หือ? ข้าอยู่ที่ไหนเนี่ย?\อีฟไม่มีเซนส์เรื่องทิศทางเหมือนเคย
10200225	ข้าจะอ่านคำทำนายของเจ้าในปีนี้ให้ฟังดีมั้ย?\ว่าจะอยู่? หรือตาย?
10200227	โอ๊ะ สวัสดีครับ!\ข้าชื่อเลโอ เป็นผู้ช่วยของท่านอีฟครับ
10200229	นี่ทุกคน ข้าเอาของขวัญมา!\ให้พวกเจ้า!!!
10200230	ไปให้พ้นซะ!\หลีกทางให้จาชองบีหน่อย!
10200231	ฝากไปบนปีกผีเสื้อ...\ได้ยินเสียงข้ามั้ย? ข้าอยู่ที่นี่…
10200232	เจ้าหญิงเสด็จจากเบื้องบนลงมาบนโลก\พร้อมหิมะตกสีขาวบริสุทธิ์
10200233	ข้าคือผู้สร้างโลกใบนี้\ดวงดาวที่อยู่สูงสุด และข้าคือพระเจ้าของเจ้า
10200234	เจ้าคิดว่าจะหนีลูกธนูของข้าพ้นงั้นหรือ?!
10200235	เจ้าเท่มากเลยยย!
10200236	ข้าคือแมวป่า\ข้าอาศัยอยู่ในทุ่งหญ้าสะวันนา!
10200237	เพื่อเกียรติยศและศักดิ์ศรีแห่งท่านรูฟัส!
10200238	ให้ข้าจัดการเอง!
10200239	ข้าจะกิน แล้วก็กิน\แล้วก็กินให้หมดเลย ♥
10200240	ข้าไม่รู้เลยว่าเมื่อไหร่ที่ข้าลังเลและเอาแต่เฝ้าดู\แต่ทุกคนที่กำลังเชียร์อยู่ ช่วยได้มากเลยเมี้ยว!
10200241	ข้าจะให้โอกาสเจ้าได้พูด\อ้อนวอนขอชีวิตอย่างสุดความสามารถสิ
10200242	นี่คือพระประสงค์ของพระเจ้า\จงฟังวาจาของพระเจ้า
10200245	พวกเราในฐานะไลบราเรียมขอสาบานว่าจะจับมัจจุราชให้ได้
10200246	ขอเตือนเจ้าไว้เลยนะ...! ข้ายั้งมือไม่เป็น
10200247	บอกข้าซิ สิ่งที่เจ้าปรารถนาคืออะไร!
10200249	มือปืนฉีดน้ำเดียวดาย\กระบอกปืนของบิลลี่คำราม!
10200250	มือปืนฉีดน้ำผู้เก่งกาจ\กระบอกปืนของแอนนี่เห่าหอน!
10200251	กลางคืนคือเวลาที่โลกใบนี้เชื่อมต่อกับโลกอีกมิติ…\หากไม่ปิดตาไว้ล่ะก็ เจ้าอาจจะหลงไปทางนั้นก็ได้
10200252	เจ้าน่ะ! เราสบตากันแล้ว\ยอมรับซะดีๆ แล้วเอาเนื้อมาให้ข้า
10200253	ข้าจะไม่ปล่อยให้ผู้ที่แหกกฎรอดไปได้!
10200254	การแต่งงานเป็นแค่ "ประเพณี" ใช่มั้ย?\ถามจริงเหอะ ใครอยากจะถูกผูกมัด?
10200255	เจ้านอกใจข้าใช่มั้ยล่ะ?\เจ้ายอมรับแล้วสินะ?
10200256	ไม่เป็นไรๆ\จงรู้ไว้ว่าข้ายินดีช่วยเจ้าเสมอนะ
10200257	ในที่สุดก็เจอตัวเจ้าแล้ว ปีศาจร้ายของข้า\ที่รัก เสื้อผ้าของเจ้า... เจ้าจะ อืม ไม่เป็นไร!
10200259	ข้าคือดาบของพระองค์\คำสาปอันศักดิ์สิทธิ์ของพระองค์ที่โปรยปรายลงมาในวันพิพากษา
10200260	ข้าไม่อยากเสียเวลาในชีวิต ดังนั้น!\เริ่มจากแต่งงานกันเลยนะ
10200262	นายท่าน…นายท่าน!\ท่านทอดทิ้งข้าทำไม?
10200263	อากาศเริ่มหนาวจนเย็นเยือกแล้วสินะคะ\แต่ไม่ต้องห่วง ฤดูใบไม้ผลิกำลังจะมาแล้วค่ะ
10200264	หาตัวแล้ว!\ชีวิตของเจ้าอยู่ในกำมือข้าแล้วล่ะ!
10200265	เจ้าอาจจะชนะหรือไม่ก็แพ้\แต่เจ้าจะไม่มีวันรู้จนกว่าจะลองเสี่ยงดู
10200266	ดวงจันทร์คือเทพธิดาแห่งความบ้าคลั่ง\ปีศาจปลุกความโกรธเกรี้ยวในตัวข้า
10200267	หัวหน้า ท่านโชคดีเหลือเกิน\ที่ได้รับความสนใจมากมายจากคนน่ารักๆ อย่างข้า
10200268	ใครเป็นคนกำหนดกันว่าผู้หญิงต้องให้ช็อกโกแลตในวันวาเลนไทน์กัน?\ข้าก็อยากได้ช็อกโกแลตเหมือนกันนะ!
10200269	อัตราการเกิดลดลงไม่ใช่เรื่องล้อเล่นนะ!\ได้โปรดช่วยข้าด้วยเถอะ!
10200270	คิดว่าไงคะ คุณปีศาจ?\ลูกอม ช็อกโกแลต และชุดเมดของข้าดูเป็นยังไงคะ?
10200271	ช่วยสอนให้ข้ารู้จักความรักได้มั้ยคะ?
10200272	เจ้าจะเปิดเผยความรู้สึกของตัวเองให้คนอื่นรับรู้ได้เมื่อมีช็อกโกแลตนะ\เพราะว่านั่นคือรสชาติของความรักยังไงล่ะ
10200273	อีกไม่นานเราจะจัดพิธี\สาบานรักนิรันดร์ต่อกันและกัน
10200274	ความกล้าหาญมอบความหวังให้ข้า\ความหวังมอบความรักให้เจ้า
10200275	ชีวิตก็เป็นแค่ความฝัน\โมนากำลังฝันแบบไหนกันนะ?
10200277	ข้าคือเงาของเทพี ถ้าเจ้าปรารถนาจะได้เห็นข้าล่ะก็\จงเข้าสู่ความมืดมิดที่กลืนกินทุกสรรพสิ่ง
10200278	ไม่ต้องห่วง\ไม่มีอะไรที่ข้าทำไม่ได้
10200279	นางคือภูตผีแห่งเมืองผู้เงียบกริบและไม่ทิ้งร่องรอยใดๆ\ภายใต้ความมืดมิดยามค่ำคืน นางจะฉุดกระชากเอาดวงดาวที่สวยที่สุดบนฟากฟ้าลงมา
10200280	ในโลกนี้ที่ความยุติธรรมค่อยๆ หดหายไป\ข้าจะเป็นผู้นำความหวังมาสู่ผู้คนเอง!
10200281	ข้าชดใช้บาปของตัวเองแล้ว\นรกคือทุกที่ที่ข้าอยู่
10200282	ที่ไหนมีจอมโจร ที่นั่นมีสมบัติ!\อุ๊ย คำพูดติดปากนี้ฟังดูแย่รึเปล่า?
10200283	กลิ่นหอมเกินห้ามใจ!\เลือดของเจ้า…ขอชิมหน่อยได้มั้ย?
10200284	นางซ่อนตัวอยู่ที่ไหน? น่าจะอยู่ที่นี่นะ\ข้าอยากเจอนางเหลือเกิน
10200285	ที่เราเรียกกุหลาบนั้น แม้เรียกว่าอย่างอื่น\ก็หอมรื่นอยู่เหมือนกัน
10200286	อย่างน้อยก็ทำให้ข้าสนุกหน่อยได้มั้ย?
10200287	ข้าจะสนุกสุดเหวี่ยงไปเลย ♪
10200288	ข้าจะกลืนกินความทุกข์และกำจัดความเจ็บปวดของเจ้า
10200289	ข้าคือปีกของเจ้า เงาของเจ้า และข้าจะเป็นลมใต้ปีกเจ้า\ข้าจะคอยปกป้องและอยู่เคียงข้างเจ้าตลอดไป
10200290	เขาว่ากันว่าความรักร้อนแรงกว่าเพลิงนรก!\ตราบใดที่ทิวัซมีชีวิตอยู่ ความรักของข้าจะไม่มีวันจางหายไป
10200291	เรื่องหัวใจเราไม่มีสิทธิ์เลือกหรอก\แม้แต่ข้าเองก็หักห้ามใจไม่ได้…
10200292	สนุกจริงๆ\ที่ได้มองดูเจ้าดิ้นรนพยายามเอาชนะข้า
10200293	การตัดสินใจอย่างรีบร้อนคือการตัดสินใจที่ใช้ไม่ได้\เราต้องคิดล่วงหน้าเสมอ
10200294	ยินดีต้อนรับ อยากทำอะไรท้าทายมัจจุราชมั้ย?
10200295	สุดท้ายแล้วแม้แต่โจรที่เก่งกาจที่สุด\ก็ยังทิ้งร่องรอยไว้
10200296	ล็อกประตูให้ดี\ค่ำคืนมาถึงแล้ว
10200297	หากเจ้าเป็นจุดเริ่มต้นของข้า\ข้าก็อยากเป็นจุดจบของเจ้า
10200298	แม้ว่าทุกคนในโลกจะหนีจากเจ้าไป\ข้าจะอยู่กับเจ้าเอง
10200299	กำจัดทุกอย่างที่ไร้ความหมายเสียเถอะ\อีฟท่องไปจนสุดโลก
10200300	ทั้งอดีตและอนาคตก็มีความสำคัญแค่เท่ากับฝุ่นผงเพียงกำมือเดียวมาสนุกกับปัจจุบันกันเถอะเพื่อน
10200301	นางยินดีที่จะตายเพื่อมาสเตอร์\เพียงแต่ว่าเขาต้องมีค่าพอที่นางจะสละชีวิตให้
10200302	ความปลอดภัยของท่านสำคัญกว่าของข้านะคะ มาสเตอร์
10200303	ข้าแข็งแกร่งที่สุด!\ไม่มีใครในโลกนี้จะหยุดข้าได้!
10200304	ผู้บุกรุกสวนของราชินี\จงคุกเข่าต่อหน้านางอย่างเงียบงัน
10200305	ข้าจะกลืนกินทุกสิ่งทุกอย่างที่มีชีวิต\นี่คือนรก
10200306	ข้าฟังเสียงหัวใจของเจ้า\เจ้าจะยอมฟังเสียงหัวใจของข้ามั้ย
10200307	อย่ายอมแพ้ต่อความฝันของเจ้า!\เรามาพยายามให้ถึงที่สุดและทำให้มันเป็นคอนเสิร์ตสุดเจ๋งตลอดกาลกันเถอะ!
10200308	พวกเราหวังว่าเพลงนี้จะ\มอบความเข้มแข็งให้เจ้า
10200309	สวย น่ารัก เซ็กซี่ ☆\เจ้าหญิงมาร์ส♥ จะมาทำให้พวกเจ้าใจเต้น
10200310	แสดงความรักและการสนับสนุนให้วีนัส♥ ดูหน่อยได้มั้ยคะ?\มามันสุดเหวี่ยงกันเหอะ!
10200311	ถึงเวลาที่แสงสว่างจะปรากฎตัวแล้ว\สวัสดี ทุกคน! ดีใจจังเลยที่ได้เจอเจ้าอีก!
10200312	เสียงค้อนกระทบโลหะและเปลวไฟ\แล้วชีวิตจะต้องการอะไรอีก
10200313	ลืมอดีตอันโศกเศร้าและเชิดหน้าขึ้นซะ\อนาคตของเจ้าสดใสไม่ต่างอะไรกับท้องฟ้าเบื้องบน
10200327	สวัสดีเจ้าเพื่อนโง่\มาดูกันว่าเจ้าจะเล่นด้วยสนุกแค่ไหน
10200328	อย่าซึมไปเลย\ชีวิตสั้นเกินไปที่จะจริงจังตลอดเวลา
10200331	ล้อข้าเล่นหรือเปล่าเนี่ย? เจ้าไม่ได้แย่สักหน่อย\นั่นก็แค่ข้อแก้ตัว
10200332	เจ้าไม่ชอบผู้หญิงน่ารักๆ\แสนเพอร์เฟคอย่างข้าได้ยังไง? ♡
10200333	สิ่งที่ข้าต้องการในการต่อสู้\ก็คือเพื่อนและปืนกระบอกใหญ่ๆ!
10200334	ถึงเจ้าจะต่างจากคนอื่น ก็ไม่เป็นไร\ข้าจะอยู่ข้างเจ้าเสมอ
10200335	ข้าจะครองสนามรบให้ได้แม้ในสถานการณ์ที่เสี่ยงที่สุดก็ตาม!
10200337	ข้าคือความมืดของเจ้า\เงาที่คอยอารักขาแสงของเจ้า
10200338	จะได้รู้กันว่าใครคือกษัตริย์ตัวจริงกันแน่
10200340	คนตาบอดก็ยังตาบอดอยู่ดี\เจ้าแกะที่น่าสงสาร ให้ข้านำทางเจ้าสิ
10200344	เมสเซียร์ เจ้าหญิงแห่งปูเตนา ได้เสด็จมา\ช่วยเหลือผู้ที่สิ้นหวังและก่อตั้งจักรวรรดิใหม่!
10200345	อะไรบ้างที่ข้าจะไม่ยอมสละเพื่อย้อนกลับไปยังวันเก่าๆ\ที่เต็มไปด้วยเรื่องที่มีความสุขกันล่ะ?
10200346	ข้าอยากกินอะไรก็ได้ ไก่ทอดก็ดีเนอะ?\เบอร์เกอร์ก็ดูน่าอร่อย... โอ้ หรือจะกินพิซซ่าดีนะ?
10200347	เหมียวเหมียว\อยากจะเป็นเพื่อนกับข้าเหรอ
10200348	เรียกข้าได้ทุกเมื่อที่เจ้าต้องการ\ข้าจะช่วยเจ้าเอง!
10200349	ความจริงจะไร้ความหมายหากปรากฏออกมา\และจะมีค่าอย่างยิ่งเมื่อไม่ปรากฏ
10200350	น่ารำคาญชะมัด\เข้ามาพร้อมกันให้หมดเลย
10200351	ข้าไม่รู้ว่าทำไมข้าถึงมาที่โลกนี้\ข้าต้องพยายามหาคำตอบให้ได้
10200352	ข้าคิดว่าเจ้าก็ไม่ได้แย่ขนาดนั้นหรอก\ข้าจะช่วยเจ้าตราบใดที่ข้ายังอยู่ในโลกนี้
10200353	การยึดติดทำให้เกิดความเศร้า และความเศร้าทำให้เกิดโทสะ\ผู้คนโง่เง่าเอ๋ย จงใช้ชีวิตตามที่ชะตาลิขิตเถิด
10200354	โชตชะตาไม่สำคัญหรอก\ทางเลือกของข้า ข้าจะเป็นคนตัดสินใจเอง
10200355	รินโกะต้องการข้า
10200356	เจ้าสบายดีมั้ย?\คุยกันหน่อยมั้ยล่ะ?
10200357	ใครอยากจะแข่งกับข้ามั้ย?\เตรียมตัวแพ้ได้เลย!
10200358	เจ้าบอกไม่ได้หรอกว่าการแข่งขันจะ\จบลงแบบไหนจนกว่าจะไปถึงเส้นชัย
10200359	ข้าเบื่อจังเลย...\อยากมาดื่มกับข้ามั้ยคะ?
10200360	ข้าจะตะบันหน้าเจ้าให้แรงจนเจ้าไปยุ่งกับใครไม่ได้อีกเลย
10200361	เพื่อนข้า พี่น้องข้า ผู้ช่วยชีวิตข้า\แม้แต่ตอนนี้ ข้าก็ยังรอพวกเจ้าในเวลาที่สูญเสียไปตอนนั้น
10200362	ข้ารับใช้แห่งนรกอันเน่าเหม็นเอ๋ย ตอนนี้ได้เวลา\ที่เจ้าจะหายใจเฮือกสุดท้ายแล้ว ไม่คิดแบบนั้นเหรอ?
10200363	ข้าไม่ค่อยเข้าใจความรักหรอก\แต่ถ้ามันทำให้ทูรันมีความสุขได้ล่ะก็...
10200364	ข้ารักเขามากจริงๆ\ข้าไม่เสียใจเลยกับสิ่งที่ข้าเลือก
10200365	เจ้าแกะโง่ เข้ามาอยู่ในรั้วของข้าซะ
