// key	CHAT_SPA_
sc001_spa_1	呼…沒什麼比寵愛自己一下更好的了♥
sc183_spa_2	你問我是否還記得我的契約者？你真蠢，但就讓我來回答你好了。人類的生命如同泡沫一般——一轉眼就消逝不見。因此我將所有不再需要的東西都拋下了。
sc183_spa_3	那些Child都在這個溫泉裡面治病嗎？真可憐。真是太可憐了。
sc183_spa_4	小惡魔，有些瑣事正困擾著你的心。你先放下心中的憂慮，來我旁邊休息吧。
sc183_spa_5	彎下你的膝蓋、低下你的頭，並獻上祈禱文來讚美我！服從我命令的人才能夠得到快樂！
sc183_spa_max	我會長伴你左右。在我面前跪下來祈求吧。當你尋求幫助時，女神的祝福就會降臨。
sc184_spa_1	說到天堂的話，這裡就是不錯的一個。\啊，這感覺真好…♪
sc184_spa_2	我想要放棄魔王爭奪戰，到其他遙遠的地方！也許是時候該計畫我第1254次逃跑了。
sc184_spa_3	如果戰鬥結束的話，和平也會降臨，那我就會開始一趟尋找樂園的旅程。
sc184_spa_4	什麼？你要跟我一起逃跑嗎？也許也丟下你的魅魔們？我可是十分贊同喔。唷~呵~呵~！♪
sc184_spa_max	下次你感到疲累的時候，試著想想樂園的模樣。你說根本就沒有這種地方嗎？講得好像我不知道一樣！樂園是你自己要打造的。
sc186_spa_1	這讓我心情很好。看來要給一些點心了。
sc186_spa_2	狗狗會喜歡溫泉嗎？\你別想進去。\去幫我找杯冷飲什麼的。
sc186_spa_3	真是的，我應該帶小可愛來的。\哈哈，你吃醋了嗎？
sc186_spa_4	別讓溫度降低了。\你知道反抗我會發生什麼事吧？
sc186_spa_5	這個項圈是專屬於你的。\你看，你比小可愛還特別喔。
sc186_spa_max	我覺得該是我承認\你是世界上最棒主人的時候了。\畢竟，還有誰能馴服我呢？呵呵…
sc187_spa_1	在這裡應該看不到我的眼淚，對吧？
sc187_spa_2	梅迪，妳小聲一點好嗎？妳這麼吵，我頭都快要炸了。
sc187_spa_3	我的內心充滿了如海洋般深邃的悲傷。無法逃離，因為我自己就是那片海洋。
sc187_spa_4	請跟梅迪說……她的溫暖安慰了我。
sc187_spa_5	安靜地待在我身邊就好。這樣就夠了。
sc187_spa_max	我的過去是一連串的不幸，但從現在開始和你相處的時光，也許會帶給我快樂。我很期待呢。
sc188_spa_1	哇…這感覺就像我的身體融化了一樣…
sc188_spa_2	我終於有證據了！這就跟抓到犯人差不多了！而犯人…就是你，惡魔！
sc188_spa_3	哼！你以為你那麼明顯的謊言就可以騙過我嗎？哈！等等…其實，你好像有點道理。
sc188_spa_max	壞人的報應嗎？就是正義的鐵鎚！沒錯。我的任務就是要把他們心中的邪惡給打出來！
sc189_spa_1	我希望你能一直帶我去像這樣的地方。
sc189_spa_2	啊，你不要逃走啊！你這次是逃不掉的！…你問我為什麼要追著你嗎？你的罪行就是不知道為什麼我要追著你！
sc189_spa_3	我才不在乎你喜不喜歡—你就面對現實吧！如果不是你每次都想逃跑的話，我也不用像這樣跟著你啊！
sc189_spa_max	等我抓到你之後要怎麼做？我會保護你不受霸凌！…咦？有什麼好笑的？
sc190_spa_1	女演員的肌膚就跟她的演技一樣重要。\啊，這對肌膚來說一定會是個奇蹟♪
sc190_spa_2	最近到處都是狗仔。真是煩死人了。演員的私生活應該保有隱私。
sc190_spa_3	我印象最深刻的角色嗎？應該是有一次我演一個因高血壓而昏倒的公司總裁。
sc190_spa_4	主人，你看起來像個白癡一樣站在電視前面流口水。啊，我真是受不了了！我的節目不可能比雞肉料理節目還要差吧！
sc190_spa_max	演戲既不是虛假也不是真實。演員必須要投入角色情節。當我在演戲的時候，這就是我的現實生活。
sc191_spa_1	嗯，這感覺真好！
sc191_spa_2	想知道我的力量是從哪裡來的嗎？熱情！競爭！絕對的自信！像你這樣的小鬼，是不可能擁有這種力量的。
sc191_spa_3	讓我來告訴你我的秘密。我力量的真正來源是我的頭髮。沒錯，如果你把我的頭髮剪掉，我的力量就跟其他傢伙沒兩樣了。\哈哈！你真的相信了嗎？
sc191_spa_max	這是我的責任！我寧死也不願違背承諾。你可以信任我，小子。
sc193_spa_1	呃！\退後！\惡魔，別再靠近了！
sc193_spa_2	就惡魔來說，這真是厲害。\誰能想到你們能做出這樣的溫泉呢。\啊……
sc193_spa_3	是誰說你可以\跟我裝熟的？！\還有別笑的那麼大聲！\如果其他人看到了，\會認為我們是朋友的！
sc193_spa_4	我覺得你誤會了。\我會跟你訂契約，都是為了老師。\不要對我指手劃腳的！\但如果是請求的話，那就另當別論了。
sc193_spa_5	老師的病……存在於他的心裡。\我會不計代價的幫助他回復。\所以你能幫我嗎……？
sc193_spa_max	你知道自己是個很奇怪的惡魔吧？\你為什麼要表現的跟人類一樣？\你讓我很困擾。\這樣下去的話，我可能會原諒你……
sc194_spa_1	噓…對粗魯的人真是不予置評，對吧？
sc194_spa_2	說謊是不行的。等等，這樣講不太對。說謊被抓包是不行的。呼呼呼~
sc194_spa_3	惡魔不是應該要愚弄並欺騙別人嗎？主人，我們應該取消你身為惡魔的資格。
sc194_spa_4	真相？正義？誰在乎啊！只有誰贏了最重要。呼呼呼~
sc194_spa_5	你人太好了，主人。你人愈好，就愈讓我失望。
sc194_spa_max	我很期待你成為魔王的那一天，主人。要推翻你實在是太容易了。
sc195_spa_1	真溫暖。賽隆也很享受呢。
sc195_spa_2	你覺得賽隆有可能抓人類來吃？真是無禮。現在立刻跟賽隆道歉！
sc195_spa_3	賽隆說他想跟你去散步，並且他是不會讓你拒絕的。你可以先陪著他一會兒嗎？
sc195_spa_4	哇，你看。賽隆吐著舌頭盯著你看呢。他一定是很想親你幾下。
sc195_spa_max	你知道樂園在哪裡嗎？嘻嘻嘻。你可能不知道，但是我知道。只要我們在一起的地方就是樂園。
sc196_spa_1	要吃吃看我的蘋果嗎？可別說我沒警告你喔…
sc196_spa_2	你問我在做什麼？告訴你吧，是一件很重要的事，那就是「存在」。我光是待在這裡就可以做很多事情了。
sc196_spa_3	我完全致力於為你而戰。你已經把適當的報酬準備好了，對吧？當然，你所開出的價碼是不可能讓我滿意的。
sc196_spa_max	有權力的人會利用沒有權力的人。這就是生存的定律。這樣問題就來了：我們兩個都自稱為「主人」，在這種特殊情況下，又該怎麼做呢？
sc198_spa_1	很好。你這樣照顧我就對了。\這樣一來，我就能專心當你最致命的武器了…
sc198_spa_2	你好。怎麼了？嘻嘻。你在期待什麽嗎？如果你老實告訴我，我或許就會幫你…可能吧。
sc198_spa_3	哎呀，你在這裡看著我看多久了？嘻嘻。沒關係的。我習慣總是受到注視了。\真奇怪，我一向很會隱藏我的感受的。
sc198_spa_4	一直照顧你的Child和助手想必很累吧，主人？嘻嘻，我開玩笑的。怎麼樣都可以被嚇到，是你不為人知的才藝嗎？啊，你可別想要甩掉我。
sc198_spa_max	與異性單獨相處，卻一點也不緊張。我一直做暗示，但你都沒發現。你讓我失望了。……沒啦，我開玩笑的。
sc199_spa_1	好溫暖。
sc199_spa_2	我的願望？這本來應該要保密的，不過……我晚點再偷偷跟你說。
sc199_spa_3	我想知道你的想法，但你說了好多我聽不懂的話。
sc199_spa_4	惡魔先生。惡魔先生。我知道你剛剛在裝睡。趕快起床跟我一起玩吧。
sc199_spa_5	惡魔先生，你剛剛叫了我嗎？真高興你剛剛叫我！我最愛你了！
sc199_spa_max	惡魔先生總有一天也要長大的對吧？我永遠都會是這個樣子，所以你最好在長大後繼續陪我玩。
sc200_spa_1	我的眼鏡起霧了。這就是我不常泡溫泉的原因…
sc200_spa_2	不管罪犯有多厲害，都一定會留下蛛絲馬跡。沒人能逃過我的法眼。
sc200_spa_3	你在這附近有看到過可疑的惡魔或是Child嗎？還是有發生任何怪事嗎？不用擔心。我只是來預防犯罪發生的而已。
sc200_spa_max	請小心。這個世界是個自私的慾望與邪惡陰謀的大熔爐。如果你不小心一點，罪犯就能對你為所欲為。
sc202_spa_1	唷呼…現在這才叫做天堂…
sc202_spa_2	我要復仇什麼？老大，管好你自己就好，別來管我黑暗的過去好嗎？……鬧你的啦。再多讓我信任你一點，也許我就會告訴你了。
sc202_spa_3	我之前跟你說過，對吧？沒試過的話，怎麼知道結果。我現在還是這樣認為。
sc202_spa_4	你想知道些什麼？我有沒有愛人？哈哈哈！開玩笑的啦！你很好奇我對復仇的事情對吧？好吧…我愚蠢的中年老爸被惡魔誘惑了，摧毀了我們的家庭，然後還把自己搞成廢人。就這樣而已。
sc202_spa_max	我還在想你為什麼一直盯著我的臉看，原來你是對我的過去感到很好奇啊。這不是老大需要在意的事情。沒什麼好擔心的。
sc203_spa_1	這地方太…神秘了。\我喜歡。
sc203_spa_2	不管誰成為魔王。\弱者依舊會被虐待。
sc203_spa_3	我很為動物感到難過。\牠們連話都沒辦法說。\那就是我發誓要永遠保護牠們的原因。
sc203_spa_4	這就是我期望的世界。\真是太平靜了。\這裡的動物看起來好開心。
sc203_spa_5	如果世界上每個人\都能有著跟你一樣善良的心，\那與動物共存的夢想就不會那麼遙不可及了。
sc203_spa_max	謝謝你。你幫助我改變了\我對惡魔的想法。我會為你能成為魔王這件事\加油的。
sc205_spa_1	好厲害的噴頭！
sc205_spa_2	嗨，大哥！我們來玩個遊戲吧！如果我贏了，你就要拿幾根賽隆的鬍子給我！
sc205_spa_3	你討厭跟我相處嗎？因為你一直都擺著一張臉啊。如果你不介意的話，我們今天來玩個遊戲如何？
sc205_spa_4	我世界的一切都是虛假的。這是很有趣，但也有點不舒服，而且很孤獨。你把我帶進了真實世界，所以我現在沒事了！
sc205_spa_max	大哥，我會盡全力為你奮戰的！我是偉大的魔法師，我會把你的敵人轟成渣的！我會罩你的！
sc208_spa_1	混…混浴？！那…那我該看哪裡啊…？！
sc208_spa_2	將你的身體推至極限，是很痛苦的體驗，但熬過痛苦後，就會獲得屬於戰士的真正榮耀。
sc208_spa_3	如果你想成為我的主人，那你最好準備好跟我打一場，並且戰勝我！只要你達成這件事，我就向你稱臣。
sc208_spa_max	我還沒承認你是我的主人，不過我覺得你是我的戰友。如果我們一起上戰場了，那我們就是榮耀的戰友了！
sc209_spa_1	如果我睡著了記得叫醒我，好嗎？
sc209_spa_2	現在是怎樣？因為水很燙所以我要小心？隨便啦！真是沒必要，說的好像我會──啊！哇，好燙啊！
sc209_spa_3	我受夠在那邊管東管西了。我也該好好自己一個人獨處一下吧？
sc209_spa_max	你為什麼這麼這麼頑固啊？！你為什麼能一直做同樣的事，卻期待有不同的成果？！這是無用的努力。
sc210_spa_1	你怎麼敢偷窺魔王的身體！我要把你的頭給砍了！
sc210_spa_2	我的故事才不是童話故事！是真的魔界歷史！
sc210_spa_3	要成為魔王的條件還挺簡單的。只要能無私且平等對待其他人，然後衷於自己的野心就好。
sc210_spa_max	如果你想成為魔王，那你要先學會如何低頭，就像我對你做的一樣。
sc214_spa_1	嗯…挺行的嘛。
sc214_spa_2	說真的，你稱自己為「主人」，卻連自己的一個Child都無法超越，真是讓我很驚訝。你能活這麼久真的是奇蹟。
sc214_spa_3	沒有美麗的勝利這種事。真正的贏家會是頭咬牙切齒，滿身鮮血的瘋狂野獸。
sc214_spa_4	你經歷了那麼多場戰鬥，但我卻沒在你的身上看到任何進步或發展。我接下來都要當你的保母了嗎？
sc214_spa_5	我還是不懂為什麼你對我的公事包那麼著迷。我以為你早就放棄了。如果你想看的話，那我就讓你看看裡面裝了什麼吧。但是相對的，這可是要賭上性命的。
sc214_spa_max	你事情總是做一半而已。我要你下定決心好好堅持。如此的話，我朱庇特就會花費餘生協助你。
sc216_spa_1	呼~真是舒服。我看回家就算了吧。
sc216_spa_2	我可愛的小貓，你想要我們的關係更親密一點嗎？那你就得先抓住我！
sc216_spa_3	規則就是為了要打破才存在的，不是嗎？Child的規則就是服從主人，但我可是不打算遵守的！
sc216_spa_4	有著強烈好奇心又反覆無常的人，就會是我的好朋友。小貓咪，你不是這樣的人，但我覺得你也會是個很棒的朋友。
sc216_spa_5	你是為什麼來這裡的啊~？啊，我知道了！你在擔心我可能又會跑掉對吧？別擔心。我短時間內不會離開你的。
sc216_spa_max	我可能哪一天就會突然消失。跟我相處就是這樣喔~月光與黑暗……正呼喚著我。
sc218_spa_1	我好開心啊！\不知道我的契約者有沒有來過這樣的地方。
sc218_spa_2	喔喔！ 我的皮膚現在好有光澤啊！\這比任何美膚都還厲害。
sc218_spa_3	主人，進來吧。\這裡好溫暖又好放鬆。
sc218_spa_4	水好溫暖，\我感覺像是沉浸在你的愛裡面一樣。
sc218_spa_5	舒適的溫度、鬆軟的毛巾、奢華的蒸氣。\如果我結婚了，就能每天享受這些東西，對嗎？
sc218_spa_max	光是能每天泡澡，就會讓我\成為世界上最開心的女人了！
sc219_spa_1	這裡好熱……
sc219_spa_2	離我遠點。\我無法忍受優柔寡斷又沒用的人。
sc219_spa_3	你真好笑。\你一點都不瞭解我，就相信我了？\我一點都不信任你。
sc219_spa_4	我承認你是我主人的唯一原因，\就是那對我有好處。
sc219_spa_5	你是對惡魔的生活方式有疑慮嗎？\拋棄人類的生活方式吧。
sc219_spa_max	成為魔王我就會向你哈腰鞠躬。\但你身為沒用的主人，我對你只會有基本的禮儀。
sc220_spa_1	沒有什麼比鍛鍊後泡泡溫泉更好的事了！現在，回去繼續訓練吧！
sc220_spa_2	真好笑。應該是主人的惡魔，卻比他自己的Child還弱。最弱先生，你有在聽嗎？！你難道不覺得丟臉嗎？！
sc220_spa_3	努力不會辜負你的。持續努力，總有一天你會獲勝的。如果你鍛鍊一下自己虛弱的身體，那你至少會到達平均值！
sc220_spa_max	最弱先生，身為主人，你要成為Child的榜樣！別擔心！我願意盡自己所能來幫你。
sc221_spa_1	盡情享受所有的事物。\戰士就是這麼一回事。
sc221_spa_2	啊……我的頭好痛……\沒事。我只是在自言自語而已。
sc221_spa_3	又在耳鳴了……這一定就是被世界所厭惡的感覺。……啊，我講這樣的話有點不像我自己。當我沒說吧。
sc221_spa_max	黑之惡魔，我將自己的劍託付給你。成為羅剎的劍，劈開未來的道路吧。
sc222_spa_1	我開始覺得無聊了…
sc222_spa_2	我，艾德拉多，是唯一能協助你這蟲一樣的候補生通向勝利的Child。開始頌揚我吧！哈哈哈哈！
sc222_spa_3	你要如何回報我的這些協助呢？……你說自己身無分文？！哼！你能為我獻上生命，但我想就算獻上一百次也不夠！
sc222_spa_4	你覺得我太吝嗇了嗎？你答對了。如果你一無所有，那要怎麼去保護其他人？你還真是個莫名其妙的惡魔。
sc222_spa_max	惡魔，不得不承認，你真的很堅定。我認為你有資格分享我一部分的財富。
sc223_spa_1	在我踏上旅程前，先小憩一會兒。
sc223_spa_2	我是流浪的Child，\萬物的旁觀者。\惡魔，\你只是我擦身而過的一道風景而已。
sc223_spa_3	別抗拒河流。\將自己投身其中吧。
sc223_spa_4	生活就像流動的河\與靜止的湖。
sc223_spa_5	我終於看到河流了。\讓我們享受旅程，\直到我們分離為止吧。
sc223_spa_max	我很高興能遇到你。\因為你，我才有這麼歡樂的回憶。\謝謝你。
sc225_spa_1	啊，女池在哪裡啊？
sc225_spa_2	你可以想辦法勸一勸妲比嗎？！她一直想要我拉她的雪橇！就不能找別人來做這件事嗎？！別把這件事交給我一個人啊！
sc225_spa_3	啊，真希望我的主人是莫娜，而不是你。這樣我就更有信心能宣示我的忠誠，並獻上自己的性命了。
sc225_spa_4	你想要我當個安靜的好Child？好喔，可以。下次我們開始戰鬥，而你被打爆的時候，我也會保持超級~~安靜的。
sc225_spa_max	你沒有女朋友嗎？假日的時候沒有人陪嗎？……沒有？好吧。我也沒有就是了。
sc227_spa_1	什麼？就算我在洗澡時摘掉太陽眼鏡…有必要這麼一直盯著看嗎？
sc227_spa_2	你都快抓到Child了，卻放他走？別在抓到他們之前就放棄啊！聽清楚了嗎？好了，現在再去一次吧！
sc227_spa_3	對你來說，「正義」是什麼？別跟我說你至今為止都沒想過這問題。算了，當我沒問，你的臉透漏了答案了。嗯。
sc227_spa_4	你在問我的弱點？啊，那我懂了。你想對我惡作劇是吧。哈，你這樣偷偷摸摸的真是太像惡魔了。
sc227_spa_5	老大為什麼想成為魔王啊？也許你的內心真的有正義。
sc227_spa_max	老大，如果你無法相信自己，那就相信我吧。直到最後，我都會保護你。
sc228_spa_1	有時，一杯調酒能跟茶一樣讓人提神醒腦。
sc228_spa_2	我覺得這僅限女士使用…\messieurs不能入內。
sc228_spa_3	Petit，你也有童年吧？\跟其他人一樣是個留著鼻涕，無憂無慮的小鬼。
sc228_spa_4	不論距離多遠，母親就是母親。\希望我的契約者能瞭解到這件事。
sc228_spa_5	你打掃房間了嗎？你有準時去上班嗎？\你有吃飯嗎？\我的天啊，你上次洗衣服是什麼時候的事了？
sc228_spa_max	如果你心中有負擔，你能來找我。\我無法讓它們消失，\但我能讓你的內心平靜一點。
sc229_spa_1	這…這裡僅限女性！沒人告訴過你嗎？！
sc229_spa_2	沒有什麼是不必要的資訊。不管是什麼情報，都有能用來作為武器的潛力。
sc229_spa_3	我會好好保護你的資訊。話是這樣說，我不覺得它們有多值錢就是了。
sc229_spa_4	我才不是貓！我是栗鼠！我這輩子從沒這麼被汙辱過！
sc229_spa_5	草！……我不是在說你，那是我的食物！不過我也愛偶爾吃吃布朗尼蛋糕就是了。
sc229_spa_max	我是很實在的工人！你不能指望我做免錢工！
sc230_spa_1	我隨時隨地都能面對你的挑戰！
sc230_spa_2	別無視你心中的黑暗，因為有一天它會變成巨獸，將你生吞活剝。
sc230_spa_3	惡魔，別向你的命運屈服！在黑暗的盡頭，有道閃爍的光芒等著你！
sc230_spa_max	未來不屬於任何人。我們就是未來！來吧，擁有不死詛咒的朋友啊！讓我們踏上旅程！一趟詛咒之旅！
sc231_spa_1	你會不會看我看得有點太超過了？
sc231_spa_2	你別那樣對我說話！\我會是很優秀的母親。
sc231_spa_3	我會選你當丈夫，是因為你是\一位主人…但也許我該找另一個惡魔才對？
sc231_spa_4	惡魔先生，你忘了\你會成為我丈夫的這件事嗎？
sc231_spa_5	說真的，我到底要怎麼做\才能讓你愛上我？！真是的…
sc231_spa_max	你要成為魔王才能成為我的丈夫。\所以不管如何，成為魔王就對了。
sc232_spa_1	溫泉讓人感覺舒服極了。你知道嗎，惡魔先生，我想我…
sc232_spa_2	是命運讓我成為你的Child的嗎？還是這是我自己的選擇呢？
sc232_spa_3	你也想喝冰檸檬汁嗎？呼呼呼。我們想的是一樣的。★
sc232_spa_4	多話的惡魔，你的聲音很好聽啊。你能為我唱首歌嗎？♪
sc232_spa_max	有時我擔心這只是一場夢，我會醒來，然後這一切都會消失。就算真的是這樣，我發誓絕對不會忘記你。
sc233_spa_1	嘿嘿…可別亂來哦。
sc233_spa_2	早安啊，主人。\啊？已經是晚上了？
sc233_spa_3	你知道我等主人等了多久嗎？其實我最近的電力有點不穩定，我可能會電──啊！主人，小心！
sc233_spa_4	主人，我真的很喜歡你。抱歉燒壞了你的電腦。嘿嘿。這是我的錯。抱歉喔♥
sc233_spa_max	你生氣的時候真的很可怕，不過我知道你只是在擔心我而已。啊，我又電到你了嗎？
sc234_spa_1	我感覺心中的火焰又再次對生命發出了怒吼。
sc234_spa_2	我會自己決定如何使用我的力量！我的行動，我的選擇──都是我自己作主！
sc234_spa_3	我走我自己的路！你走你的路！
sc234_spa_4	你需要我的力量嗎？那就說服我吧。證明你的任務值得我去做！
sc234_spa_max	我理解你這樣懶散的想法。我自己也有類似的部份。
sc235_spa_1	你是不是看到了？有嗎？你最好沒看到。
sc235_spa_2	唉……真是沒什麼小事。你問是什麼事？喔，我今天懲罰了一些壞人。
sc235_spa_3	你說誰「仁慈」啊？我嗎？我只是受不了有人惹到我而已。
sc235_spa_4	因為你太弱，所以其他人不把你當一回事嗎？下次你被欺負的話，直接來找我吧。
sc235_spa_max	喔，你已經到了啊？今天你自食其力了嗎？你要停止依賴他人，靠自己的力量來戰鬥。
sc237_spa_1	嗯，我還挺喜歡這個的！\嘻嘻♪
sc237_spa_2	梅芙每天都在作弄我。\當然，她在之後都會道歉。 呵呵。
sc237_spa_3	我用了些方法放棄魔王爭奪戰。\梅芙和艾麗幫了我。\我聽說還有幾個惡魔跟我一樣。\我鬆了一口氣。 跟我一樣笨的惡魔是怎麼成為候補生的呢？
sc237_spa_4	感謝今天你帶來的樂趣。\如果你需要我的幫忙，\就跟我說。 我不會\拖累你的。
sc237_spa_5	萬聖節真好玩。\我希望每天都是萬聖節，而不是一年只有一天。\但你不會懂的。\你的生活太精彩了！
sc237_spa_max	我還是個外行人，\但我很快就能很專業的幫你拍照了。\我不會放棄我唯一的興趣。\所以…不要先我一步回到魔界好嗎？
sc238_spa_1	喔喔喔，我的背和腳都快痛死我了…快啊！別呆呆地看著，多多動手按摩吧！
sc238_spa_2	哎……你是在鬼鬼祟祟的調查什麼？我感覺的到你有事想問我。你真是太好懂了！
sc238_spa_3	艾麗和泰風？他們倆個一點野心都沒有！他們為什麼不行參加魔王爭奪戰呢？要是他們其中一個贏了，一定會很有趣。
sc238_spa_4	我真的看不出來你有沒有長進。你知道你還能活著，都是多虧了你的助手嗎？我也看過不少惡魔了，但你是我看過最弱的了。
sc238_spa_5	人界比我想像中的還有趣。你不用像在魔界裡一樣，隨時都上緊發條。這就是你那麼喜歡這裡的原因對吧？很合理。
sc238_spa_max	說真的，沒有我的話，你要怎麼辦？要是我可愛的弟子被莫名其妙的惡魔給打倒了，那我會很丟臉的。跟緊一點，知道嗎？
sc239_spa_1	這…魔法般的味道是什麼？！
sc239_spa_2	格琳戴兒那傢伙真的讓我很不爽。\她到底做好要跟我一戰的覺悟了沒？
sc239_spa_3	只要讓我不爽，就算只有一點點，我也會把你炸飛。\那是怎樣？你怕了嗎？哈哈哈！
sc239_spa_4	伙伴？要那些東西幹嘛？\只會帶來麻煩而已。不過如果你堅持的話，\那就讓我看看要怎麼做吧。
sc239_spa_5	如果有看不順眼的人，那就把他們炸飛。\怎麼，你怕了嗎？需要我幫你嗎？\哈哈哈！就交給我吧！
sc239_spa_max	你是因為寂寞，才一直做出Child的嗎？\雖然不是我的風格，但我會\陪你玩這套朋友遊戲的。
sc242_spa_1	嗯、嗯 ！人界裡有趣的事情還真多呢。
sc242_spa_2	你問除了我們之外，還有其他的應援團嗎？有啊，不過他們通常只會加油而已。我們應該是唯一會來點惡作劇的了。
sc242_spa_3	你那樣走來走去的，是在想什麼？男人都是很下流的。只要露出一點空隙，他們就會想作一些壞事。\你怎麼一張臭臉啊？
sc242_spa_4	惡魔的惡作劇很好玩，因為它們沒什麼意義！完全就只是想搞笑而已！我也沒辦法控制自己。這實在太好玩了。
sc242_spa_5	在我遇到泰風後，我花了100年來作弄他。他真的好可愛又天真。你的話呢，我想應該最少也能玩個……200年吧。
sc242_spa_max	你說我們的相遇就像幻覺？但是幻覺代表著一切都從未發生過。實際上，你無法預知未來。誰知道我們會不會以不同的方式見面呢？
sc246_spa_1	請不要一直盯著我看…
sc246_spa_2	哈囉！我就是你專屬的聖誕禮物：坎普斯！★很驚喜，對吧？
sc246_spa_3	你為什麼這麼安靜啊？你是在不好意思，還是怎麼了嗎？……喔，看來我猜中了囉？哈哈哈！真可愛♥★
sc246_spa_4	我只是隨自己開心來幫你的。★可別覺得我隨心所欲的個性不好喔。
sc246_spa_5	別相信你看到的所有事物。當然，盲目相信看不到的事物也不太好。
sc246_spa_max	前主人拋棄我時，我有點受到打擊，但多虧了你，我撐過來了！啊？你不相信我是吧？
sc247_spa_1	這算什麼溫泉？連一朵花瓣都沒看到…真差勁。
sc247_spa_2	這就是你迎接女王時的禮節嗎？這太過冷淡了吧？一點莊重也沒有。你的氣量真小。
sc247_spa_3	這頂王冠可不是人人都能戴的裝飾品。下一次你想去碰它之前，記得這件事。
sc247_spa_4	你膽敢說我這個女王「小」？！無禮！在我拔光你那顆無理又傲慢的頭上的頭髮前，我是不會停手的！
sc247_spa_5	成為王者的必要條件，就是要能承受王冠之重。你有這能耐嗎？
sc247_spa_max	我可以感覺到你體內的王者之氣。它不過只是還沒表現出來而已。你是大器晚成的類型，但也許有一天你會追上我。
sc250_spa_1	別在溫泉裡亂來？\放輕鬆點吧！
sc250_spa_2	你知道鬼也會在溫泉出沒嗎？\什麼？\你知道我在說的是我自己？
sc250_spa_3	我在試著乖乖不動的時候，會很焦躁。\好，我知道。我不會胡鬧的。
sc250_spa_4	啊！\偷窺狂！變態！\嘿嘿嘿，我開玩笑的啦。
sc250_spa_5	真是太厲害了。你一定要試試看。\我發誓絕對不是要整你。
sc250_spa_max	下次何不跟我一起玩呢？\一定會很好玩的！
sc252_spa_1	你所見的一切不一定皆為真。\別因暫時的歡愉而滿足。
sc252_spa_2	這個地方有著神秘的味道，\這可能就是會吸引迷途羔羊的原因。
sc252_spa_3	我無法撒手讓世界\被惡魔大軍肆虐。
sc252_spa_4	我只會在消滅惡魔，\並讓一切回復原狀後才進入涅槃。
sc252_spa_5	我們的意志力無懈可擊。\我們能帶著它經歷生死的無盡輪迴。
sc252_spa_max	生命就是痛苦。但我們能怎麼辦呢？\我們只能背負自己的業繼續前行。
sc253_spa_1	溫暖的聖誕節也沒什麼不好的。
sc253_spa_2	我見過很多裝做自己很弱的惡魔，不過你是第一個真的那麼弱小的。
sc253_spa_3	聖誕節真的會讓惡魔變弱嗎？這樣的體質很慘啊。
sc253_spa_4	我討厭惡魔，討厭他們的自傲、無理還有惡臭。真是太臭了！讓我很想吐。
sc253_spa_5	我會簽約是因為你實在太煩了，但別忘了我是驅魔師。（呵欠）我只是不想工作而已。
sc253_spa_max	我非常能理解像你一樣的懶惰鬼。畢竟，我也一樣那麼懶。
sc261_spa_1	在這樣的地方，我可能會忘記綻放的苦痛。
sc261_spa_2	這能消除綻放的苦痛。
sc261_spa_3	我享受如此的奢華也沒關係嗎？
sc261_spa_4	我期待我們再會的那一天。
sc261_spa_5	我們竟然會以這種方式相遇。
sc261_spa_max	主人，我會全心全意服侍你的。
sc262_spa_1	找我有事嗎？你能再等一下嗎？我現在舒服到不想被打擾。
sc262_spa_2	主人，你說自己什麼都不怕。不過要是你問我的話，我敢肯定你很怕妲比。
sc262_spa_3	你的名譽就是我的名譽。請別做出會糟蹋它的事。
sc262_spa_4	可憐的主人。又有人欺負你了對嗎？跟我說是誰做的。我會去大罵他們的！
sc262_spa_5	你的懦弱來自你的善良。這就是我喜歡你的原因。
sc262_spa_max	我能感覺到主人心中強大的決心。我會看著你，直到最後。
sc266_spa_1	這樣真的沒關係嗎？哎，隨便吧…
sc266_spa_2	我上一次享受溫泉，是幾年前的事了啊？因為時間太久，所以我也不太記得。呼……現在嗎？現在我的腦袋中只有女王而已。
sc266_spa_3	我很久沒像這樣放鬆了。在我還活耀的時候，驅魔師到處都是。真是一段艱苦的時光。那時候我一秒都不能放下警戒。
sc266_spa_4	每次女王變得更強大，我也愈來愈頭痛。她的記憶也慢慢回歸了。要是她突然說，自己對魔王爭奪戰是認真的要怎麼辦？哈哈…
sc266_spa_5	我活了很久很久。啊？我是說真的。我以前活耀時，從來都不能好好休息。那時候很累人。但我現在跟惡魔一起混了，所以完全不會無聊。
sc266_spa_max	我活了很久很久。到現在之前，我一直都很緊張，因為身邊總是些很邪惡的傢伙。不過有你這樣的惡魔陪伴的話，我就能好好玩一下了。
sc267_spa_1	呼呼，真是很普通的溫泉呢。我想我是可以先降低身段泡一次。
sc267_spa_2	我不是女神，但是稱呼過去的自己為「惡魔」也不太適合我。那麼，我現在又算是什麼呢？法老嗎？沒落的女王？或者是位魔王候補生呢？我還不確定。也許這是個重新開始的機會。
sc267_spa_3	可惡的荷魯斯。我覺得他一定有什麼計謀，但我還不確定是什麼詭計。或者我其實已經知道了，但卻覺得應該要假裝無知呢？
sc267_spa_4	你雖然如此冷靜地和我說話，但你知道我最後是會背叛你的吧？你不害怕嗎？儘管如此你還是想跟我說話嗎？
