// key	CHAT_
c001_17_boss_long	锵～锵！你好，可爱的主人♥
c250_victory	我能玩了吗？
c252_11_boss_long	我听说恶魔是邪恶的。
c252_11_boss_short	我不想战斗，但……
c252_11_ctskill	厉害吧？
c252_11_death_1	我们还能再见面吗？
c252_11_death_2	我会等你的……
c252_11_drive	我在这里。
c252_11_hit_1	呀啊啊！
c252_11_hit_2	救命啊！
c252_11_hit_3	哎呀！
c252_11_prskill	我能赢的！
c252_11_skill	需要帮忙吗？
c252_11_spa	啊……我好开心。
c252_11_startbt	你在叫我吗？
c252_11_story1	嘿嘿，我没有之前那么害怕了。\谢谢你。不过，那个……你能陪我到天亮吗？
c252_11_story2	什么？我什么都做不了。我不能说话、\微笑，甚至不能哭泣。
c252_11_story3	我不知道祝福有什么功用。如果这真的能让人开心，\那为何我一点也感觉不到欢喜？
c252_11_true1	大人们一直要我祝福他们。\我还以为人在长大后就会无惧一切。看来不是这样的。
c252_11_true2	库玛丽知晓一切。\这就是我不能问大人问题的原因。但我想知道快乐的感觉……
c252_11_true3	女神啊，你当初为何\会让我成为库玛丽呢？我的幸福也在你的计划之中吗？
c252_11_victory	呼……我终于搞定了。
c252_88_boss_long	敬佛陀和菩萨。
c252_88_boss_short	跪下吧！
c252_88_bubble_prskill	接受你的惩罚吧！
c252_88_bubble_skill	放马过来吧！
c252_88_ctskill	嗡。波汝蓝者利。
c252_88_death_1	这就是我的道路吗？
c252_88_death_2	太愚蠢了！
c252_88_drive	嗡。乏及喇。达睹。梵！
c252_88_hit_1	你在挑战我吗？
c252_88_hit_2	真是邪恶的利刃！
c252_88_hit_3	这没用。
c252_88_hit_4	唉……
c252_88_hit_5	呜！
c252_88_hit_6	接受你的惨败吧。
c252_88_hit_7	低头吧！
c252_88_hit_8	你真固执。
c252_88_hit_9	啊！
c252_88_prskill	接受你的惩罚吧！
c252_88_skill	放马过来吧！
c252_89_boss_long	敬佛陀和菩萨。
c252_89_boss_short	跪下吧！
c252_89_bubble_prskill	接受你的惩罚吧！
c252_89_bubble_skill	放马过来吧！
c252_89_ctskill	嗡。波汝蓝者利。
c252_89_death_1	这就是我的道路吗？
c252_89_death_2	太愚蠢了！
c252_89_drive	嗡。乏及喇。达睹。梵！
c252_89_hit_1	你在挑战我吗？
c252_89_hit_2	真是邪恶的利刃！
c252_89_hit_3	真没用。
c252_89_hit_4	唉
c252_89_hit_5	呜！
c252_89_hit_6	接受你的惨败吧。
c252_89_hit_7	低头吧！
c252_89_hit_8	你真固执。
c252_89_hit_9	啊！
c252_89_prskill	接受你的惩罚吧！
c252_89_skill	放马过来吧！
c252_boss_long	我将摧毁贪、嗔、痴三毒。
c252_boss_short	来吧，痛苦。
c252_ctskill	嗡。波汝蓝者利。
c252_death_1	这就是我的道路吗？
c252_death_2	太愚蠢了！
c252_drive	嗡。乏及喇。达睹。梵！
c252_hit_1	这毫无意义。
c252_hit_2	嗯……
c252_hit_3	退后。
c252_prskill	去死吧！
c252_skill	哭吧。
c252_spa	你所见的一切不一定都是真的。\莫因暂时的欢愉而满足。
c252_startbt	主啊，让我引导迷途羔羊吧。
c252_story1	爱很容易变成依恋。\我无法让自己回应如此强势的感情。
c252_story2	我会消灭恶魔来为朋友复仇。\在这之后，我会来找你的。
c252_story3	加油！从你的梦境中醒来吧。\找到自己的道路。我们所拥有的，只有当下。
c252_true1	如果人生就是苦痛，那我会踏上死亡的道路，\并扫除一路上让我痛苦的一切事物。
c252_true2	这个世界带给了我无法承受的重担。\尼尔提……如果你在我身边，我就能承担这一切了。
c252_true3	走吧。让我们前往波罗蜜。\前往波罗蜜获得无上的启发。
c252_victory	天国的号角响起了！
c253_10_boss_long	去把我的雪橇手找回来吧。
c253_10_boss_short	你看见我的驯鹿了吗？
c253_10_ctskill	圣诞快乐!
c253_10_death_1	我之前就说过了，现在再说一遍……我最讨厌制造麻烦的人了。
c253_10_death_2	哎呀。呜……\圣诞节应该是个充满欢乐的节日啊。
c253_10_drive	你会为此付出代价的！
c253_10_hit_1	我受够了！
c253_10_hit_2	安静点！
c253_10_hit_3	咦？
c253_10_prskill	我可以帮你办惊喜派对！
c253_10_skill	你要当我的雪橇手吗？
c253_10_spa	温暖的圣诞节也没什么不好啊。
c253_10_startbt	喔，该怎么办呢？\我可没有礼物给坏小孩。
c253_10_story1	它以前是我的！
c253_10_story2	你真可爱，\你到现在还相信圣诞老人是真实存在的吗？
c253_10_story3	所以，你觉得呢，宝贝？\想试试我的小雪橇吗？\不不！你不用回答了。\你没得选。
c253_10_true1	你管好你自己就行。\为什么要选择这么麻烦的生活方式呢？
c253_10_true2	有得必有失，给我提供与你的诉求具有相同价值的物品。\咦，你什么都没有吗？\那用自己作抵押吧。
c253_10_true3	宝贝，你别哭了！\再哭，我就把你从烟囱扔下去喔。
c253_10_victory	必须要给乖孩子准备礼物！
c253_89_boss_long	去把我的雪橇找回来，好吗？
c253_89_boss_short	你看见我的驯鹿了吗？
c253_89_bubble_prskill	我可以帮你办惊喜派对！
c253_89_bubble_skill	你要当我的雪橇手吗？
c253_89_ctskill	圣诞快乐!
c253_89_death_1	我之前就说过了，现在再说一遍……我最讨厌制造麻烦的人了。
c253_89_death_2	哎呀。呜……\圣诞节应该是个充满欢乐的节日啊。
c253_89_drive	你会为此付出代价的！
c253_89_hit_1	我受够了！
c253_89_hit_2	安静点！
c253_89_hit_3	咦？
c253_89_hit_4	别这样。
c253_89_hit_5	什么想法？
c253_89_hit_6	什么？！
c253_89_hit_7	喔，拜托啦！
c253_89_hit_8	...哼
c253_89_hit_9	嘻嘻。
c253_89_prskill	我可以帮你办惊喜派对！
c253_89_skill	你要当我的雪橇手吗？
c253_boss_long	嘘！今晚是平安夜。
c253_boss_short	圣诞夜该开始了？
c253_ctskill	圣诞快乐!
c253_death_1	我之前就说过了，现在再说一遍……我最讨厌制造麻烦的人了。
c253_death_2	哎呀。呜……\圣诞节应该是个充满欢乐的节日啊。
c253_drive	圣诞节结束了！
c253_hit_1	咕呜！
c253_hit_2	啊……
c253_hit_3	不！
c253_prskill	安静点！
c253_skill	坏孩子就应该得到惩罚。
c253_spa	温暖的圣诞节也没什么不好啊。
c253_startbt	喔，该怎么办呢？\我可没有礼物给坏小孩。
c253_story1	它以前是我的！
c253_story2	你真可爱，\你到现在还相信圣诞老人是真实存在的吗？
c253_story3	所以，你觉得呢，宝贝？\想试试我的小雪橇吗？\不不！你不用回答了。\你没得选。
c253_true1	你管好你自己就行。\为什么要选择这么麻烦的生活方式呢？
c253_true2	有得必有失，给我提供与你的诉求具有相同价值的物品。\咦，你什么都没有吗？\那用自己作抵押吧。
c253_true3	宝贝，你别哭了！\再哭，我就把你从烟囱扔下去喔。
c253_victory	必须要给乖孩子准备礼物！
c258_boss_long	跟我玩！
c258_boss_short	一起玩吧！
c258_ctskill	嘿！
c258_death_1	妈妈，救我！
c258_death_2	妈妈！
c258_drive	我办得到的！
c258_hit_1	我要去告状！
c258_hit_2	呜哇！
c258_hit_3	我最讨厌你了！
c258_prskill	我会逮到你的！
c258_skill	嘿嘿！
c258_spa	真温暖，就像是妈妈在抱着我。
c258_startbt	抓到了！你当鬼！
c258_story1	走开！\妈妈不让我跟陌生的大叔说话！
c258_story2	妈妈，你最近好吗？\我被一个骗子恶魔大叔抓走了，虽然每天都很害怕很辛苦，但我过得很好。
c258_story3	为什么大家都不见了？哥哥～！\带我一起去玩啊！
c258_true1	你在哪里，妈妈？我一直都在等你回家……\难道妈妈不想见我吗？
c258_true2	你不是我的妈妈！\但是……也许你能当我的哥哥。
c258_true3	你会一直陪着我，对吧？\毕竟，你是我的哥哥！
c258_victory	哈哈哈！
c261_boss_long	在你死后，我会在天国等着你。
c261_boss_short	我们会在天国相见吗？
c261_ctskill	你将尝到绽放的苦痛。
c261_death_1	唔……
c261_death_2	我必须继承那个人的意志……
c261_drive	没有你能使用的黄泉之花。
c261_hit_1	啊！
c261_hit_2	恶……
c261_hit_3	啊……
c261_prskill	天国就在眼前。
c261_skill	离我远一点。
c261_spa	在这样的地方，我可能会忘记绽放的苦痛。
c261_startbt	天国的莎莱斯就是我。
c261_story1	你……打算抛下我吗？
c261_story2	复活之术不是每个人都能使用的。
c261_story3	我能这样跟你见面。\我已别无所求。
c261_true1	这也是我的命运……\我会全然接受的。
c261_true2	启示成真。
c261_true3	终于，我们的道路相会了。\我的主人……
c261_victory	让我们在天国相见。\也许我能拯救你，愿幸运降临我们身上。
c262_boss_long	你重要的东西是什么？
c262_boss_short	你为谁而战？
c262_ctskill	我不会失败的！
c262_death_1	主人，很抱歉……我没办法……保护你……
c262_death_2	再见了，主人。
c262_drive	这种程度的防御保护不了你！
c262_hit_1	呀！
c262_hit_2	啊！
c262_hit_3	我不会输！
c262_prskill	你躲不过这招的！
c262_skill	哈！
c262_spa	你在呼唤我吗？\能再等一下吗？\这感觉太好了，我还不想离开。
c262_startbt	主人，请退后！
c262_story1	不过我真的很开心。\原来主人很喜欢我啊……\这让我一下子有干劲了！
c262_story2	当然，主人。\毕竟，我的职责是保护主人\远离一切危险。
c262_story3	哎呀，主人在闹脾气吗？\这样看起来真可爱。
c262_true1	不要害怕对我下命令。\你永远都是我的主人。
c262_true2	害怕了……是吗？\那就请躲在我身后吧。\让我为主人承受所有的恐惧吧！
c262_true3	很高兴我有一个可以守护的人。而遇见主人你，是我最大的喜悦。
c262_victory	主人，我能有现在的成绩，离不开你的鼓励。
c266_boss_long	谁胆敢惊扰法老的沉眠！……开玩笑的啦。
c266_boss_short	好吧，谁要第一个上？
c266_ctskill	你大意了吧。
c266_death_1	我不敢相信我竟然让这种事发生……
c266_death_2	盛者必衰，即便是太阳也有没落的一天。
c266_drive	我就久违地大干一场吧！
c266_hit_1	哈啊……哈啊……
c266_hit_2	不错嘛。
c266_hit_3	呜哇！
c266_prskill	让开。
c266_skill	了解啦。
c266_spa	这样真的没问题吗？嗯……就这样吧……
c266_startbt	喂喂，你会不会让我这个大前辈太操劳了啊？
c266_story1	不用在意我。\你可以做你想做的事情。我们家的女王殿下就拜托你喽？
c266_story2	如果不善唇舌，那还算什么恶魔？对了，你最好乖乖做笔记。
c266_story3	如果女王知道她是Child而不是恶魔，她一定会勃然大怒的。
c266_true1	时光流逝真是快啊。
c266_true2	所以魔王争夺战又开始了啊……\嗯？啊啊，我只是在自言自语罢了。
c266_true3	你可以再变强一点吗？如果你不变强，我的计划就泡汤了。如果实在不行的话，我会帮你的，你自己也要加油哦。
c266_victory	看来我长这么大也没白活了。
c267_10_boss_long	谁胆敢惊扰法老的沉眠！
c267_10_boss_short	有新的子民来了吗？
c267_10_ctskill	别惹我发笑。
c267_10_death_1	我又再次……成为历史了吗……
c267_10_death_2	世间万物……皆有终结的时刻……
c267_10_drive	敞开大门！迎接你们的法老吧！
c267_10_hit_1	哼……
c267_10_hit_2	不知死活的家伙……
c267_10_hit_3	你连我的一根寒毛都伤不到。
c267_10_prskill	法老降临！
c267_10_skill	退开。
c267_10_spa	呵呵，还真是简陋的浴场啊。不过我就接受它吧。
c267_10_startbt	来吧！成为我帝国的基石吧！
c267_10_story1	很少人可以看着现在的这个世界，还依然确定地说我曾是个神圣的存在。
c267_10_story2	如果她们拒绝我的话，我会用我的力量辗压她们并彻底地统治她们。
c267_10_story3	坐下，芭丝特！你也是，荷鲁斯。你们是睡太久，把礼貌也一起都睡掉了吗？
c267_10_true1	我还真是到了个前所未见的世界呢。
c267_10_true2	你心目中的统治者是什么样子呢？
c267_10_true3	统治也是我的目标。你可别这么轻易相信我。
c267_10_victory	你们的统治者回来了！
c267_89_boss_long	居然惊扰法老沉眠，好好赎罪吧。
c267_89_boss_short	崇拜太阳吧！
c267_89_ctskill	死者们，跟我来！
c267_89_death_1	成为不灭的太阳……是我的愿望……
c267_89_death_2	我绝对不会罢休。
c267_89_drive	欢迎来到我的方尖碑！
c267_89_hit_1	退开。
c267_89_hit_2	无礼之徒！
c267_89_hit_3	呃……
c267_89_hit_4	...哼
c267_89_hit_5	呵呵呵...
c267_89_hit_6	呀啊！
c267_89_hit_7	呵呵...
c267_89_hit_8	无礼的小……
c267_89_hit_9	哼……
c267_89_prskill	我会认定你是个可敬的对手。
c267_89_skill	太阳升起了。
c267_boss_long	谁胆敢惊扰法老的沉眠！
c267_boss_short	有新的子民来了吗？
c267_ctskill	别惹我发笑。
c267_death_1	我又再次……成为历史了吗……
c267_death_2	世间万物……皆有终结的时刻……
c267_drive	敞开大门！迎接你们的法老吧！
c267_hit_1	哼……
c267_hit_2	不知死活的家伙……
c267_hit_3	这不算什么...
c267_prskill	法老降临！
c267_skill	退开。
c267_spa	呵呵，还真是简陋的浴场啊。不过我就接受它吧。
c267_startbt	来吧！成为我帝国的基石吧！
c267_story1	很少人可以看着现在的这个世界，还依然确定地说我曾是个神圣的存在。
c267_story2	如果她们拒绝我的话，我会用我的力量辗压她们并彻底地统治她们。
c267_story3	坐下，芭丝特！你也是，荷鲁斯。你们是睡太久，把礼貌也一起都睡掉了吗？
c267_true1	我还真是到了个前所未见的世界呢。
c267_true2	你心目中的统治者是什么样子呢？
c267_true3	统治也是我的目标。你可别这么轻易相信我。
c267_victory	你们的统治者回来了！
c269_boss_long	跟我玩！
c269_boss_short	一起玩吧！
c269_ctskill	嘿！
c269_death_1	妈妈，救我！
c269_death_2	妈妈~！
c269_drive	我办得到的！
c269_hit_1	我要去告状！
c269_hit_2	呜哇～！
c269_hit_3	我最讨厌你了！
c269_prskill	我会逮到你的！
c269_skill	嘿嘿！
c269_spa	真温暖，就像是妈妈在抱着我。
c269_startbt	抓到了！你当鬼！
c269_story1	走开！\妈妈不让我跟陌生的大叔说话！
c269_story2	妈妈，你最近好吗？\我被一个骗子恶魔大叔抓走了，虽然每天都很害怕很辛苦，但我过得很好。
c269_story3	为什么大家都不见了？哥哥～！\带我一起去玩啊！
c269_true1	你在哪里，妈妈？我一直都在等你回家……\难道妈妈不想见我吗？
c269_true2	你不是我的妈妈！\但是……也许你能当我的哥哥。
c269_true3	你会一直陪着我，对吧？\毕竟，你是我的哥哥！
c269_victory	哈哈哈！
c270_boss_long	跟我玩！
c270_boss_short	一起玩吧！
c270_ctskill	嘿！
c270_death_1	妈妈，救我！
c270_death_2	妈妈~！
c270_drive	我办得到的！
c270_hit_1	我要去告状！
c270_hit_2	呜哇～！
c270_hit_3	我最讨厌你了！
c270_prskill	我会逮到你的！
c270_skill	嘿嘿！
c270_spa	真温暖，就像是妈妈在抱着我。
c270_startbt	抓到了！你当鬼！
c270_story1	走开！\妈妈不让我跟陌生的大叔说话！
c270_story2	妈妈，你最近好吗？\我被一个骗子恶魔大叔抓走了，虽然每天都很害怕很辛苦，但我过得很好。
c270_story3	为什么大家都不见了？哥哥～！\带我一起去玩啊！
c270_true1	你在哪里，妈妈？我一直都在等你回家……\难道妈妈不想见我吗？
c270_true2	你不是我的妈妈！\但是……也许你能当我的哥哥。
c270_true3	你会一直陪着我，对吧？\毕竟，你是我的哥哥！
c270_victory	哈哈哈！
c271_boss_long	跟我玩！
c271_boss_short	一起玩吧！
c271_ctskill	嘿！
c271_death_1	妈妈，救我！
c271_death_2	妈妈~！
c271_drive	我办得到的！
c271_hit_1	我要去告状！
c271_hit_2	呜哇～！
c271_hit_3	我最讨厌你了！
c271_prskill	我会逮到你的！
c271_skill	嘿嘿！
c271_spa	真温暖，就像是妈妈在抱着我。
c271_startbt	抓到了！你当鬼！
c271_story1	走开！\妈妈不让我跟陌生的大叔说话！
c271_story2	妈妈，你最近好吗？\我被一个骗子恶魔大叔抓走了，虽然每天都很害怕很辛苦，但我过得很好。
c271_story3	为什么大家都不见了？哥哥～！\带我一起去玩啊！
c271_true1	你在哪里，妈妈？我一直都在等你回家……\难道妈妈不想见我吗？
c271_true2	你不是我的妈妈！\但是……也许你能当我的哥哥。
c271_true3	你会一直陪着我，对吧？\毕竟，你是我的哥哥！
c271_victory	哈哈哈！
c272_boss_long	跟我玩！
c272_boss_short	一起玩吧！
c272_ctskill	嘿！
c272_death_1	妈妈，救我！
c272_death_2	妈妈~！
c272_drive	我办得到的！
c272_hit_1	我要去告状！
c272_hit_2	呜哇～！
c272_hit_3	我最讨厌你了！
c272_prskill	我会逮到你的！
c272_skill	嘿嘿！
c272_spa	真温暖，就像是妈妈在抱着我。
c272_startbt	抓到了！你当鬼！
c272_story1	走开！\妈妈不让我跟陌生的大叔说话！
c272_story2	妈妈，你最近好吗？\我被一个骗子恶魔大叔抓走了，虽然每天都很害怕很辛苦，但我过得很好。
c272_story3	为什么大家都不见了？哥哥～！\带我一起去玩啊！
c272_true1	你在哪里，妈妈？我一直都在等你回家……\难道妈妈不想见我吗？
c272_true2	你不是我的妈妈！\但是……也许你能当我的哥哥。
c272_true3	你会一直陪着我，对吧？\毕竟，你是我的哥哥！
c272_victory	哈哈哈！
c274_boss_long	我是所有猫咪的奶奶哦！放尊重点！
c274_boss_short	好啊～小猫！
c274_ctskill	别大意了！
c274_death_1	下次……再一起……
c274_death_2	喵！
c274_drive	交给我吧！
c274_hit_1	唔喵……
c274_hit_2	喵！
c274_hit_3	哇！
c274_prskill	喵喵喵呜！
c274_skill	轮到我了喵！
c274_spa	这是什么样的游戏啊？
c274_startbt	要一起玩吗？
c274_story1	你的特长就是让人生气！\从我第一次见到你开始，你就是个坏男人！
c274_story2	小猫……\如果你的手再也不能用了的话，我会代替你去狩猎的。
c274_story3	做完梦以后我就会说话了！\做完梦以后，我就遇到主人了！
c274_true1	面对所有猫咪的奶奶，好好献上敬意吧！
c274_true2	对我来说，不论是生还是死都和我没关系！
c274_true3	魔王争夺战结束的话，我就跟我的主人回去了哦！那里真的很远很远！小猫你也要一起来吗？
c274_victory	我回来了！好开心！
c275_boss_long	噢，我有伴了。
c275_boss_short	欢迎光临！
c275_ctskill	你喜欢这样吗？
c275_death_1	啊喔，被你发现了……
c275_death_2	唔。
c275_drive	想要惊喜吗？
c275_hit_1	唔！
c275_hit_2	呜呜！
c275_hit_3	真是超厉害的！
c275_prskill	我想要更多乐子！
c275_skill	哼！
c275_spa	(吐~舌！)你以为我不知道你在偷看吗?少恶心了！
c275_startbt	啊，我会好好折磨你的！
c275_story1	主人，你在做什么啊？
c275_story2	如果你再说那种话，\我就会尽全力烦你一辈子！
c275_story3	好吧，那我们就实现我无能又愚蠢主人的\愿望吧。
c275_true1	你也许是我的主人，但你不该这么多管闲事的。\你这样就和跟踪狂没什么差别了。
c275_true2	你们恶魔应该更无忧无虑一点。\基于这种精神，你想来场夜间散步吗？
c275_true3	你不想成为魔王吗？为何不成为魔王，\然后取消争夺战呢？
c275_victory	呼，也许我做得有点过火了。
c277_boss_long	您喜欢什么样的战斗风格呢?
c277_boss_short	开始战斗服务。
c277_ctskill	我想要回家……
c277_death_1	金钱就是一切……
c277_death_2	啊。
c277_drive	下班了！
c277_hit_1	呀！
c277_hit_2	真过分！
c277_hit_3	好痛！
c277_prskill	这是最高级的服务！
c277_skill	生活很艰辛……
c277_spa	你能别在我休息的时候打扰我吗？
c277_startbt	我的战斗服务是要加钱的。
c277_story1	我还以为我终于离开魔界，进入人界了呢……
c277_story2	您知道吗？刚踏入社会的贫穷人要在现代社会生存\有多不容易……
c277_story3	玛门大人♥\你能不能先别看莫娜，\过来看看人家嘛。
c277_true1	最低薪资？这么一点钱我该怎么活下去啊？\唉……这也太少了……
c277_true2	如果要我选的话，我宁可选择世界上最弱的恶魔，也不选那种长着肥肚腩和厚嘴唇的玛门。
c277_true3	快点成为魔王，然后当我的主人吧！\这是唯一可以让我离开玛门的办法！
c277_victory	别忘了我的奖励。
c278_boss_long	我会尽全力的。
c278_boss_short	那就这样吧。
c278_ctskill	这不会太轻松的。
c278_death_1	我终于能休息了。
c278_death_2	请原谅我……
c278_drive	你觉得我有那么弱吗？
c278_hit_1	无济于事。
c278_hit_2	真是个错误。
c278_hit_3	真没想到啊。
c278_prskill	让我试试。
c278_skill	退后。
c278_spa	善意背后总伴随着别有所图。\你图的又是什么呢？
c278_startbt	你想的话，我可以帮忙。
c278_story1	我不向任何人祈祷。\我不信神。所以那不是祈祷。\那是……抱怨。
c278_story2	洛基厌恶无聊。\我想那是他唯一讨厌的事物。
c278_story3	只是……我……\这么说吧，我偶尔会感到孤独。
c278_true1	洛基在呼唤我了。\你没听见他的声音吗？
c278_true2	我对洛基的想法\一点也不重要。真正重要的是，\没有他，我就没办法活下去。
c278_true3	我请你永远不要忤逆洛基。\这是我唯一能给你的建议。\你永远也对抗不了他的。
c278_victory	我感觉很值得。
c279_88_boss_long	你好，我叫劳菲。
c279_88_boss_short	很高兴认识你！
c279_88_bubble_prskill	好吧，让我来抱抱你吧。
c279_88_bubble_skill	你是洛基大人的玩具吗？
c279_88_ctskill	你真幽默。
c279_88_death_1	你真贪心……就跟洛基大人一样……
c279_88_death_2	我该走了……
c279_88_drive	洛基大人就是我的一切。
c279_88_hit_1	真是麻烦啊。
c279_88_hit_2	再加把劲！
c279_88_hit_3	啊？
c279_88_hit_4	吓死我了。
c279_88_hit_5	你知道那样会疼的吧。
c279_88_hit_6	哼！
c279_88_hit_7	结束了吗？
c279_88_hit_8	满意了？
c279_88_hit_9	好厉害呀！
c279_88_prskill	好吧，让我来抱抱你吧。
c279_88_skill	你是洛基大人的玩具吗？
c279_89_boss_long	你好，我叫劳菲。
c279_89_boss_short	很高兴认识你！
c279_89_bubble_prskill	好吧，让我来抱抱你吧。
c279_89_bubble_skill	你是洛基大人的玩具吗？
c279_89_ctskill	你真幽默。
c279_89_death_1	你真贪心……就跟洛基大人一样……
c279_89_death_2	我该走了……
c279_89_drive	洛基大人就是我的一切。
c279_89_hit_1	真是麻烦啊。
c279_89_hit_2	再加把劲！
c279_89_hit_3	啊？
c279_89_hit_4	吓死我了。
c279_89_hit_5	你知道那样会疼的吧。
c279_89_hit_6	哼！
c279_89_hit_7	结束了吗？
c279_89_hit_8	满意了？
c279_89_hit_9	好厉害呀！
c279_89_prskill	好吧，让我来抱抱你吧。
c279_89_skill	你是洛基大人的玩具吗？
c279_boss_long	给你看点好玩的东西。
c279_boss_short	啊，我真是等不及了。
c279_ctskill	你真幽默。
c279_death_1	你真贪心……就跟洛基大人一样……
c279_death_2	我该走了……
c279_drive	你能回家吗？
c279_hit_1	我大意了。
c279_hit_2	干得好。
c279_hit_3	嘿嘿嘿。
c279_prskill	希望你会喜欢。
c279_skill	锵~锵！\这样如何啊？
c279_spa	好棒的地方！\你对我真好。\你一定很爱我。
c279_startbt	谢谢你找我来。
c279_story1	他是一个软弱的人。\他需要爱。
c279_story2	这是一份礼物，\所以对我来说自然意义重大。
c279_story3	主人，你不用担心。\就算你抛弃了我，\我也不会丢下你不管的。
c279_true1	真是可惜。\洛基大人是个很好的人。\为什么大家都害怕他呢？
c279_true2	我从自己被创造出来的那一刻起，\就爱着洛基大人。\他是我的一切。
c279_true3	你该不会也想把洛基大人\从我身边夺走吧？\希望你懂我的意思。\我不想伤害你。
c279_victory	你确定自己应该相信我吗？
c280_boss_long	你倒霉，那我就幸运！
c280_boss_short	你想玩吗？
c280_ctskill	别担心，恶魔先生！
c280_death_1	我的好运用完了……
c280_death_2	呃啊……呃啊……
c280_drive	好运是属于我的！
c280_hit_1	咦？
c280_hit_2	好痛！
c280_hit_3	呃啊！
c280_prskill	我生气了！
c280_skill	我就是「鬼」。
c280_spa	别看了，小恶魔。
c280_startbt	哈哈哈！\你也要快乐啊，恶魔先生！
c280_story1	我这是恶梦成真了？
c280_story2	我必须前往大海拯救金枪鱼！
c280_story3	如果她现在很幸福……那为什么不能让所有人都幸福呢？
c280_true1	这问题我不太好回答……
c280_true2	我不是幸运天使。\你还愿意和我一起吗？
c280_true3	你也有愿望吗，恶魔先生？\虽然我不知道你的愿望是什么，但我希望你愿望成真！
c280_victory	哈哈！你会因为我而感到开心吗？
c281_boss_long	这里不是你该来的地方。
c281_boss_short	你迷路了吗？
c281_ctskill	我不知道能不能看一眼。
c281_death_1	这里……不是天堂……
c281_death_2	光……快跑……
c281_drive	你能看到光吗？
c281_hit_1	呃啊！
c281_hit_2	呜哇～！
c281_hit_3	呃……
c281_prskill	你逃不掉的。
c281_skill	闭嘴！
c281_spa	你怎么知道我在这里？\你真的比我想象的还厉害呢。
c281_startbt	这次我们一起做。
c281_story1	你最好再考虑一下。\你是个人类。你觉得你能\对付得了身为Child的我吗？
c281_story2	人的一生转瞬即逝，\临终的那一刻除了悲伤和痛苦，什么都没了。
c281_story3	即使我在伸手不见五指的黑暗中徘徊，\我也觉得自己如同身处明亮的白昼世界。
c281_true1	啊，主人，你好。\我刚刚发呆了，\在幻想天堂的样子。
c281_true2	主人，如果我能找到天堂，\我会回到你身边的。\但是不要抱太大希望。\毕竟，这世上没有天堂。
c281_true3	生存就像在迷宫里到处跑\，没有出路。\你必须不停地跑才能活下去。\永远不要停歇，直到你死的那一刻。
c281_victory	如果能帮上一点忙的话，我会很开心。
c283_10_boss_long	唉……又要应付一个顾客？
c283_10_boss_short	欢迎光临，这位客人……
c283_10_ctskill	请让开。
c283_10_death_1	我真恨这样……
c283_10_death_2	维尔德大人……请再给我一次……机会……
c283_10_drive	再见了，贵客。真是一段愉快的时光啊……
c283_10_hit_1	呃啊！
c283_10_hit_2	唔！
c283_10_hit_3	什么想法？
c283_10_prskill	放弃的话不就轻松多了？
c283_10_skill	真是麻烦。
c283_10_spa	主人去哪里了呢？
c283_10_startbt	谁在乎恶魔间的斗争？
c283_10_story1	所以，你并不介意输给自己的Child……\对吗？
c283_10_story2	比我想象的还要急躁呢。
c283_10_story3	除了主人以外，我不相信任何人。\但是……为了主人……\我或许……可以成为你的……Child……
c283_10_true1	别随便亲近我。\你又不是我的主人……
c283_10_true2	要不是因为我的主人……像你这种恶魔……\我早就让你变成一坨烂肉了……
c283_10_true3	别让我的主人失望。你必须尽全力成为一名魔王。\拜托了……我的新主人。
c283_10_victory	我不需要你的称赞。
c283_12_boss_long	唉……又要应付一个顾客？
c283_12_boss_short	欢迎光临，这位客人……
c283_12_ctskill	真烦……
c283_12_death_1	我真可悲……主人……
c283_12_death_2	我想我不适合当女仆……
c283_12_drive	滚出去！
c283_12_hit_1	唔啊！
c283_12_hit_2	好痛！
c283_12_hit_3	唔啊！
c283_12_prskill	你绝对不可能打败我。
c283_12_skill	还真是难缠啊……
c283_12_spa	主人去哪里了呢？
c283_12_startbt	谁在乎恶魔间的斗争？
c283_12_story1	所以，你并不介意输给自己的Child……\对吗？
c283_12_story2	比我想象的还要急躁呢。
c283_12_story3	除了主人以外，我不相信任何人。\但是……为了主人……\我或许……可以成为你的……Child……
c283_12_true1	别随便亲近我。\你又不是我的主人……
c283_12_true2	要不是因为我的主人……像你这种恶魔……\我早就让你变成一坨烂肉了……
c283_12_true3	别让我的主人失望。你必须尽全力成为一名魔王。\拜托了……我的新主人。
c283_12_victory	我不需要你的称赞。
c283_89_boss_long	欢迎光临Café de Petit。
c283_89_boss_short	欢迎，贵客。
c283_89_bubble_prskill	你早该放弃了。
c283_89_bubble_skill	还真是难缠啊……
c283_89_ctskill	请让开。
c283_89_death_1	我真恨这样……
c283_89_death_2	维尔德大人……请再给我一次……机会……
c283_89_drive	再见了，贵客。真是一段愉快的时光……
c283_89_hit_1	呃啊！
c283_89_hit_2	可恶！
c283_89_hit_3	什么想法？
c283_89_hit_4	咕哇！
c283_89_hit_5	这是个错误。
c283_89_hit_6	唔啊！
c283_89_hit_7	嘿嘿。
c283_89_hit_8	主人！
c283_89_hit_9	呃啊！
c283_89_prskill	放弃的话不就轻松多了……
c283_89_skill	真是麻烦。
c283_boss_long	唉……又要应付一个顾客？
c283_boss_short	欢迎光临，这位客人……
c283_ctskill	真烦……
c283_death_1	我真可悲……主人……
c283_death_2	我想我不适合当女仆……
c283_drive	滚出去！
