// key	CHAT_
c001_17_boss_long	鏘～鏘！你好，可愛的主人♥
c122_10_victory	現在我們扯平了。
c122_boss_long	你是客人？還是入侵者？
c122_boss_short	也許我會讓你見識一下我的力量。
c122_ctskill	吃我這招。
c122_death_1	不…我的寶物…
c122_death_2	我是不敗的…
c122_drive	我不能忍受被小看！
c122_hit_1	啊！
c122_hit_2	不可能的…
c122_hit_3	唔！
c122_prskill	這是我的。
c122_skill	禁止觸摸。
c122_spa	這才是人生啊。\如果我能收集地點，這絕對會\加入我的收藏之中。
c122_startbt	不請自來的客人？
c122_story1	放輕鬆點吧。只要你不碰我的寶物，\我就不會傷害你。
c122_story2	別以為你能就這樣拿走我的寶物！
c122_story3	唉，\當我被閃亮的東西包圍時…\那就是我靈魂閃耀的時候。
c122_true1	我從來沒想過依靠任何人。\我需要找個方法感謝你。
c122_true2	這個世界，不是被掠奪就是掠奪。\成為被掠奪的一方，一點也不合理，對吧？
c122_true3	只要我還有寶物，我就不需要其他東西。
c122_victory	你付出代價了。完整的代價。
c123_boss_long	我等不及要看這有多精彩了。
c123_boss_short	我很好奇你有多厲害。
c123_ctskill	再來一次！
c123_death_1	看來我的點子被否決了呢…
c123_death_2	啊！嗚…
c123_drive	這真蠢！
c123_hit_1	呀！
c123_hit_2	呃啊！
c123_hit_3	咿！
c123_prskill	這就是該付出的代價！
c123_skill	這根本行不通！
c123_spa	喵。本貓心情很愉快，喵。
c123_startbt	試著感動我吧。
c123_story1	所有的事情。從那棟建築物\到這棟建築物都讓人不愉快。
c123_story2	好好感激我吧。我要讓你\富得流油！
c123_story3	嗚…對，一定是我還不夠努力。\如果我想出了前所未有的企劃，\那他就必須承認我是對的！
c123_true1	你的思想必須跳脫框架！\惡魔的想法怎麼會比人類還老套呢？
c123_true2	又沒中了？沒關係。\我就看你要無視我多久。
c123_true3	改說點好話又不會讓你少塊肉。說聲「做得好」之類的話有很難嗎？\好吧，那我也不會再為了任何事情而讚美你了！
c123_victory	新點子在哪裡？
c124_boss_long	哎呀哎呀。難得你能走到這一步呢。
c124_boss_short	歡迎。也花你太長時間了。
c124_ctskill	抱歉，我要認真起來了。
c124_death_1	我…我失敗了？
c124_death_2	我怎麼會讓這種事發生？
c124_drive	我會為了你而赴湯蹈火…
c124_hit_1	唔啊！
c124_hit_2	我已經好一段時間沒感受過疼痛了…
c124_hit_3	唔啊！
c124_prskill	我會保證你永遠忘不掉這感覺。
c124_skill	別碰我…
c124_spa	我感覺身子熱了起來…\我真的滿不耐熱的…
c124_startbt	讓我們輕鬆自在地上吧。
c124_story1	如果你心裡有什麼想法，就說出來。
c124_story2	我？能依靠的夥伴？\真的是太天真了呢。
c124_story3	而一旦我解決了你們這些人，\就沒有任何人會有怨言了吧？
c124_true1	我真搞不懂你為什麼要無視自己的惡魔衝動…\這讓我有時感到困惑。
c124_true2	這地方雖然很不方便。\但夜晚很美…
c124_true3	你可以儘管善加利用他人。\懷疑、質疑，保護你自己免受背叛…\我不知道你所相信的是什麼，但如果你不注意自己的行為，最後一定會受傷的。
c124_victory	謝謝。
c125_10_boss_long	阿爾蒂斯……保護我……
c125_10_boss_short	魯薩爾卡……\交給我吧！
c125_10_ctskill	<color=ff3287>救救我！</color>\<color=2287d8>我會保護妳的！</color>
c125_10_death_1	<color=ff3287>阿爾蒂斯，我們會……永遠在一起……</color>
c125_10_death_2	<color=2287d8>魯薩爾卡，我永遠……不會放開妳的手。</color>
c125_10_drive	<color=2287d8>相信我！</color>\<color=ff3287>我會的！</color>
c125_10_hit_1	唔！
c125_10_hit_2	閃開！
c125_10_hit_3	請住手！
c125_10_prskill	為了魯薩爾卡！
c125_10_skill	魯薩爾卡……
c125_10_spa	今天的天氣很完美\適合泡個溫泉。
c125_10_startbt	魯薩爾卡，我一直在等妳。
c125_10_story1	盡你的全力吧。\唯勇者能獲得真愛。
c125_10_story2	擔心只是浪費時間罷了。
c125_10_story3	男人的對話靠的是劍，\不是嘴！
c125_10_true1	<color=ff3287>阿爾蒂斯，我想永遠待在妳身旁。</color>\<color=2287d8>魯薩爾卡，我也是！</color>
c125_10_true2	<color=2287d8>痛苦也是愛的一部份。</color>\<color=ff3287>沒關係的。只要我們能在一起，那就可以了。</color>
c125_10_true3	<color=2287d8>我永遠不會再背棄妳的感受。</color>\<color=ff3287>你的愛……我能感受。</color>
c125_10_victory	我們一起回家吧，\魯薩爾卡。
c125_89_boss_long	甜蜜的愛如安眠……
c125_89_boss_short	以我的靈魂發誓……
c125_89_bubble_prskill	就此了斷吧！
c125_89_bubble_skill	聖光啊，成為我的指引吧！
c125_89_ctskill	冷靜點。
c125_89_death_1	我的覺悟……不足嗎？
c125_89_death_2	魯薩爾卡……
c125_89_drive	吾劍，賜我力量吧！
c125_89_hit_1	如果是為了妳……
c125_89_hit_2	不會太久的。
c125_89_hit_3	這太超過了。
c125_89_hit_4	唔！
c125_89_hit_5	呃！
c125_89_hit_6	魯薩爾卡，等一下！
c125_89_hit_7	我不會放棄的！
c125_89_hit_8	立刻離開！
c125_89_hit_9	我還不能死。
c125_89_prskill	這樣就解決了！
c125_89_skill	聖光啊，成為我的指引吧！
c125_boss_long	讓我們來場堂堂正正的勝負吧！
c125_boss_short	無物可懼！
c125_ctskill	冷靜點。
c125_death_1	我的覺悟……不足嗎？
c125_death_2	魯薩爾卡……
c125_drive	魯薩爾卡！
c125_hit_1	唔！
c125_hit_2	我還沒倒下！
c125_hit_3	嗚！
c125_prskill	無禮！
c125_skill	啊！
c125_spa	今天的天氣很完美\適合泡個溫泉。
c125_startbt	測試我勇氣的時候到了！
c125_story1	盡你的全力吧。\唯勇者能獲得真愛。
c125_story2	擔心只是浪費時間罷了。
c125_story3	男人的話語是劍，\不是文字！
c125_true1	主人，我永遠不會忘記你的善意。
c125_true2	唉，跟人告白……\比我想的還困難。
c125_true3	我不會再猶豫了。\我要跟魯薩爾卡告白！
c125_victory	我向此劍發誓！
c126_boss_long	我覺得你和我可以成為好朋友。
c126_boss_short	我來當你的朋友吧。
c126_ctskill	不要無視我！
c126_death_1	通往真愛的道路真是漫長又艱辛呢。
c126_death_2	呀～～～
c126_drive	可愛陽光衝擊！
c126_hit_1	好痛！
c126_hit_2	唔啊！
c126_hit_3	咿！
c126_prskill	可愛衝擊！
c126_skill	你寂寞嗎？
c126_spa	我看起來很快樂？嘿，你是怎麼知道的啊？
c126_startbt	你相信永恆的愛嗎？
c126_story1	你看起來總是有些寂寞，主人。\你怎麼會沒有任何惡魔朋友呢？
c126_story2	從來沒談過戀愛是不可恥，只不過有點悲慘而已啦。
c126_story3	我才沒有呢。每個人多少都會有寂寞的時候。
c126_true1	我再也不想被那些我所愛的人傷害了。
c126_true2	我什麼時候才能遇見真愛呢？
c126_true3	只要一想到你找到真愛，我就覺得好開心喔，主人…\我相信總有一天你一定會找到的！
c126_victory	有一天，你也會知道愛能有多偉大。
c127_10_boss_long	你所見的是現實嗎？還是幻想呢？
c127_10_boss_short	別相信你看到的任何事物。
c127_10_ctskill	真是個溫暖的影子。
c127_10_death_1	我必須隱藏自己…到更深層的黑暗裡去…
c127_10_death_2	我失敗了…
c127_10_drive	你覺得能夠找到我嗎？
c127_10_hit_1	呃啊！
c127_10_hit_2	你竟敢動手？
c127_10_hit_3	喔，好痛…
c127_10_prskill	喵！
c127_10_skill	嘿嘿。
c127_10_spa	接下來我該躲哪裡呢？
c127_10_startbt	有人要玩躲貓貓嗎？！
c127_10_story1	這樣啊…他沒有我想像的那麼遲鈍。\真不敢相信他居然能感覺到我的氣息。
c127_10_story2	再會了…祝你作個好夢。
c127_10_story3	人總是看不清近在眼前的事物。如果你躲在敵人的影子中，\那就沒有人能夠找到你。
c127_10_true1	別相信任何人。即便是無所不能的存在，也無法戰勝背叛的傷害。
c127_10_true2	這麼坦率的你真是可愛。但說實在的，這也是個弱點。你要更加小心一點才是。
c127_10_true3	我想未來很長的一段時間裡，你和我要好好看顧對方的影子了…
c127_10_victory	別大意了！敵人還是隨時都有可能來襲！
c127_boss_long	你所見的是現實嗎？還是幻想呢？
c127_boss_short	別相信你看到的任何事物。
c127_ctskill	真是個溫暖的影子。
c127_death_1	我必須隱藏自己…到更深層的黑暗裡去…
c127_death_2	我失敗了…
c127_drive	你能夠找到我嗎？
c127_hit_1	呃啊！
c127_hit_2	好過份…
c127_hit_3	喔，好痛…
c127_prskill	喵！
c127_skill	嘿嘿。
c127_spa	接下來我該躲哪裡呢？
c127_startbt	躲貓貓開始了！
c127_story1	這樣啊…他沒有我想像的那麼遲鈍。\真不敢相信他居然能感覺到我的氣息。
c127_story2	再會了…祝你作個好夢。
c127_story3	就像「燈下黑」這句話一樣，如果你躲在敵人的影子中，那就沒有人能夠找到你。
c127_true1	別相信任何人。即便是無所不能的存在，也無法戰勝背叛的傷害。
c127_true2	這麼坦率的你真是可愛。但這也是個弱點。你要更加小心一點才是。
c127_true3	我想未來很長的一段時間裡，你和我會一直望著對方的影子…
c127_victory	別大意了！敵人還是隨時都有可能來襲！
c130_boss_long	準備好聆聽這千載難逢的協奏曲吧！
c130_boss_short	看來你似乎真的沒有任何天份呢。
c130_ctskill	這兒的吵鬧聲真刺耳。
c130_death_1	誰來為我奏上莫扎特的安魂曲吧…
c130_death_2	我…我什麼也聽不見了…
c130_drive	謝幕時間到了。
c130_hit_1	哈！
c130_hit_2	呃啊！
c130_hit_3	吵死人了！
c130_prskill	我不需要失敗品！
c130_skill	我需要更輝煌！
c130_spa	就是這個…我能感覺到靈感開始浮現…
c130_startbt	讓我們開幕吧。
c130_story1	閉嘴！你的聲音煩死人了！\吵死了！別造成我的麻煩！
c130_story2	我就知道，想要在野蠻人身上找藝術細胞根本就是妄想。
c130_story3	有耐心點，惡魔。我會寫出最美麗的交響曲，僅獻給你。
c130_true1	凡人根本永遠都不會瞭解藝術的真諦！
c130_true2	承認吧，我的音樂是最棒的！
c130_true3	每次只要看見你，我就有作出新曲子的靈感。\站著別動！我能感覺到傑作要誕生啦！
c130_victory	那麼，你對這位偉大作曲家的音樂有什麼看法呢？
c132_boss_long	歡迎加入派對。
c132_boss_short	好好放鬆一下吧。
c132_ctskill	真是麻煩！
c132_death_1	呃，這糟透了。
c132_death_2	看來我至今的所作所為終於得到報應了呢。
c132_drive	現在，我們來大玩一場吧！
c132_hit_1	呃…
c132_hit_2	嗚…
c132_hit_3	非常好。
c132_prskill	別想太多。
c132_skill	來嘛，放鬆點！
c132_spa	狂歡一場吧！
c132_startbt	我們來大玩一場吧。享受這兒的每一分每一秒。
c132_story1	「及時行樂！」\這是把握今天，活在當下的意思。
c132_story2	過去的事情已成定局，而我們也回不了頭了。\所以就放鬆吧，別那麼認真看待一切。
c132_story3	不過…我想這不是壞事，\像這樣堅持下去也不錯。
c132_true1	如果每件小事情都要去擔心的話，那就真的煩不完了。
c132_true2	我知道我想過著隨心所欲的生活。\我只是…不太確定自己到底要什麼。
c132_true3	不如你就成為一名懶惰的魔王吧？\我覺得，世界上的所有問題都源自於供過於求。
c132_victory	這場派對真的很棒，年輕人。
c133_boss_long	是時候該把愁容轉成笑臉了！
c133_boss_short	這很簡單！
c133_ctskill	笑一個！
c133_death_1	我們本來可以當朋友的…
c133_death_2	我不敢相信結局居然會是這樣…
c133_drive	我是非常認真的！
c133_hit_1	唔哇啊！
c133_hit_2	我還沒要結束呢！
c133_hit_3	好痛！
c133_prskill	準備好，要開始了！
c133_skill	無聊嗎？
c133_spa	嘿嘿，這有點令人害臊。
c133_startbt	很高興見到你們，弱者們！
c133_story1	所以我就是這麼漂亮啊，嗯？\只要可愛就贏了對吧？
c133_story2	好吧！那我們就一起來大玩一場吧！
c133_story3	喔，這真是太遺憾了。我說我愛你的時候是真心的。
c133_true1	開開玩笑並沒有錯。\錯的是你真的上了當。
c133_true2	想要贏過我還早了一百年呢，軟弱的惡魔先生。
c133_true3	你覺得我的玩笑太過火了？但那就是我表達愛意的方式啊。\還是說這只是你用來拒絕我的方式呢？
c133_victory	多虧有我！
c135_boss_long	我們來戰鬥吧，戰士與戰士之間的對決。
c135_boss_short	來和我戰鬥吧！
c135_ctskill	沒人能贏得過我的意志。
c135_death_1	我就到此為止了嗎？
c135_death_2	瓦爾哈拉正等著我…
c135_drive	只要想著獲勝就好了！
c135_hit_1	嗚啊…
c135_hit_2	咿！
c135_hit_3	我還沒結束呢！
c135_prskill	這一擊要來真的了。
c135_skill	你就只有這點本事嗎？
c135_spa	誰說你可以看了？
c135_startbt	贏得這場戰鬥將讓我變得更強。
c135_story1	就憑那種身材，你是打算要怎麼成為魔王啊？
c135_story2	別告訴我你現在就要放棄了！你根本還沒開始呢。
c135_story3	如果你真心感到抱歉的話，就用盡全力成為一名魔王吧。
c135_true1	如果這比你的性命還要重要，就冒著生命的危險去守護它吧。
c135_true2	我會變得更強。我不會讓任何人帶走你。
c135_true3	我身為戰士的職責就是戰鬥。\而你的職責則是成為魔王。
c135_victory	也許我又變強一些了。
c139_boss_long	我在這裡。如同以往。
c139_boss_short	你叫我嗎？
c139_ctskill	這樣不行嗎？
c139_death_1	我想待在這裡…
c139_death_2	你就不能放著我不管嗎？
c139_drive	我想起來了。
c139_hit_1	呃…
c139_hit_2	嗯…
c139_hit_3	離我遠點…
c139_prskill	我會竭盡所能的。
c139_skill	好，第一步是…
c139_spa	我作過一個夢。在夢裡面，蝴蝶翩翩飛舞，鮮花綻放…而我就在那裡，和平常一樣。
c139_startbt	我會保持平常心。
c139_story1	哪都找不到。
c139_story2	就像那個童話的結尾，結果青鳥一直以來都在他們家。
c139_story3	所有事物都變得更好，但我一點都沒變。
c139_true1	我會永遠如此…\而我希望你也一樣。
c139_true2	我只會去做我該做的事情。\所以期望可別太大了…
c139_true3	你讓我很驚訝，居然像這樣闖入我的藏身之處。\哈哈，別擔心。我很高興…
c139_victory	嚇了我一跳…
c141_boss_long	也許你和我命中注定要在一起？
c141_boss_short	別擔心，我會為你找到真愛！
c141_ctskill	很好，擊中了！
c141_death_1	怎麼可以？！
c141_death_2	噢嗚…
c141_drive	好耶，抓到了！
c141_hit_1	欸－欸！
c141_hit_2	好痛！
c141_hit_3	唔啊！
c141_prskill	等一下！別想給我逃跑！
c141_skill	停在那別動！
c141_spa	嗯哼，真溫暖。感覺真舒服。
c141_startbt	我已經瞄準了你的心♥
c141_story1	不用擔心，我相信有一天你一定會找到愛的，主人。\一定會的！
c141_story2	那並不是事情的癥結點。\最重要的是你的想法。
c141_story3	唉…我想我真的必須要親自教教你了。
c141_true1	別放棄！就算是惡魔也能找到愛情！
c141_true2	我才不寂寞。因為我會表達對你的愛。
c141_true3	戀愛的感覺真的好棒。當然了，有時候也會受傷，但美好的部分完全能補足這一切！
c141_victory	太棒了！
c142_boss_long	歡迎來到夢世界。
c142_boss_short	我保證你會做上一個幸福的夢。
c142_ctskill	我想要看看你的夢境。
c142_death_1	這一定是個惡夢…
c142_death_2	我想要從現實中醒來！
c142_drive	你曾見過青鳥嗎？
c142_hit_1	…
c142_hit_2	什麼？
c142_hit_3	我這是在作夢嗎？
c142_prskill	希望你們準備好永眠了。
c142_skill	睡覺覺的時間到囉。
c142_spa	我…我這是在作夢嗎？還是這是真的？
c142_startbt	噓！該上床睡覺了。
c142_story1	我將永遠活在一個充滿純粹幸福的世界裡。
c142_story2	青…鳥…\我不作夢也能找到青鳥嗎？\我真的可以相信他嗎？
c142_story3	我們會和我們的王子一起永遠地幸福活下去！
c142_true1	我今天又作了另一個夢。我在天空中的鞦韆上來回搖盪，我看到你在我的上方，飛到星空裡去…
c142_true2	我又作夢了嗎？或者…我已經醒了呢？\我現在在哪裡？
c142_true3	我想要開開心心的，就算只是夢也好。\拜託，請讓我獲得幸福吧。
c142_victory	作個好夢，各位…
c147_boss_long	看來你想找死！
c147_boss_short	別試圖欺騙我！
c147_ctskill	上吧！
c147_death_1	我會讓你為此付出代價…
c147_death_2	咕啊！
c147_drive	誰想先來受死？！
c147_hit_1	啊！
c147_hit_2	啊！
c147_hit_3	呃啊！
c147_prskill	你知道這裡發生什麼事嗎？
c147_skill	赫啊！
c147_spa	這池溫水是怎麼一回事？\快點加熱一下啊。
c147_startbt	要先從哪個開始碾碎呢？
c147_story1	你到底是怎麼回事？\你真的對身為惡魔感到自傲嗎？
c147_story2	現在是誰要殺誰啊？滾遠一點，我就不會碰你一根寒毛。
c147_story3	咕哈哈哈！去好好大鬧一場吧！\我會好好跟在你後面的！
c147_true1	我會粉碎掉所有對我有意見的人。\如果你想被我踩扁的話，有種就來吧。
c147_true2	我的契約者會和你交涉，是因為你是個惡魔對吧？哼。\你看起來一點用也沒有。
c147_true3	哈哈哈！只是想像一下像你這樣的孩子當上魔王，就已經笑死人了！
c147_victory	誰是下一個？！
c148_boss_long	這下可容易了！
c148_boss_short	最後倖存者勝出！
c148_ctskill	不會讓你輕鬆逃開的！
c148_death_1	吼！真讓人火大－！
c148_death_2	怎麼會發生這種事？
c148_drive	我會把你碎屍萬段！
c148_hit_1	唔啊！
c148_hit_2	搞、搞什麼？！
c148_hit_3	好痛！這是在做什麼啊？！
c148_prskill	我會撕碎你的身體！
c148_skill	你這是在跟我開玩笑嗎？！
c148_spa	啊，這感覺真好！
c148_startbt	搞什麼啊，吵死了！
c148_story1	我可是要成為名震世界的大壞蛋的喔！
c148_story2	感謝你的幫…不，根本不需要…\我本來自已可以處理的。
c148_story3	但我還沒放棄要成為超級大壞蛋呢！
c148_true1	想都別想要無視我！
c148_true2	漸漸成為一名魔王讓你出名，對嗎？\我想那就是我的目標！
c148_true3	Child不可能成為惡魔不是嗎？\那我會成為比任何惡魔都還厲害的惡棍！
c148_victory	哼！也不過如此而已！
c149_boss_long	你是來聽我唱歌的嗎？
c149_boss_short	好…我會為你而唱。
c149_ctskill	聽得到我的聲音嗎？
c149_death_1	我想我沒有把我的情感都表達出來…
c149_death_2	等等…
c149_drive	我該站出來了！
c149_hit_1	…噢。
c149_hit_2	好痛啊…
c149_hit_3	我很抱歉…
c149_prskill	我想為你唱歌。
c149_skill	這可能會有點痛…
c149_spa	我覺得好多了。
c149_startbt	我會為了你竭盡所能…好嗎？
c149_story1	上…上次…我跑掉了，抱歉。\我以為你不會等我…
c149_story2	明天！明天我一定會把我的感覺告訴他！
c149_story3	我是來跟你說件事的。
c149_true1	我想要說出我的感受…
c149_true2	但…如果他不懂的話怎麼辦？
c149_true3	拜託，魯薩爾卡，你可以做到的。\好吧。你能聽一下我想說的話嗎？
c149_victory	啦啦啦♪
c153_boss_long	人生中最大的危～機！
c153_boss_short	你也在冒險中嗎？
c153_ctskill	現在，這才是真正的冒險！
c153_death_1	這表示我輸了嗎？！
c153_death_2	你竟敢動手？
c153_drive	我絕對不放棄！
c153_hit_1	呀！
c153_hit_2	嘿、嘿，停下來。
c153_hit_3	我、我要生氣囉！
c153_prskill	你不會想錯過這個的！
c153_skill	真有趣。
c153_spa	偶爾來一次溫泉之旅也不錯嘛。
c153_startbt	前進，去冒險吧！
c153_story1	嘿，你不覺得你是在這裡浪費自己的時間嗎？
c153_story2	當然了。這個經過精心設計的旅程，是用來開拓主人的精神韌性的。
c153_story3	沒錯！一想到魔界就會讓我起雞皮疙瘩。\我是說，那是個未經探索的地方對吧？
c153_true1	我只是想到一個很遠、很遠的地方去。不管是哪裡都好。
c153_true2	我很好奇你會把我帶到什麼樣的世界去。
c153_true3	獨自旅行讓我覺得好累。\不如你跟我一起來吧？如果知道下一個目的地是哪裡，那就不算是真正的冒險了！哈哈哈！
c153_victory	那麼，接下來要去哪裡？
c154_boss_long	我會竭盡所能。畢竟，那就是我的角色。
c154_boss_short	我會竭盡所能。
c154_ctskill	所有錯誤都該被糾正！
c154_death_1	我的理念錯了嗎？
c154_death_2	這種事情…
c154_drive	你這是在浪費自己的時間。
c154_hit_1	唔…
c154_hit_2	該死。
c154_hit_3	手拿開啦！
c154_prskill	從哪裡來就回哪裡去吧。
c154_skill	真多扭曲的東西。
c154_spa	你在看什麼啊？\Child洗澡有那麼罕見嗎？
c154_startbt	分析完成。戰鬥開始。
c154_story1	你似乎不太清楚自己的地位有多重要。
c154_story2	哼…我完全不能揣摩你跟我契約者在想些什麼。
c154_story3	我保證會引導你登上魔王王位的，主人。
c154_true1	你為什麼煩惱？只要堅持自己的理念，答案就會非常清晰了。
c154_true2	別忘了自己該完成的事情。
c154_true3	做好決定後就跟我說。\我會竭盡所能地去協助你。
c154_victory	跟我想的一樣。
c155_boss_long	歡迎來到艾蔻的表演！
c155_boss_short	大聲點！感謝各位邀請我！
c155_ctskill	讓我們嗨起來吧！
c155_death_1	什麼…？你不是我的粉絲嗎？
c155_death_2	這跟我們說好的不一樣！
c155_drive	該做個結尾了！
c155_hit_1	嗚哇！
c155_hit_2	唔哇！
c155_hit_3	哼…！
c155_prskill	聽好了！
c155_skill	你到底是在看哪裡啊？
c155_spa	讓明星有私人生活…聽起來不錯，對吧？
c155_startbt	這是艾蔻的舞台！
c155_story1	既然你創造了我，你就要對我負責。這你同意嗎，經紀人？
c155_story2	這是我最喜歡的歌手的歌。
c155_story3	安靜！現在先別念我。哪有粉絲後援會會長\這樣對自己偶像的。
c155_true1	當明星是很累的。
c155_true2	我會閃耀到在所有粉絲的記憶中印出痕跡。
c155_true3	你雖然不是很聰明，但你依然是我的粉絲…\所、所以…我會溫柔一點的。
c155_victory	那演出很棒吧？
c156_boss_long	我想這可能會是個不錯的餘興節目。
c156_boss_short	那就做吧。讓我開心一下。
c156_ctskill	被詛咒的弱者…
c156_death_1	陶醉在勝利的喜悅中了嗎？
c156_death_2	我的時間就在這裡耗盡了嗎…
c156_drive	看來我準備好了。
c156_hit_1	可惡…
c156_hit_2	你會為那付出代價…
c156_hit_3	唔啊！
c156_prskill	是時候該說再見了。
c156_skill	讓開。
c156_spa	活著的感覺真好…
c156_startbt	戰鬥是用來肯定一個人存在的好方法。
c156_story1	嗯…你的尾巴聞起來真是出乎意料的香。
c156_story2	人類是善變的。\他們渴求的事物轉瞬即變。
c156_story3	年輕的惡魔…我希望你是成為魔王的那個人。
c156_true1	永遠活下去…\也許這願望過於大膽了點…
c156_true2	我不想要這經歷就此結束…\我希望它能持續到永遠…
c156_true3	這樣和你待在一起，不知道為什麼有種回想起美好記憶的感覺。也許我們曾在夢裡見過…\算了，當我沒說。反正也不重要。嗯…
c156_victory	做得好，年輕人。
c158_boss_long	抱歉…你不是我一直在等待的王子。
c158_boss_short	我不覺得你會是個好王子。
c158_ctskill	我只對壞男孩感興趣，就這樣。
c158_death_1	如果我們一直待在水下，那我就不會迷路了！
c158_death_2	咿！
c158_drive	是時候該說再見了！
c158_hit_1	唔啊！
c158_hit_2	咿！
c158_hit_3	好痛！
c158_prskill	抓到你了！
c158_skill	你會游泳嗎？
c158_spa	我或許該回去找些壞男孩了，但這溫泉現在給我的感覺真好。
c158_startbt	我警告你，我永遠不會讓你離開！
c158_story1	你不是男生，你是男孩。你還只是個小孩子。不過也許可以期待你十年之後的樣子！
c158_story2	畢竟你比我年輕，所以我從來沒把你看做是約會的對象。
c158_story3	是啊，但…我猜你並…沒我想像中那麼壞？也許？
c158_true1	找到真正的天菜了！現在就只剩擄獲他，讓他成為我的人了！
c158_true2	等等我啊，我親愛的王子！\我總有一天會抓到你的！
c158_true3	我又回頭想了一下，然後…我覺得你不是我的菜。\但這種事情總是很難確定的嘛，所以我想我要等著看事情會如何發展。
c158_victory	是時候回去找壞男孩囉！
c159_boss_long	喔，你千里迢迢地跑過來啊？有夠不要臉！
c159_boss_short	齁齁齁。是時候大玩一場了！
c159_ctskill	嘻嘻！感覺真棒！
c159_death_1	我不要。在這裡？用這種下場？
c159_death_2	洛基。
c159_drive	洛基，你在注視著我嗎？
c159_hit_1	好，繼續。
c159_hit_2	喔齁齁齁！
c159_hit_3	挺行的嘛。
c159_prskill	各位，注意啦！
c159_skill	你沒有忘了我對吧？
c159_spa	吵死了。一切都毫無意義。\除了洛基的話語之外。
c159_startbt	塞美勒登場！
c159_story1	夏娃，講話真不留情誒。\我通常會感謝妳的誠實，但我今天沒什麼心情聽妳這樣說。
c159_story2	他是真實存在的。\只要我想，我就能見到他。
c159_story3	我等不及見你了…\我的道路、我的明燈、我的黑暗，我心的所屬…洛基。
c159_true1	這就是愛嗎？齁齁齁！\啊……洛基、洛基、洛基、洛基…
c159_true2	我的終極目標可不像成為魔王這麼的微不足道。
c159_true3	我不覺得你有本事成為魔王。\只有<b>他</b>可以。\不過你當然還是能試試的。我喜歡先看著蟲子掙扎一番，再把它踩死。
c159_victory	洛基，我回來了！
c164_boss_long	我會讓你看看比被束縛更痛苦的東西。
c164_boss_short	讓我來統治你。
c164_ctskill	我會掃除擋我路的一切阻礙。
c164_death_1	就算我走了…也別對其他的Child好…
c164_death_2	不～～！
c164_drive	處罰你的時間到了！
c164_hit_1	沒錯。
c164_hit_2	再來！
c164_hit_3	用力點！
c164_prskill	讓我來給你個緊緊的擁抱吧…♥
c164_skill	就像我計劃的那樣。
c164_spa	你、你到底知不知道自己在幹嘛啊？！
c164_startbt	你們都需要被處罰！
c164_story1	別…別過來！不要再靠近了！\這件衣服讓我…冷靜下來！\脫掉什麼的還是免了！
c164_story2	我看我沒得選，只能好好鞭策你了！
c164_story3	哼。沒關係，我自已可以。\有一天，我會讓你知道我的感覺的…渾蛋。
c164_true1	不！別把它拿下來！\這樣子…我覺得更安全一點…
c164_true2	我絕對、永遠不會告訴一個惡魔我的真實感受！哼！
c164_true3	我要解釋清楚才行是嗎？但那就當作是我在自言自語，所以你不用回答…\轉、轉念一下，還是算了！
c164_victory	就這樣了。
c167_12_boss_long	你希望自己最後是什麼樣子？
c167_12_boss_short	在死亡面前，你無能為力…
c167_12_ctskill	跟隨自己的命運。
c167_12_death_1	我終於能休息了…
c167_12_death_2	我在一時之間，夢見與你一起度過的春天…
c167_12_drive	你的生命會是我的。
c167_12_hit_1	啊哈哈…
c167_12_hit_2	為什麼？
c167_12_hit_3	痛苦…
c167_12_prskill	享受永恆的安息吧。
c167_12_skill	你害怕我嗎？
c167_12_spa	我感到十分舒適。\死的安息也能帶給我同樣的安心感嗎？
c167_12_startbt	在恐怖中顫抖吧。
c167_12_story1	我？\指責你？\我為什麼要這樣做？\你只是個可憐的靈魂罷了。我對你感到憐憫。
c167_12_story2	我只是來取你的命的。
c167_12_story3	你說完遺言了嗎？\那我們開始未來的試煉吧。
c167_12_true1	你連自己的命運都不知曉…\真可悲。
c167_12_true2	你真是可悲…\我該結束你的痛苦。
c167_12_true3	不管我要面對多少人，都不會改變我的使命。
c167_12_victory	我再次熄滅了一盞燈火了。
c167_87_boss_long	謝謝你來了。\我們該開始慶祝了嗎？
c167_87_boss_short	我想見你。
c167_87_bubble_prskill	為了主人！
c167_87_bubble_skill	我在這等很久了。
c167_87_ctskill	我希望我能幫上忙。
c167_87_death_1	我以為這次能夠保護你…
c167_87_death_2	我很抱歉…我想我就到此為止了吧…
c167_87_hit_1	…噢。
c167_87_hit_2	呀！
c167_87_hit_3	好痛喔！
c167_87_hit_4	…噢。
c167_87_hit_5	呀！
c167_87_hit_6	好痛喔！
c167_87_hit_7	…噢。
c167_87_hit_8	呀！
c167_87_hit_9	好痛喔！
c167_87_prskill	為了主人！
c167_87_skill	我在這等很久了。
c167_boss_long	謝謝你來了。\我們該開始慶祝了嗎？
c167_boss_short	我想見你。
c167_ctskill	我希望我能幫上忙。
c167_death_1	我以為這次能夠保護你…
c167_death_2	我很抱歉…我想我就到此為止了吧…
c167_drive	我會保護你的，主人。
c167_hit_1	…噢。
c167_hit_2	呀！
c167_hit_3	好痛喔！
c167_prskill	為了主人！
c167_skill	我在這等很久了。
c167_spa	只有我一個人那麼享受沒關係嗎～
c167_startbt	我知道了。
