// key	CHAT_SPA_
sc176_spa_4	โอ๊ะ ดูสิ นี่คือเป้าหมายล่าสุดของข้า ฮี่ ฮี่ ข้าแค่กวนประสาทท่านเล่นน่ะ ข้าไม่ได้วางแผนอะไรเลย ท่านไม่ต้องเครียดขนาดนั้นก็ได้นะ
sc176_spa_5	นี่ ท่านจะทำอะไรเมื่อได้เป็นราชาปีศาจแล้ว? ข้าคิดว่าข้าจะสร้างบ้านสวยๆ ที่เงียบสงบสักที่ที่ห่างไกลจากปีศาจกับมนุษย์และเป็นที่ที่ข้าจะสามารถจำมาสเตอร์ของข้าได้เป็นครั้งคราว
sc176_spa_max	ท่านจะเป็นมาสเตอร์คนสุดท้ายของข้าหรือเปล่า? ข้ายังไม่เข้าใจดีนัก ในที่สุดคำสาปพิฆาตมาสเตอร์ของข้าก็หายไปแล้วเหรอ? พูดตามตรง ข้าสูญเสียผู้คนในชีวิตมามากพอแล้ว
sc178_spa_1	วันนี้เราจะไม่เล่นวิ่งไล่จับกันเหรอ
sc178_spa_2	ข้าไม่รู้ว่านี่จะถูกไหม แต่ข้าอยู่ที่นี่ล่องลอยเหมือนหมอก
sc178_spa_3	ถ้าข้าหายไป... ท่านจะจำข้าได้ไหม?
sc178_spa_max	ขอบคุณ...ที่เข้าใจข้าค่ะ ข้าหมดเรื่องพูดแล้ว
sc180_spa_1	ยอดเยี่ยมมาก! ยอดเยี่ยมจริงๆ! ฮ่า ฮ่า ฮ่า ฮ่า!
sc180_spa_2	ลอร์ดแมมมอนที่สง่างามปรารถนาแค่หญิงสาวที่งดงามและความร่ำรวยเท่านั้น เขาไม่ต้องการอะไรอีกแล้ว!
sc180_spa_3	โอ ความเศร้าโศกคือชีวิตที่เดียวดายนี้! ข้าจะยอมยกทรัพย์สินทั้งหมดให้เพื่อแลกเปลี่ยนกับหัวใจของนาง! เอ้อ อาจจะไม่ใช่ทั้งหมด อาจจะเป็นครึ่งนึงของครึ่งนึงของทรัพย์สิน?
sc180_spa_4	ช่างน่ารังเกียจจริงๆ เป็นห้องที่แคบและสกปรกมาก และที่แย่กว่าคือเสื้อผ้านี้มีรอยย่นเต็มไปหมด ข้ารับใช้หมายเลข 1 ใช้เงินนี้ซื้อเครื่องแต่งกายที่เหมาะสมให้กับตัวเองเสีย
sc180_spa_5	เจ้าควรทำหน้าที่เป็นผู้ประสานงานระหว่างมิสโมนากับข้า ลอร์ดแมมมอน! ค่า ใช่แล้ว! ฮ่าๆ ๆ ๆ!
sc180_spa_max	เอาล่ะ ข้ารับใช้หมายเลข 1! ไม่ล่ะ นกพิราบสื่อสารหมายเลข 1! ไป ถ่ายทอดความรักที่ลึกซึ้งของข้าให้มิสโมนาฟัง!
sc183_spa_1	แม้แต่เทพธิดาก็จำเป็นต้องพักผ่อน
sc183_spa_2	เจ้าถามว่าข้ามีความทรงจำเกี่ยวกับผู้ทำพันธสัญญาของข้าไหมเหรอ? เจ้าคือคนโง่ แต่ข้าจะตามใจเจ้า ชีวิตของมนุษย์เป็นเพียงฟองที่อยู่เพียงชั่วครู่และหายไปในพริบตา ดังนั้นข้าจึงทิ้งทุกสิ่งที่ข้าผ่านพ้นมา
sc183_spa_3	ไชลด์เหล่านั้นรักษาโรคในออนเซ็นนี้เหรอ? น่าเวทนา น่าเวทนาจริงๆ
sc183_spa_4	เจ้าปีศาจน้อย ปัญหาจิ๊บจ๊อยบางอย่างรบกวนจิตใจของเจ้า ทิ้งความกังวลนั้นไปและมาพักผ่อนข้างๆ ข้า
sc183_spa_5	คุกเข่าของเจ้าลง ก้มหัวลงไปและสวดสรรเสริญข้า! ขอให้ผู้ที่เชื่อฟังคำสั่งของข้าจงมีแต่ความสุข!
sc183_spa_max	ข้าจะอยู่เคียงข้างเจ้าตลอดไป คุกเข่าต่อหน้าข้าและสวดอ้อนวอน เมื่อเจ้าต้องการความช่วยเหลือ พรของเทพธิดาจะคุ้มครองเจ้า
sc184_spa_1	ถ้าเทียบกะแดนสวรรค์แห่งอื่น ที่นี่ถือว่าไม่เลวเลยนะ\อ่าห์ รู้สึกดีจัง... ♪
sc184_spa_2	ข้าอยากถอนตัวจากศึกชิงบัลลังก์ราชาปีศาจและหนีไปไกลๆ! อาจถึงเวลาที่ข้าจะวางแผนพยายามหลบหนีครั้งที่ 1254
sc184_spa_3	ถ้าการต่อสู้หยุดลงและสิ่งต่างๆ เริ่มสงบลงแล้ว ข้างจะออกเดินทางไปตามหาแดนสวรรค์
sc184_spa_4	เอ๋? ท่านอยากหนีไปด้วยกันไหม? ทิ้งซัคคิวบัสของท่านไว้เบื้องหลัง? ข้าพร้อมแล้วล่ะ ฮะ ฮ่า! ♪
sc184_spa_max	คราวหน้าที่ท่านเหนื่อย ลองคิดถึงแดนสวรรค์ดูสิ ท่านบอกว่าไม่มีที่แบบนั้นเหรอ? ทำอย่างกับข้าไม่รู้อย่างนั้นแหละ! แดนสวรรค์คือสิ่งที่ท่านต้องสร้างขึ้นเอง
sc186_spa_1	นั่นทำให้ข้ารู้สึกดีจริงๆ ข้าว่ามีคนจะได้กินขนมนะ
sc186_spa_2	สุนัขชื่นชอบการอาบน้ำดีๆ หรือไม่นะ\อย่าเข้าไปเลย\ไปหาเครื่องดื่มเย็นๆ ดีๆ หรืออะไรซักอย่างให้ข้าเถอะ
sc186_spa_3	ว้า น่าจะพาเลิฟลี่มาด้วย\ฮิฮิ อิจฉาเหรอ
sc186_spa_4	อย่าให้อุณหภูมิลดลง\เจ้ารู้ใช่ไหมว่าจะเกิดอะไรขึ้นถ้าต่อต้านข้า
sc186_spa_5	ปลอกคอนี้ทำขึ้นสำหรับเจ้าเท่านั้น\เห็นไหม มันดูพิเศษกว่าของเลิฟลี่อีกนะ
sc186_spa_max	ข้าคิดว่าถึงเวลาที่ต้องยอมรับความจริง\ว่าท่านเป็นมาสเตอร์ที่ดีที่สุดในโลก\สุดท้ายแล้วใครจะทำให้ข้าเชื่อฟังได้อีก ฮี่ ฮี่...
sc187_spa_1	น้ำตาของข้าแห้งเหือดไปรึยัง?
sc187_spa_2	เมเดีย พูดเบาๆ หน่อยได้ไหม? เจ้าจะทำให้หัวข้าระเบิดเพราะเสียงดังพวกนั้น
sc187_spa_3	ใจของข้าดำดิ่งลึกลงสู่มหาสมุทรแห่งความเศร้า ข้าไม่อาจหลบหนีได้เนื่องจากตัวข้าคือมหาสมุทรลึกนั้นเอง
sc187_spa_4	บอกเมเดียว่าความอบอุ่นของนางช่วยปลอบประโลมข้า
sc187_spa_5	อยู่เคียงข้างข้าแบบเงียบๆ ก็พอ แค่นั้นก็พอแล้ว
sc187_spa_max	ข้าพบเจอแต่ความโชคร้ายตลอดในอดีต แต่ข้าจะมีความสุขเมื่อได้อยู่กับท่านนับแต่นี้ไป ข้ารอคอยวันนั้นอยู่
sc188_spa_1	ว้าว... เหมือนกับว่าร่างกายของข้ากำลังละลายหายไปเลย...
sc188_spa_2	ในที่สุดข้าก็มีหลักฐาน! คนร้ายใกล้จะถูกจับแล้ว! และคนร้ายนั่นก็คือ...เจ้า เจ้าปีศาจ!
sc188_spa_3	ฮึ่ม! เจ้าคิดว่าจะหลอกข้าด้วยคำโกหกที่เห็นได้ชัดแบบนั้นเหรอ? ฮ่า! เดี๋ยวก่อนนะ... ที่จริงแล้วดูเหมือนเจ้าจะรู้อะไรมานะ
sc188_spa_max	และสำหรับเหล่าคนร้ายเหรอ? ค้อนแห่งความยุติธรรม! ใช่แล้ว ภารกิจของข้าคือกระทุ้งความชั่วร้ายออกมาจากตัวพวกเขา
sc189_spa_1	ข้าอยากให้เจ้าพาข้ามายังที่แบบนี้ตลอดเวลาเลย
sc189_spa_2	นี่เจ้า เลิกวิ่งหนีเสียที! ครั้งนี้เจ้าหนีไม่พ้นแน่! ...เจ้าถามว่าทำไมข้าถึงไล่ตามเจ้าเหรอ? ความผิดของเจ้าคือไม่รู้ว่าทำไมข้าถึงไล่ตามเจ้า!
sc189_spa_3	ข้าไม่สนว่าเจ้าจะชอบหรือไม่ รับให้ได้! ข้าคงไม่มาเกาะติดเจ้าแบบนี้ หากเจ้าไม่พยายามหลบหนีทุกครั้งน่ะ!
sc189_spa_max	ข้าจะทำอะไรดีเมื่อจับตัวเจ้าได้? ข้าจะปกป้องเจ้าจากอันธพาล! ...เอ่อ ขำอะไรเหรอ?
sc190_spa_1	ผิวพรรณของนักแสดงสำคัญพอๆ กับการแสดง\อ่าห์ สิ่งนี้จะน่าช่วยได้เยอะเลยทีเดียว ♪
sc190_spa_2	เมื่อไม่นานนี้มีปาปาราซซี่ทั่วทุกที่เลย น่ารำคาญมากจริงๆ ชีวิตส่วนตัวของนักแสดงควรจะเป็นเรื่องส่วนตัวสิ
sc190_spa_3	บทบาทที่น่าจดจำมากที่สุดของข้าเหรอ? คงจะเป็นบทที่ข้าเล่นเป็นประธานบริษัทที่ป่วยเป็นโรคความดันโลหิตสูง
sc190_spa_4	มาสเตอร์ ท่านดูเหมือนไอ้งั่งที่น้ำลายไหลหน้าทีวีเลย โอ้ววว ข้าทนไม่ไหวแล้ว! ข้าจะตกใจมากถ้าได้อันดับต่ำกว่าเมนูไก่มื้อเย็น
sc190_spa_max	การแสดงไม่ใช่ทั้งเรื่องเท็จหรือเรื่องจริง แต่นักแสดงถูกกำหนดมาให้เห็นตัวเองในบทบาทนั้นๆ เมื่อข้ากำลังแสดง นั่นคือเรื่องจริงของข้า
sc191_spa_1	ฮืมม รู้สึกดีจัง!
sc191_spa_2	อยากรู้ไหมว่าฝีมือของข้ามาจากไหน? ความหลงใหล! การแข่งขัน! และความมั่นใจที่แรงกล้า! เด็กอย่างเจ้าไม่อาจนึกฝันพละกำลังแบบนี้ได้ด้วยซ้ำ
sc191_spa_3	ข้าจะบอกความลับของข้าให้ฟัง แหล่งกำเนิดที่แท้จริงของพละกำลังข้าเหรอ? ผมของข้ายังไงล่ะ ใช่ หากเจ้าตัดผมข้า ข้าก็จะอ่อนแอเหมือนหญิงสาวทั่วๆ ไป\ฮ่า! เจ้าเข้าใจใช่ไหม?
sc191_spa_max	นี่คือหน้าที่ของข้า! ข้าไม่มีวันละเมิดสัญญา เจ้าไว้ใจข้าได้ เด็กน้อย
sc193_spa_1	โอ๊ย!\ไปไกลๆ!\อย่าเข้ามานะ ปีศาจ!
sc193_spa_2	สำหรับปีศาจแล้วถือว่าทำได้น่าประทับใจนะเนี่ย\นึกไม่ถึงเลยว่าปีศาจจะสร้างออนเซ็นแบบนี้ได้ด้วย\อาาา…
sc193_spa_3	ใครบอกให้เจ้า\ทำตัวสนิทสนมกับข้ากันยะ?!\หยุดหัวเราะเสียงดังเดี๋ยวนี้!\ถ้าใครมาเห็นเข้า\เดี๋ยวจะคิดว่าเราเป็นเพื่อนกัน!
sc193_spa_4	ข้าว่าเจ้าเข้าใจผิดแล้วนะ\ข้าแค่ทำพันธสัญญากับเจ้าเพื่อช่วยอาจารย์เท่านั้นแหละ\อย่ามาสั่งข้านะ!\แต่ถ้าขอร้องดีๆ ก็เป็นอีกเรื่องหนึ่ง
sc193_spa_5	อาการป่วยของอาจารย์… มันเป็นปัญหาทางจิตใจ\ข้าจะช่วยเขาให้ได้ไม่ว่าจะต้องทำยังไงก็ตาม\เพราะงั้น…ขอยืมพลังของเจ้าหน่อยนะ
sc193_spa_max	เจ้าเป็นปีศาจที่พิลึกมากเลย รู้ตัวมั้ย?\ทำไมทำตัวเหมือนมนุษย์อย่างนั้นล่ะ?\เจ้าทำให้ข้าลำบากใจนะ\ข้าอาจจะเผลอให้อภัยเจ้าก็ได้
sc194_spa_1	ชู่วว... อย่าวิจารณ์ซี้ซั้ว เข้าใจนะ?
sc194_spa_2	การโกหกเป็นสิ่งที่ไม่ดีเลย เดี๋ยวนะ ฟังดูแปลกๆ ไม่ดีเลยถ้าถูกจับได้ว่าโกหก ฮี่ ฮี่ ฮี่
sc194_spa_3	ไม่ใช่ว่าปีศาจจะชอบทำลายและหลอกลวงเหรอ? มาสเตอร์ เราควรจะลบล้างการ์ดปีศาจของท่าน
sc194_spa_4	ความจริงเหรอ? ความยุติธรรมเหรอ? ใครสนกัน? สิ่งสำคัญคือใครชนะ ฮี่ ฮี่ ฮี่
sc194_spa_5	ท่านใจดีเกินไปแล้ว มาสเตอร์ และยิ่งท่านใจดีมากเท่าไร ท่านก็ยิ่งทำข้าผิดหวังเท่านั้น
sc194_spa_max	ข้ารอคอยวันที่ท่านจะได้เป็นราชาปีศาจนะ มาสเตอร์ ท่านจะถูกโค่นได้ง่ายๆ
sc195_spa_1	อุ่นเหลือเกิน เธรอนก็ดูมีความสุขเช่นกัน
sc195_spa_2	เจ้าคิดว่าเธรอนสามารถจับผู้คนมากินได้ไหม? หยาบคายจริงๆ ขอโทษเขาเดี๋ยวนี้เลย!
sc195_spa_3	เธรอนบอกว่าเขาอยากไปเดินเล่นกับเจ้าและเขาไม่รับคำปฏิเสธ เจ้าโอเคไหมถ้าพาเขาไปเดินเล่นสักพัก?
sc195_spa_4	อ๊ะ ดูสิ เธรอนจ้องมองเจ้าพร้อมกับแลบลิ้นออกมา เขาคงอยากจะมอบจุ๊บแสนหวานให้เจ้า
sc195_spa_max	เจ้ารู้ไหมว่าแดนสวรรค์อยู่ไหน? ฮี่ ฮี่ ฮี่ เจ้าอาจบอกว่าไม่รู้ แต่ข้ารู้ แดนสวรรค์คือที่ไหนก็ตามที่เราอยู่ด้วยกัน
sc196_spa_1	เจ้าอยากลองชิมแอปเปิ้ลของข้ามั้ย แล้วอย่ามาบอกว่าข้าไม่เตือนล่ะ...
sc196_spa_2	ท่านถามว่าข้าทำอะไรอยู่เหรอ? ข้าจะบอกสิ่งที่สำคัญที่สุดให้ท่านฟัง ข้ามีชีวิตอยู่ ข้าได้ทำอะไรมากมายจากการมีชีวิตอยู่
sc196_spa_3	ข้าอุทิศตนอย่างเต็มที่เพื่อสู้ในนามของท่าน ท่านเตรียมค่าตอบแทนที่เหมาะสมแล้วหรือยัง? แน่นอนว่าไม่มีอะไรที่ท่านเสนอให้ข้าแล้วจะทำให้ข้าพอใจได้
sc196_spa_max	เหล่าคนที่มีพลังจะใช้เหล่าคนที่ไม่มีพลัง เป็นเรื่องปกติ แต่นั่นก็ทำให้เกิดคำถามว่า เราที่ตัวเองว่า "มาสเตอร์" จะทำยังไงกับสถานการณ์เช่นนี้?
sc198_spa_1	เยี่ยม เจ้าควรจะดูแลข้าแบบนี้แหละ\แบบนี้ข้าจะได้มุ่งมั่นที่จะเป็นอาวุธสังหารที่ร้ายแรงที่สุดให้เจ้าได้ไง...
sc198_spa_2	สวัสดี เกิดอะไรขึ้นเหรอ? ฮี่ ฮี่ ท่านคาดหวังอะไรหรือเปล่า? ถ้าเจ้าบอกความจริงข้า ข้าอาจจะช่วยเจ้า...อาจจะนะ
sc198_spa_3	ตายแล้ว เจ้ามองข้ามานานแค่ไหนแล้วเนี่ย? ฮี่ ฮี่ ไม่เป็นไรๆ ข้าเคยชินกับการได้รับความสนใจ\แปลกมาก ปกติข้าเก่งในการซ่อนความรู้สึกมากกว่านี้
sc198_spa_4	การดูแลไชลด์และผู้ช่วยทั้งหมดของท่านคงจะเหนื่อยมากใช่ไหมคะ มาสเตอร์? ฮี่ ฮี่ ข้าล้อเล่นหรอกน่า การประหลาดใจกับทุกสิ่งคือความสามารถลับๆ ของท่านหรือเปล่า? ฮึ ท่านยังไปจากข้าไม่ได้หรอก
sc198_spa_max	อยู่กับเพศตรงข้ามสองต่อสอง แถมไม่รู้สึกเกร็งแม้แต่นิดเดียว ข้าส่งสัญญาณไปตั้งหลายอย่างแล้ว แต่เจ้ากลับไม่สนใจเลย เจ้าทำให้ข้าผิดหวัง ...ไม่หรอก ข้าล้อเล่นหรอกน่า
sc199_spa_1	อุ่นเหลือเกิน
sc199_spa_2	ความปรารถนาของข้าเหรอ? เรื่องนี้ควรเป็นความลับนะ แต่ว่า... เดี๋ยวข้าจะแอบไปบอกท่านทีหลังก็แล้วกัน
sc199_spa_3	ข้าอยากรู้ว่าท่านคิดยังไง แต่ท่านกลับใช้แต่คำแปลกๆ เต็มไปหมด
sc199_spa_4	คุณปีศาจ คุณปีศาจจจ ข้ารู้นะว่าท่านแกล้งทำเป็นหลับอยู่ ตื่นมาเล่นกับข้าได้แล้ว
sc199_spa_5	ท่านเรียกข้ารึเปล่า คุณปีศาจ? ข้ามีความสุขเหลือเกินที่ท่านเรียกข้า! ท่านเป็นคนโปรดของข้าเลย!
sc199_spa_max	สักวันนึงท่านจะโตขึ้น ใช่ไหมล่ะ? ส่วนข้าก็อยู่แบบนี้ตลอดแหละ เพราะฉะนั้นท่านต้องกลับมาเล่นกลับข้าอีกหลังโตแล้วนะ
sc200_spa_1	แว่นของข้ามัวไปหมด นี่คือเหตุผลว่าทำไมข้าจึงไม่ค่อยมาที่ออนเซ็น...
sc200_spa_2	ไม่ว่าอาชญากรจะฉลาดแค่ไหน ยังไงพวกเขาก็จะทิ้งร่องรอยเอาไว้ ไม่มีอะไรรอดพ้นสายตาของข้าไปได้
sc200_spa_3	ว่าแต่เจ้าเห็นปิศาจหรือไชลด์ที่ดูมีพิรุธแถวนี้บ้างไหม? หรือเหตุการณ์แปลกๆ ล่ะ? โอ้ อย่าห่วงไปเลย ข้าแค่มาที่นี่เพื่อระวังไว้ก่อนน่ะ
sc200_spa_max	คอยเฝ้าระวังไว้นะ โลกนี้เป็นเหมือนศูนย์รวมความเห็นแก่ตัวและความคิดชั่วร้าย ถ้าเจ้าไม่ระวังให้ดีล่ะก็ อาชญากรอาจจัดการเจ้าได้ตามที่ตั้งใจไว้
sc202_spa_1	เฮ้อออ... นี่แหละคือแดนสวรรค์..
sc202_spa_2	ข้าจะแก้แค้นเพื่ออะไรน่ะเหรอ? ลองเอาอุ้งเท้าอันสกปรกของเจ้ามาค้นอดีตอันมืดมิดของข้าดูไหมล่ะบอส? ...ข้าแค่กวนประสาทเจ้าเล่นน่ะ ทำให้ข้าเชื่อใจมากกว่านี้ซักหน่อยแล้วข้าอาจจะบอกเจ้าก็ได้นะ
sc202_spa_3	ข้าเคยบอกเจ้าก่อนแล้วไม่ใช่เหรอ? เจ้าจะไม่มีวันรู้จนกว่าเจ้าจะได้ลองดูก่อน ข้ายังไม่เปลี่ยนใจนะ
sc202_spa_4	เจ้าอยากรู้เรื่องอะไรล่ะ? ว่าข้ามีคนรักหรือยัง? ฮ่าฮ่าฮ่า! ล้อเล่นน่า! เจ้าดูสงสัยเรื่องความต้องการแก้แค้นของข้าจังเลยนะ? ก็ได้ เจ้านายวัยกลางคนที่โง่เง่าของข้าโดนปีศาจหว่านเสน่ห์ พังบ้านของเรา แล้วยังกลายเป็นคนพิการอีก แค่นั้นเอง
sc202_spa_max	ตอนแรกข้านึกว่ามีอะไรติดหน้าข้า แต่ดันนึกขึ้นได้ว่าเจ้ายังสงสัยเรื่องอดีตของข้าอยู่ ปล่อยเรื่องนี้ไปเถอะ บอส นี่ไม่ใช่เรื่องที่เจ้าต้องกังวลหรอก
sc203_spa_1	ที่นี่ดู... ลึกลับมาก\ข้าชอบมาก
sc203_spa_2	ไม่สำคัญหรอกว่าใครจะได้เป็นราชาปีศาจ\ผู้อ่อนแอก็จะถูกข่มเหงอยู่ดี
sc203_spa_3	ข้ารู้สึกสงสารสัตว์เหล่านี้มากที่สุด\พวกเขาพูดไม่ได้ด้วยซ้ำ\นั่นคือเหตุผลที่ข้าสาบานว่าจะปกป้องพวกเขาจนถึงที่สุด
sc203_spa_4	นี่คือโลกที่ข้าหวังไว้จริงๆ\สงบสุขเหลือเกิน\สัตว์ที่นี่ดูมีความสุขมาก
sc203_spa_5	ถ้าทุกคนในโลกนี้\ใจดีเหมือนท่าน\การอยู่ร่วมกับสัตว์ต่างๆ คงเป็นความฝันที่ไม่ไกลเกินเอื้อม
sc203_spa_max	ขอบคุณนะ ท่านทำให้ข้าเปลี่ยนความคิด\เกี่ยวกับปีศาจ ข้าจะเป็นกำลังให้ท่าน\ได้เป็นราชาปีศาจ
sc205_spa_1	ดูสเปรย์นั่นสิ!
sc205_spa_2	ไงพี่ชาย! มาเล่นเกมกันเถอะ! ถ้าข้าชนะ เจ้าจะต้องเอาหนวดเธรอนมาให้ข้านะ!
sc205_spa_3	เจ้าไม่ชอบมาเที่ยวกับข้าเหรอ? คือแบบว่าข้าเห็นเจ้าทำหน้าแบบนี้ตลอดเลย ถ้าเจ้าไม่ว่าอะไร วันนี้เราเล่นเกมกันไหม?
sc205_spa_4	ทุกอย่างในโลกของข้าเป็นของปลอม ก็สนุกดีนะ แต่ออกจะไม่ค่อยสบายและก็เหงาหน่อยๆ แต่เจ้าเรียกข้ามาสู่โลกแห่งความเป็นจริงนี้ อันที่จริง ตอนนี้ข้ารู้สึกโอเคแล้ว!
sc205_spa_max	ข้าจะสู้เพื่อเจ้าอย่างเต็มที่ พี่ชาย! ข้าเป็นสุดยอดจอมเวทย์ แล้วข้าจะจัดการศัตรูของเจ้าให้กลายเป็นผุยผง! ข้าจะคอยระวังหลังให้!
sc208_spa_1	ที่อ-อาบน้ำรวม?! ล-แล้วข้าจะมองไปที่ไหนดี...?!
sc208_spa_2	การพัฒนาร่างกายไปจนถึงขีดสุดนั้นเป็นประสบการณ์ที่เจ็บปวดมาก แต่เหนือกว่าความเจ็บปวดคือเกียรติยศที่แท้จริงของนักรบ
sc208_spa_3	หากเจ้าตั้งใจจะเรียกว่าตัวเองว่าเป็นมาสเตอร์ของข้าแล้วละก็ เจ้าต้องพร้อมที่จะสู้เพื่อจะเอาชนะข้า! ข้าจะก้มหัวคำนับเจ้าหลังจากที่เจ้าเอาชนะข้าได้เท่านั้น
sc208_spa_max	ข้าจะยังไม่เรียกจ้าว่ามาสเตอร์ แต่ข้าจะนับเจ้าเป็นทหารร่วมสงครามก่อนละกัน ถ้าเจ้าได้ร่วมทำสงครามกับใคร เราจะถือเป็นสหายร่วมรบที่แท้จริง!
sc209_spa_1	ปลุกข้าด้วยหากข้าหลับไป โอเคมั้ย
sc209_spa_2	อะไรอีกล่ะคราวนี้? โอ้ ข้าควรระวัง 'เพราะว่าน้ำนี้ร้อน' เหรอ? จะยังไงก็ช่าง! ไม่เห็นจะจำเป็น ทำยังกับข้าจะไม่— อั๊ก! เย้ย น้ำร้อนมากๆ เลยนะ!
sc209_spa_3	ข้าล่ะเบื่อที่จะต้องแทรกเข้ามาตลอดเวลา ข้าควรออกไปคนเดียวได้ ใช่ไหมล่ะ?
sc209_spa_max	ทำไมเจ้าถึงดื้อรั้นได้ขนาดนี้นะ?! เจ้าคิดว่าจะได้ผลลัพธ์แบบอื่นจากการทำเหมือนเดิมได้ยังไงกัน?! ถือเป็นการกระทำที่ไร้ประโยชน์มาก
sc210_spa_1	เจ้ากล้าดียังไงมาแอบมองเรือนร่างของราชาปีศาจ! มาให้ข้าตัดหัวซะดีๆ!
sc210_spa_2	เรื่องราวของข้าคงไม่เหมือนกับเทพนิยาย! แต่เป็นประวัติศาสตร์ในโลกปีศาจ!
sc210_spa_3	การเป็นราชาปีศาจจริงๆ แล้วไม่ได้ยากลำบากขนาดนั้น ผู้ที่จะเป็นราชาปีศาจจะต้องอุทิศตนและปฏิบัติกับประชาชนอย่างเป็นธรรม รวมถึงต้องมีความทะเยอทะยานอันแรงกล้า
sc210_spa_max	หากเจ้าปรารถนาเป็นราชาปีศาจ อันดับแรก เจ้าต้องเรียนรู้ที่จะก้มโค้ง แบบเดียวกับที่ข้าทำกับเจ้าให้ได้ก่อน
sc214_spa_1	อืม... ไม่เลว
sc214_spa_2	เอาจริงนะ ข้าล่ะสงสัยว่าทำไมเจ้าเรียกแทนตัวเองว่า "มาสเตอร์" แต่ตัวเจ้ายังเก่งไม่เท่าไชลด์ของเจ้าเองเลยแม้แต่คนเดียว การที่เจ้ารอดมาได้ถึงจุดนี้ถือเป็นเรื่องปาฏิหาริย์มาก
sc214_spa_3	การชนะอย่างสวยงามน่ะไม่มีจริงหรอก ผู้ชนะที่แท้จริงจะเป็นสัตว์ร้ายเห่าหอน แยกเขี้ยว และเปียกโชกไปด้วยเลือด
sc214_spa_4	จากการต่อสู้ที่เจ้าผ่านมา ข้าไม่เห็นว่าเจ้าจะพัฒนาหรือเก่งขึ้นเท่าไหร่เลย นี่ข้าจะต้องคอยดูแลเจ้าไปตลอดชีวิตรึเปล่า?
sc214_spa_5	ข้าก็ยังไม่เข้าใจว่าทำไมเจ้าหลงใหลในกระเป๋าหิ้วของข้านัก ข้าคิดว่าเจ้าเลิกสนใจมานานแล้วนะ ข้าจะเปิดให้เจ้าดูของในกระเป๋าก็ได้นะถ้าเจ้าต้องการ แต่ข้ามีข้อแลกเปลี่ยน ข้าอยากให้เจ้าทุ่มสุดชีวิต
sc214_spa_max	เจ้านี่นะทำอะไรครึ่งๆ กลางๆ ตลอดเลย ข้าอยากให้เจ้ามีความแน่วแน่แล้วเริ่มเปลี่ยนตัวเองซะ ถ้าเจ้าทำได้ ข้า จูปิเตอร์ จะคอยช่วยเจ้าตลอดไป
sc216_spa_1	หูยยย รู้สึกดีมากเลย ข้าไม่กลับบ้านได้มั้ยนะ
sc216_spa_2	เจ้าอยากให้เราสนิทกันมากขึ้นใช่ไหม เจ้าเหมียวที่น่ารักของข้า? ถ้าอย่างนั้น เจ้าต้องจับข้าให้ได้ก่อนนะ!
sc216_spa_3	กฎมีไว้แหก ไม่ใช่เหรอ? จากกฎของไชลด์ทั้งหมด การเชื่อฟังมาสเตอร์ถือเป็นข้อเดียวที่ข้าพร้อมแหกกฎเสมอ!
sc216_spa_4	คนที่แปลกประหลาดและขี้สงสัยเป็นคนแบบที่ข้าชอบเลย ซึ่งเจ้าไม่ได้เป็นแบบนั้นเท่าไหร่ เจ้าเหมียว แต่ข้าคิดว่าเจ้าคงเป็นเพื่อนที่ดีได้
sc216_spa_5	เจ้ามาที่นี่ทำไมกัน? อ้อ ข้ารู้แล้ว! เจ้ากลัวว่าข้าจะหนีไปอีก ใช่ไหม? อย่าห่วงไปเลย ข้าไม่ไปไหนอีกสักพักนึง
sc216_spa_max	อยู่ดีๆ วันหนึ่งข้าอาจหายตัวไปเลยก็ได้ ข้าก็เป็นของข้าแบบนี้แหละ เจ้าคงเข้าใจนะ? แสงของดวงจันทร์ ความมืดมิด... กำลังเรียกข้าอยู่
sc218_spa_1	ข้ามีความสุขเหลือเกิน\ข้าสงสัยว่าผู้ทำพันธสัญญาของข้าเคยไปที่แบบนี้บ้างไหมนะ
sc218_spa_2	โอ๊ะๆตอนนี้ผิวของข้าดูกระจ่างใสมากเลย!\ดีกว่าไปทรีทเม้นท์ผิวซะอีก
sc218_spa_3	มาสเตอร์ เข้ามาสิคะ\ในนี่ทั้งอุ่นและสบายนะ
sc218_spa_4	น้ำอุ่นมาก\รู้สึกราวกับว่าข้ากำลังอาบความรักของท่านอยู่เลย
sc218_spa_5	อุณหภูมิกำลังสบาย ผ้าขนหนูเนื้อนุ่ม ไอน้ำสุดหรู\ถ้าได้แต่งงาน ข้าคงได้เสพสุขแบบนี้ทุกวัน ใช่มั้ยล่ะ
sc218_spa_max	แค่ได้อาบน้ำที่นี่ทุกวัน\ข้าก็เป็นผู้หญิงที่มีความสุขที่สุดในโลกแล้ว!
sc219_spa_1	ที่นี่ร้อนจัง…
sc219_spa_2	ไปไกลๆ ซะ\ข้าทนคนโลเลไร้ประโยชน์ไม่ได้
sc219_spa_3	ตลกจัง\เจ้าเชื่อใจข้าทั้งๆ ที่ยังไม่รู้อะไรสักอย่างเกี่ยวกับข้าเลยเนี่ยนะ?\ข้าไม่เชื่อใจเจ้าแม้แต่นิดเดียว
sc219_spa_4	ข้ายอมรับเจ้าในฐานะมาสเตอร์ของข้า\เพื่อความสะดวกเท่านั้นแหละ
