// key	CHAT_SPA_
sc001_spa_1	呼……没什么比宠爱自己一下更好的了♥
sc159_spa_4	我的小小朋友啊，\你又在特别注意我了。\你想从我这里获得什么？朋友，你找错对象了。\我早已将一切都献给他了。\你太慢了，小鬼。
sc159_spa_5	你要我对你友善吗？\但那会是不真诚的喔。\没有能完善你灵魂的朋友这种东西。\那都是假的，一个总是有着悲剧结局的谎言。\你还想跟我保持亲密吗？\噢，你真傻。
sc159_spa_max	好吧，你这顽固的恶魔，我们可以交朋友。\每个恶魔都有\自己独特的地方，\你的独特之处就是顽固。\你赢了。满意了吧？我的天，你怎么如此执着。\真让我感到意外呢。
sc164_spa_1	你……你到底知不知道自己在干嘛啊？！
sc164_spa_2	你那是什么表情？你想猜猜我怎么想的吗？这样打量别人是不礼貌的。
sc164_spa_3	真烦。所有人都以为我们吵架了。我只是觉得在你旁边有点不自在，仅此而已。
sc164_spa_4	如果你能多体谅体谅我的感受，我会很感激的。虽然我有点冷淡，但请对我耐心一点。
sc164_spa_max	我知道是我叫你走的，但你也不用走那么远吧。你可以靠近一点。……啊！太靠近了。
sc167_spa_1	只有我一个人这么享受，真的可以吗～
sc167_spa_2	你好吗，主人？我们今天要聊些什么呢？我们有的是时间，所以就慢慢来吧。
sc167_spa_3	恶魔能活多久呢？或者说，你能跟我在一起多久呢？真是不可思议。我想的全是未来的事。
sc167_spa_4	其实Child和人类并没有什么太大的差别。我也许会是个很好的Child。其实，我的个性也蛮邪恶的。嘻嘻，我开玩笑的。
sc167_spa_5	我知道我是被宠坏了，但有时候，我就是想依赖你。毕竟，我是你的Child，而你是我的主人。……呃，太露骨了吗？
sc167_spa_max	把一切都告诉我吧。我想多了解你一些。当我不在身边的时候，你是个什么样的恶魔呢？
sc169_spa_1	巧克力……都融化了……呜呜。
sc169_spa_2	恶魔看起来总是垂头丧气的。吃点巧克力，会不会好一些？
sc169_spa_3	唉……你问我为何要叹气？我这是在模仿你啊，主人。
sc169_spa_max	我们可以像这样放轻松真好，主人。等我们回去之后，我给你买巧克力吧。我会买那种吃起来让人倍感愉悦的巧克力。
sc172_spa_1	洗净自己，能让你的内心更加开朗。
sc172_spa_2	今天他又寄来了一封信？回信？也许我的确该这么做。啊，该怎么回呢？
sc172_spa_3	你好，小男孩。你出现的时机刚刚好。我正在为你祈祷。你愿意为我祈祷——嘿，这么快就要走了吗？嘻嘻……
sc172_spa_4	你可以帮我个忙吗？有人对我表白了。是真的告白喔。我想，也许有了你的鼓励，可以让我向对方敞开心扉。
sc172_spa_max	偶尔回头看看我如何？我眼里只有你的影子。
sc173_spa_1	泡温泉比我想的还有趣。
sc173_spa_2	主人，你每天都很无聊吧？所以你才整天摆着一张臭脸啊。
sc173_spa_3	不跟我玩的话，就走吧。你害得我分心了。
sc173_spa_4	你看起来很无聊呢，主人。一起吗？没人让我来找你——这是我自己的决定。不要？不想玩？
sc173_spa_5	我讨厌战斗。战斗很麻烦，而且汗流浃背的。我宁可跟你玩过家家，主人。
sc173_spa_max	我有自知之明。我很烦吧。……咦？不会吗？虽然不知道你说的是不是真的，但我很开心能听到你这么说。
sc174_spa_1	啊啊～被工作压得疲惫不堪的身体得到了治愈……\偶尔也应该来几次这样的生命洗涤★
sc174_spa_2	像这样只有我们两个人……我有一点紧张。★等等，这样太完美了。现在开始现场直播：「A.I的独家温泉特别报导！」
sc174_spa_3	嗨，小不点候补生！你今天要为我们带来什么独家消息吗？嘻嘻，我逗你玩的！你总能找到我。
sc174_spa_4	这不又是那个小不点候补生吗？虽然我正在享受属于我的「个人」时光，但是欢迎你加入。怎么样？你想聊聊吗？
sc174_spa_5	魔王争夺战正在火热进行中！收视率飙升！哎呀，我最爱魔王争夺战了！我再也不要播报那些无名恶魔了。
sc174_spa_max	「独家！和Evil频道主播A.I来场私密约会！★」我想把我们的约会直播给粉丝看。你觉得如何？你参加吗？
sc175_spa_1	真正的骑士要随时保持警戒才行，就算现在这样泡温泉的时候也不例外。
sc175_spa_2	主人，魔王争夺战已经开始了一阵子。我可以测试一下你进步了多少吗？
sc175_spa_3	争夺战正在进行中，在这种时候享受温泉，也不知道是不是好事？
sc175_spa_4	身为Child，我的任务就是服侍你。我并不奢望可以得到补偿。
sc175_spa_5	我听说你在担心我。我保证你完全不用担心。我雷德克洛斯会是你无敌的骑士，还有——喔。你是在担心尤娜小姐啊。
sc175_spa_max	要有信心。我会一直在你身边保护你的。你现在只需要专心宣扬自己的理想，并付诸实践就行了。
sc176_spa_1	这就是养尊处优的感觉啊！这都多亏了你。
sc176_spa_2	哎呀，真稀奇。见你一面可太不容易了。你好。我能为你做点什么呢？咦？什么也不用做？这也太无趣了吧。
sc176_spa_3	嘻嘻嘻！我今天手气真好。看看我赚了多少！那家伙虽然块头不小，但头脑简单。搞定他也太简单了。
sc176_spa_4	喔，我的新目标来了！嘻嘻，我逗你玩的啦。我能打什么鬼主意。你别这么紧张。
sc176_spa_5	那个，你成为魔王之后，有什么打算？要是我的话，我会打造一间安静的豪宅，远离恶魔和人类，我可以在那里怀念我的主人。
sc176_spa_max	你真的会是我最后一个主人吗？感觉好不真实啊。我克主人的诅咒真的解除了吗？坦白讲，我不想再失去主人了。
sc178_spa_1	我们今天不玩躲猫猫了吗？
sc178_spa_2	虽然我不知道这种感觉正不正常，但我觉得我像雾一样浮在空中。
sc178_spa_3	如果我消失了……你会记得我吗？
sc178_spa_max	谢谢你……这么了解我。这就是我想说的。
sc180_spa_1	太美妙了！真的是太美妙了！哈哈哈哈！
sc180_spa_2	伟大的玛门大人只想要美女和财富！其他什么都不要！
sc180_spa_3	喔，这孤独的人生，真让人悲伤！我愿意用我所有的财富换她的心！嗯，也许用不到全部的财富。也许四分之一就好？
sc180_spa_4	真让人讨厌。房间又小又脏——衣服还皱巴巴的。仆人1号，拿着这笔钱，去给自己买点像样的衣服吧。
sc180_spa_5	你可以当我玛门大人和莫娜小姐之间的联络人啊！喔，太好了！哈哈哈哈！
sc180_spa_max	好了，仆人1号！不，传信鸽1号！去吧，把我热切的爱传递给莫娜小姐！
sc183_spa_1	就算是女神也需要休息。
sc183_spa_2	你问我是否还记得我的契约者？既然你诚心诚意地发问了，我就大发慈悲地告诉你。人类的生命如泡沫般——一转眼就消逝不见了。因此，我将所有不再需要的东西都给扔了。
sc183_spa_3	那些Child是在这个温泉里治病吗？真可怜。真是太可怜了。
sc183_spa_4	小恶魔，你正在为琐事感到困扰。放下你心中的忧虑，来我旁边休息吧。
sc183_spa_5	弯下你的膝盖、低下你的头颅，献上祈祷文来赞美我吧！只有服从我命令的人才能得到快乐！
sc183_spa_max	我会长伴你左右的。跪在我面前祈求吧。女神的祝福会在你寻求帮助时降临。
sc184_spa_1	说到天堂，这里有一个不错的。\啊，这感觉真好……♪
sc184_spa_2	我想要退出魔王争夺战，到其他地方去！也许是时候计划我的第1254次逃跑了。
sc184_spa_3	战斗结束之时，和平也会降临，那我也会开启一场寻找乐园的旅程。
sc184_spa_4	什么？你要跟我一起逃跑吗？丢下你的魅魔们？我举双手双脚赞同喔。唷~呵~呵~！♪
sc184_spa_max	下次你感到疲累时，可以试着想想乐园的样子。你说这世上根本没有这种地方？我知道！这个乐园需要你自己打造。
sc186_spa_1	这让我心情很好。看来要给一些点心了。
sc186_spa_2	狗狗会喜欢温泉吗？\你别想进去。\去帮我找杯冷饮什么的。
sc186_spa_3	真是的，我应该带小可爱来的。\哈哈，你吃醋了吗？
sc186_spa_4	别让温度降低了。\你知道反抗我会发生什么事吧？
sc186_spa_5	这个项圈是专属于你的。\你看，你比小可爱还特别哦。
sc186_spa_max	我觉得是时候承认\你是世界上最棒主人了。\毕竟，还有谁能驯服我呢？呵呵……
sc187_spa_1	在这里应该看不到我的眼泪，对吧？
sc187_spa_2	梅迪，你小点声！你吵的我头都快炸了。
sc187_spa_3	我的内心充满了如海洋般深邃的悲伤。无法逃离，因为我就是那片海洋。
sc187_spa_4	请跟梅迪说……她的温暖安慰了我。
sc187_spa_5	安静地待在我身边就好。这样就足够了。
sc187_spa_max	虽然我的过去只有不幸，但我总觉得以后和你相处的每一分每一秒，都会让我快乐。我很期待。
sc188_spa_1	哇……这感觉就像我的身体融化了一样……
sc188_spa_2	我终于有证据了！这跟抓犯人差不多！犯人……就是你，恶魔！
sc188_spa_3	哼！你以为你可以用你那卑劣的谎言骗过我吗？哈！等等……好像，你说的有道理。
sc188_spa_max	坏人的报应？那就是正义的审判！没错。我的任务就是把他们心中的邪恶给揪出来！
sc189_spa_1	我希望你能经常带我来这种地方。
sc189_spa_2	啊，休想逃！你是逃不掉的！……我为什么要追着你？这就是你的罪行！
sc189_spa_3	我管你喜不喜欢——你就面对现实吧！要不是你每次都想逃，我用的着这样跟你嘛！
sc189_spa_max	我抓到你后会怎样？我会保护你不受霸凌的！……咦？这有什么好笑的？
sc190_spa_1	女演员的皮肤就跟她的演技一样重要。\啊，这对皮肤来说一定会是个奇迹♪
sc190_spa_2	最近到处都是狗仔。真是烦死了。演员就不能有点隐私么？
sc190_spa_3	最令我印象深刻的角色？应该是那个因高血压而昏倒的公司总裁。
sc190_spa_4	主人，你看起来像个白痴一样啊。还在电视机前面流口水？啊，我真是受不了了！我的节目有这么差吗？！
sc190_spa_max	怎么说呢，表演和故事的真假没有关系。演员必须要成为你要演的这个角色。我演戏的时候，戏里的生活就是我的生活。
sc191_spa_1	嗯，这感觉真好！
sc191_spa_2	想知道我力量的源泉在哪里吗？热情！竞争！绝对的自信！像你这样的小鬼，是不可能拥有这种力量的。
sc191_spa_3	让我来告诉你我的秘密吧。我力量的源泉就是我的头发。没错，如果你把我的头发剪了，我的力量就跟其他家伙没什么两样了。\哈哈！你真的信了？
sc191_spa_max	这是我的责任！我到死都不会背叛自己的誓言。你要相信我，小子。
sc193_spa_1	呃！\退后！\别再靠近了，恶魔！
sc193_spa_2	就恶魔来说，这很厉害。\谁能想到你们能开发出这样的温泉呢。\啊……
sc193_spa_3	是谁说你可以\跟我装熟的啊？！\还有，别笑得那么大声！\万一让别人看见，\还以为我们是朋友呢！
sc193_spa_4	我觉得你误会了。\我是为了师父才跟你立下契约的。\不要对我指手画脚的！\如果是请求的话，那就另当别论了。
sc193_spa_5	师父的病……是心病。\我会不惜一切代价帮助他恢复的。\所以，你能帮我吗？
sc193_spa_max	你真是个奇怪的恶魔。\你为什么表现得跟人类一样？\你让我很困扰。\这样下去的话，我也许会原谅你。
sc194_spa_1	嘘……不要说多余的话。
sc194_spa_2	不能说谎。等等，这样讲有点不大对。说谎可以，不被戳穿就好。呼呼呼~
sc194_spa_3	恶魔不就应该玩弄和欺骗别人吗？主人，你不配成为一个恶魔。
sc194_spa_4	真相？正义？谁在乎！历史都是由胜者书写的。呼呼呼~
sc194_spa_5	你人真好，主人。可惜，你人越好，我就对你越失望。
sc194_spa_max	我期待你成为魔王的那一天，主人。毕竟，要推翻你的统治，实在是太容易了。
sc195_spa_1	真温暖，赛隆也很享受呢。
sc195_spa_2	赛隆吃人？你在想什么？现在立刻跟赛隆道歉！
sc195_spa_3	赛隆说他想跟你散步。你可以陪他一会儿吗？
sc195_spa_4	哇，你看。赛隆正吐着舌头盯着你呢。看得出来，他真的很想好好亲亲你。
sc195_spa_max	你知道乐园在哪里吗？嘻嘻嘻。你不可能知道的，这个地方只有我知道。那就是只要我们在一起，哪里都是乐园。
sc196_spa_1	要尝尝我的苹果吗？可别说我没警告你哦……
sc196_spa_2	我在做什么？我告诉你，我在做一件很重要的事，那就是「存在」。我在这里可以做很多事情。
sc196_spa_3	我会为你而战的。你把报酬准备好了吗？当然，我对你的价码并不满意。
sc196_spa_max	有权力的人会利用没有权力的人。这就是生存。问题来了：我们两个都自称为「主人」，在这种特殊情况下，我们该怎么做？
sc198_spa_1	很好，你这样照顾我就对了。\这样一来，我就能专心当你最致命的武器了……
sc198_spa_2	你好。怎么了？嘻嘻。你在期待什么？如果你老实告诉我，我或许能帮到你……
sc198_spa_3	哎呀，你在这里待了多久？嘻嘻。没关系的。我习惯被人关注了。\真奇怪，我一向很会隐藏自己的感受。
sc198_spa_4	你的Child和助手很累吧，主人？一直在照顾你。嘻嘻，我开玩笑的。这就被吓到了？这是什么才艺吗？啊，你可别想甩掉我。
sc198_spa_max	与异性单独相处，都不紧张？我的暗示你一个都没领会？你让我失望了。……没啦，我开玩笑的。
sc199_spa_1	好温暖。
sc199_spa_2	我的愿望？这本该是个秘密，不过……我可以晚点再跟你说。
sc199_spa_3	虽然我想知道你的想法，但你说的我一个字都听不懂。
sc199_spa_4	恶魔先生。恶魔先生。我知道你是在装睡。赶快起床，跟我一起玩吧。
sc199_spa_5	恶魔先生，你刚刚叫我了？你刚刚竟然叫我了！我最爱你了！
sc199_spa_max	恶魔先生总有一天也要长大的，对吧？但我永远都会是这个样子啊，所以你最好在长大后能继续陪我玩。
sc200_spa_1	我的眼镜起雾了。这就是我不喜欢泡温泉的原因……
sc200_spa_2	再厉害的罪犯，都会留下蛛丝马迹。没人能逃过我的法眼。
sc200_spa_3	你在这附近有看到过什么可疑的恶魔或是Child吗？这附近有什么奇怪的事情发生吗？不用担心。预防犯罪而已。
sc200_spa_max	小心点。这个世界可是个自私与邪恶的大熔炉。稍有不慎，就会有罪犯对你为所欲为。
sc202_spa_1	呼啊啊啊啊……现在这才叫天堂……
sc202_spa_2	我为什么要复仇？老大，麻烦你先管好你自己，别来管我好吗？……我开玩笑的啦。等我们再熟一点，也许我就告诉你了。
sc202_spa_3	我之前跟你说过的。没试过，怎么知道结果呢？我一直是这样认为的。
sc202_spa_4	你想知道些什么？我有没有爱人？哈哈哈！开玩笑啦！你对我复仇的事情很好奇吧？告诉你哦……我爸因为被恶魔诱惑，他不仅毁了我们整个家庭，还把自己搞成了废人。就是这样。
sc202_spa_max	我刚还在想你为什么要一直盯着我看，原来你是对我的过去感到好奇啊。这不是老大该在意的事情。没什么可担心的。
sc203_spa_1	这地方太……神秘了。\我喜欢。
sc203_spa_2	不管谁成为魔王。\弱者依旧会被虐待。
sc203_spa_3	我为动物感到难过。\它们连话都没办法说。\所以我发誓要永远保护它们。
sc203_spa_4	这就是我期望的世界。\真是太平静了。\这里的动物看起来好开心。
sc203_spa_5	如果世界上每个人\都能有着跟你一样善良的心，\那与动物共存的梦想就不会那么遥不可及了。
sc203_spa_max	谢谢你。你帮助我改变了\我对恶魔的想法。我会为你成为魔王这件事\加油的。
sc205_spa_1	好厉害的喷头！
sc205_spa_2	嗨，大哥！我们来玩个游戏吧！如果我赢了，你就去揪几根赛隆的胡子给我！
sc205_spa_3	你讨厌跟我相处吗？因为你一直都摆着一张臭脸啊。如果你不介意的话，我们今天来玩个游戏吧？
sc205_spa_4	一切都是虚假的。虽然很有趣，但我觉得有点不舒服，而且还很孤独。你把我带进了这个真实的世界，所以我现在没事了！
sc205_spa_max	大哥，我会尽全力为你而战的！我可是伟大的魔法师啊。我会把你的敌人都轰成渣的！放心，以后我来保护你！
sc208_spa_1	混……混浴？！那……那我该看哪里啊……？！
sc208_spa_2	挑战身体的极限可是件很痛苦的事情，但是痛苦过后，就会获得只属于战士的真正的荣耀。
sc208_spa_3	如果你想成为我的主人，那就跟我打一场！赢得了我，我就向你俯首称臣。
sc208_spa_max	我还没承认你是我的主人呢。不过如果我们可以一起上战场，那我们就是光荣的战友！
sc209_spa_1	如果我睡着了，记得叫醒我，好吗？
sc209_spa_2	现在呢？因为水很烫所以我要小心？随便啦！真是啰嗦，说的好像我会——啊！哇，好烫啊！
sc209_spa_3	我受够了。你别再管我了！我也该有自己的独处空间了吧？
sc209_spa_max	你为什么这么犟啊？！难道你还期待不同的结果？！你做的事情和以往并没有什么不同。你这在做无用功。
sc210_spa_1	你怎么敢偷窥魔王的身体！我要把你的头给砍了！
sc210_spa_2	这可不是什么童话故事！是真正的魔界历史哦！
sc210_spa_3	要成为魔王？简单。只要能无私且平等对待其他人，并衷于自己的野心就行。
sc210_spa_max	想成为魔王，那你要先学会如何低头，就像我对你做的那样。
sc214_spa_1	嗯……挺不赖嘛。
sc214_spa_2	说真的，你自称「主人」，却连自己的Child都无法超越？！你能活到现在简直是个奇迹。
sc214_spa_3	没有美丽的胜利。真正的胜利者都是咬牙切齿，满身鲜血的野兽。
sc214_spa_4	你经历了那么多场战斗，但我却没看到你有任何进步。所以，我成了你的新保姆？
sc214_spa_5	你怎么对我的公文包那么痴迷？我以为你早就放弃了。既然你想看，那我就让你看看里面都装了什么吧。不过，这可不是白看的，这是要赌上性命的。
sc214_spa_max	你总是半途而废。我要你下定决心，坚持下去。只要你能保证坚持到底，我朱庇特就会用余生去协助你。
sc216_spa_1	呼~真舒服。我看还是先别回家了。
sc216_spa_2	我可爱的小猫，你想要我们更亲密一点吗？那你得先抓住我哦！
sc216_spa_3	规则的存在就是为了打破它。Child的规则就是服从主人，但我不打算遵守这项规则！
sc216_spa_4	只有充满好奇心却又反复无常的人，才是我的好朋友。小猫咪，虽然你不是这样的人，但我觉得你会是个很棒的朋友。
sc216_spa_5	你为什么来这里啊~？啊，我知道了！你是担心我又会跑掉吧？别担心。短期内，我是不会离开你的。
sc216_spa_max	可能哪一天，我就会突然消失吧。跟我相处就是这样喔~月光与黑暗……正呼唤我。
sc218_spa_1	我好开心啊！\不知道我的契约者有没有来过这样的地方。
sc218_spa_2	哦哦！ 我的皮肤现在好有光泽啊！\比任何美肤都要厉害。
sc218_spa_3	主人，进来吧。\这里好温暖又好放松。
sc218_spa_4	水好温暖，\我感觉像是沉浸在你的爱里面一样。
sc218_spa_5	舒适的温度、松软的毛巾、奢华的蒸气。\如果我结婚了，就能每天享受这些东西，对吗？
sc218_spa_max	光是能每天泡澡，就会让我\成为世界上最开心的女人了！
sc219_spa_1	这里好热……
sc219_spa_2	走开。\我受不了如此优柔寡断且一无是处的人。
sc219_spa_3	你真可笑。\你对我一无所知却肯相信我？\我可不信你。
sc219_spa_4	我承认你是我的主人的唯一原因是\这样做对我有用。
sc219_spa_5	你有那么怀疑恶魔的生活方式吗？\停止人类的那一套吧。
sc219_spa_max	你当上魔王，我便向你低头。\作为一个无用的主人，你最多只会得到我最基本的礼貌。
sc220_spa_1	没什么比锻炼后去泡温泉更舒服了！现在，继续训练吧！
sc220_spa_2	真好笑。身为主人，比他自己的Child还弱。吊车尾先生，你在听吗？！你难道不觉得丢脸吗？！
sc220_spa_3	你的努力是不会白费的。继续努力，总有一天，你会获胜的。要不要锻炼一下你虚弱的身体？这至少可以让你达到平均水平啊！
sc220_spa_max	吊车尾先生，身为主人，你要成为Child的榜样哦！别担心！我愿意竭尽所能来帮你。
sc221_spa_1	尽情享受所有的事物，\战士就是这么一回事。
sc221_spa_2	啊……我的头好痛……\没事。自言自语。
sc221_spa_3	又耳鸣了……这就是被世界所厌恶的感觉。……啊，我都有点不像我自己了。当我什么都没说吧。
sc221_spa_max	黑之恶魔，我将我的剑托付给你。成为罗剎的剑，帮助他开辟未来的道路吧。
sc222_spa_1	我开始觉得无聊了……
sc222_spa_2	我，艾德拉多，是唯一一个能帮助你这种烂泥候补生通向胜利的Child。颂扬我吧！哈哈哈哈！
sc222_spa_3	你要如何回报我呢？……身无分文？！哼！你的生命对我而言一文不值！
sc222_spa_4	我很吝啬？你答对了。如果你一无所有，还要怎么去保护其他人？你这个恶魔还真是奇怪哎。
sc222_spa_max	恶魔，不得不承认，你的态度真的很坚定。我认为你有资格分享我的一部分财富。
sc223_spa_1	在我踏上旅程前，先小憩一会儿。
sc223_spa_2	我是流浪的Child，\万物的旁观者。\恶魔，\你只是与我擦身而过的一道风景而已。
sc223_spa_3	别抗拒河流。\将自己投身其中吧。
sc223_spa_4	生活就像流动的河\与静止的湖。
sc223_spa_5	我终于看到河流了。\让我们享受旅程，\直到我们分离为止吧。
sc223_spa_max	很高兴能遇到你。\因为你，我才有这么欢乐的回忆。\谢谢你。
sc225_spa_1	啊，女池在哪里啊？
sc225_spa_2	你能想办法劝劝妲比吗？！她想要我帮她拉雪橇！这事就不能找别人来做吗？！我一个人真的做不来啊！
sc225_spa_3	啊，真希望我的主人是莫娜。我可以为了她做任何事，哪怕是献出我的生命。
sc225_spa_4	你想要我当个安静的Child？好啊。下次战斗的时候，我会安静地看着你被人锤爆你的狗头的。
sc225_spa_max	你没有女朋友吗？节假日也没人陪吗？……没有？好吧。我也没有。
sc227_spa_1	什么？只是摘个太阳镜而已……有必要一直盯着我看吗？
sc227_spa_2	你明明要抓到Child了，怎么能放他走呢？别放弃啊！听清楚了吗？好了，现在再去抓一次吧！
sc227_spa_3	对你来说，「正义」是什么？别跟我说你没想过这问题。算了，当我没问，因为你的脸已经把你的答案告诉我了。嗯。
sc227_spa_4	我的弱点？啊，我懂了。你是想捉弄我吧。哈，你这种偷偷摸摸的行径才是恶魔正确的打开方式啊。
sc227_spa_5	老大为什么想成为魔王啊？你的内心明明有正义感。
sc227_spa_max	老大，如果你不相信你自己，那就相信我吧。我会一直保护你的。
sc228_spa_1	茶虽好，但偶尔来一杯鸡尾酒也可以吧。
sc228_spa_2	我觉得这仅限女士使用……\先生可不能入内。
sc228_spa_3	Petit，你也有童年吧？\跟其他人一样留着鼻涕，无忧无虑。
sc228_spa_4	不论离的多远，母亲就是母亲。\希望我的契约者能意识到这件事。
sc228_spa_5	你打扫房间了吗？你有准时去上班吗？\你有吃饭吗？\我的天啊，你自己洗衣服吗？
sc228_spa_max	如果你心中有负担，可以来找我。\我无法让它们消失，\但我能让你的内心平静一点。
sc229_spa_1	这……这里仅限女性！没人告诉过你吗？！
sc229_spa_2	哪儿有什么不必要的信息啊。任何情报，都有可能成为武器的潜能。
sc229_spa_3	我会好好保护你的信息的。话虽如此，我觉得你的信息好像一文不值。
sc229_spa_4	我才不是猫！我是栗鼠！我从来没这么被污辱过！
sc229_spa_5	干草！……我不是在说你啊，我是在说我的食物！不过，布朗尼蛋糕也是我的最爱。
sc229_spa_max	我是个工人！你不能指望我给你免费劳动吧！
sc230_spa_1	我随时随地都能迎接你的挑战！
sc230_spa_2	别无视你心中的黑暗，如果不加以克制的话，总有一天，它会变成巨兽，将你生吞活剥了的。
sc230_spa_3	恶魔，别向你的命运屈服啊！在黑暗的尽头，总有道光在等你！
sc230_spa_max	未来不属于任何人。因为我们就是未来！来吧，拥有不死诅咒的朋友们啊！让我们踏上旅程吧！踏上诅咒之旅！
sc231_spa_1	你会不会盯我盯得有点过头了？
sc231_spa_2	请别那样对我说话！\我会是个很优秀的母亲。
sc231_spa_3	我之所以选你当丈夫，是因为你是\一个主人……但也许我应该找另一个恶魔才对？
sc231_spa_4	恶魔先生，你忘了\你会成为我丈夫这件事吗？
sc231_spa_5	说真的，我到底要怎么做\才能让你爱上我？！真是的……
sc231_spa_max	你要成为魔王才能成为我的丈夫。\所以不论如何，成为魔王就对了。
sc232_spa_1	泡温泉真的让人很舒服。你知道吗，恶魔先生，我对你……
sc232_spa_2	成为你的Child，到底是命运，还是我自己的选择？
sc232_spa_3	你也想喝冰柠檬汁？呼呼呼。我们想的一样。★
sc232_spa_4	话痨恶魔，你的声音很好听。你能为我唱首歌吗？♪
sc232_spa_max	我担心这只是一场梦，醒来后，一切的一切都会消失。不过就算如此，我也不会忘记你的。
sc233_spa_1	嘿嘿……可别乱来哦。
sc233_spa_2	早安啊，主人。\啊？已经是晚上了？
sc233_spa_3	你知道我等主人等了多久吗？其实最近我的电力有点不稳定，我可能会电——啊！主人，小心！
sc233_spa_4	主人，我真的很喜欢你。抱歉，我烧坏了你的计算机。嘿嘿。这是我的错。抱歉喔♥
sc233_spa_max	你生气的时候真的很可怕，不过我知道，你这是在担心我。啊，我又电到你了吗？
sc234_spa_1	我感觉心中的火焰再次对生命发出了怒吼。
sc234_spa_2	我会自己决定如何使用我的力量！我的行动，我的选择——都由我自己做主！
sc234_spa_3	我们井水不犯河水。
sc234_spa_4	你需要我的力量吗？给我个理由。一个必须要我去完成任务的理由！
sc234_spa_max	我理解你的想法。因为我也有类似的想法。
sc235_spa_1	你是不是看到了？有吗？你最好没看到。
sc235_spa_2	唉……真没什么事。什么事？喔，就是我今天惩罚了一些坏人。
sc235_spa_3	你说谁「仁慈」啊？我？只要不惹我就行。
sc235_spa_4	因为你太弱，所以其他人不把你当回事？下次再被人欺负，就来找我吧。
sc235_spa_max	喔，你已经到了啊？今天你独立完成任务了吗？你要改掉总是依赖别人的习惯，学会靠自己的力量去战斗。
sc237_spa_1	嗯，我还挺喜欢这个的！\嘻嘻♪
sc237_spa_2	梅芙每天都在捉弄我。\当然，她在事后都会道歉。 呵呵。
sc237_spa_3	我用了些方法放弃魔王争夺战。\梅芙和艾丽帮了我。\我听说还有几个恶魔跟我一样。\我松了一口气。 跟我一样笨的恶魔是怎么成为候补生的呢？
sc237_spa_4	感谢今天你带来的乐趣。\如果你需要我的帮忙，\就跟我说。 我不会\拖累你的。
sc237_spa_5	万圣节真好玩。\我希望每天都是万圣节，而不是一年只有一天。\但你不会懂的。\你的生活太精彩了！
sc237_spa_max	我还是个门外汉，\但我很快就能很专业地帮你拍照了。\我不会放弃我唯一的兴趣。\所以……不要先我一步回到魔界好吗？
sc238_spa_1	喔喔喔，我的背和脚痛死了……快啊！别光看着，动手按摩吧！
sc238_spa_2	哎……你鬼鬼祟祟的在调查什么？我知道你有事想问。一看就知道！
sc238_spa_3	艾丽和堤丰？他们俩个一点野心都没有！他们为什么不能参加魔王争夺战呢？他们当中任何一个人当上魔王，都会很有趣的。
sc238_spa_4	我真的看不出来你有没有长进。你知道你能活到现在，都是你助手的功劳吗？恶魔，我也见过不少，你是我见过最弱的。
sc238_spa_5	人界比我想象中的还要有趣。你不用像在魔界里那样，时刻紧绷着。这就是你喜欢这里的原因吧？很合理。
sc238_spa_max	说真的，没有我，你该怎么办啊？要是我可爱的弟子莫名其妙的被恶魔给打倒了，我会很丢脸的。所以跟紧我，知道吗？
sc239_spa_1	这……魔法般的味道是什么？！
sc239_spa_2	格琳戴儿那家伙真的让我很不爽。\她到底做好要跟我一战的觉悟了没？
sc239_spa_3	只要让我不爽，就算只有一点点，我也会把你炸飞。\那是怎样？你怕了吗？哈哈哈！
sc239_spa_4	伙伴？要那些东西干嘛？\只会带来麻烦而已。不过如果你坚持的话，\那就告诉我要做什么吧。
sc239_spa_5	如果有看不顺眼的人，那就把他们炸飞。\怎么，你怕了吗？需要我帮你吗？\哈哈哈！就交给我吧！
sc239_spa_max	你是因为寂寞，才一直做出Child的吗？\虽然不是我的风格，但我会\陪你玩这朋友游戏的。
sc242_spa_1	嗯！嗯 ！人界里有趣的事情还真多呢。
sc242_spa_2	除了我们之外，还有其他的应援团吗？有啊，不过他们只会加油。我们应该是唯一一个偶尔会搞点恶作剧的应援团。
sc242_spa_3	你别晃了！你都在想些什么啊？！只要稍不注意，男人就会想做坏事。\你怎么臭着一张脸啊？
sc242_spa_4	恶魔的恶作剧很好玩的，因为它们没什么意义！只是为了搞笑！我也没办法控制自己。因为这实在是太好玩了。
sc242_spa_5	我遇到堤丰后，花了100年的时间来捉弄他。他真的又可爱又天真。你的话，我想最少也能玩个……200年吧。
sc242_spa_max	你说我们的相遇就像幻觉？幻觉不就等于什么都没发生嘛。你无法预知未来。谁知道我们会不会以其他方式见面呢？
sc246_spa_1	请不要一直盯着我看……
sc246_spa_2	哈喽！我就是你的专属圣诞礼物：坎卜斯！★惊喜吧？
sc246_spa_3	你怎么这么安静啊？在害羞吗，还是怎么了？……喔，看来我猜中了？哈哈哈！真可爱♥★
sc246_spa_4	我帮你只是随心情。★你可别觉得我这随心所欲的个性不好。
sc246_spa_5	你看到的不一定是可信的。当然，看不到的东西，也别盲目地去相信。
sc246_spa_max	前主人抛弃我时，我受到了不小的打击，因为你，我才可以撑过来！啊？你不相信我？
sc247_spa_1	这算什么温泉？连一朵花瓣都没看到……真差劲。
