// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
2332	ห้องรอ	แพลนเนตปาร์ตี้เตรียมตัวก่อนการแสดง\สามารถได้ยินเสียงแฟนเพลงตะโกนเชียร์วงอยู่ด้านนอก
2335	ห้องลับคฤหาสน์บนเกาะอามอส	สถานที่ส่วนตัวของจูโนที่ซ่อนอยู่บนเกาะอามอส
2336	จูโนและคฤหาสน์ของทิวัซ	ห้องนอนในคฤหาสน์ของจูโนและทิวัซ\คฤหาสน์ของพวกเขาใหญ่โตมโหฬาร
2337	สวนของคฤหาสน์บนเกาะอามอส	โอดีซุสดูแลสวนอันงดงามนี้ทุกวัน
2338	คืนหนึ่งในสวน	คืนที่ยาวนานบนเกาะอามอส
2339	บีชคลับ	บีชคลับที่สว่างไสวสวยงามเสิร์ฟค็อกเทลอร่อยๆ ไม่อั้น
2340	คืนหนึ่งในรีสอร์ต	สถานที่ตั้งในรีสอร์ตหรูหราเพื่อดูพระอาทิตย์ตกดิน
2341	คืนหนึ่งบนเกาะอามอส	ถนนชวนฝันบนเกาะอามอสในค่ำคืนกลางฤดูร้อน
2342	ห้องนอนในเกสต์เฮาส์ของทิวัซ	สถานที่ลับซึ่งทิวัซและจูโนซักเสื้อผ้าสกปรก
2343	คืนหนึ่งในเกสต์เฮาส์	สถานที่หรูหราแต่ทิวัซเกลียดการอยู่ในเกสต์เฮาส์นี้เพียงลำพัง
2344	เกสต์เฮาส์ของทิวัซ	เกสต์เฮาส์สุดหรูที่แสดงถึงรสนิยมของทิวัซ
2345	ห้องผู้ป่วยของซิว่า	ห้องผู้ป่วยแสนอบอุ่นที่มีร่องรอยของเจ้าของห้องผู้ใจดีทุกหนทุกแห่ง
2346	โลกของจินตมณี	โลกแปลกประหลาดที่มีสีขาวกับดำซึ่งจินตมณีสร้างขึ้น
2347	สนามแข่ง D1	สนามแข่งที่แผ่กว้างออกไปไม่มีที่สิ้นสุด ช่วยให้คนขับเพลิดเพลินไปกับการเร่งความเร็ว
2348	อัฒจันทร์สนามแข่ง D1	อัฒจันทร์สที่สามารถรองรับปีศาจได้เป็นร้อยเป็นพัน
2349	จินตมณีของโลกิ	จินตมณีตามความต้องการของโลกิ
2350	ที่ซ่อนของจูดาส	ที่ซ่อนสุดมืดและอับชื้นของจูดาส
2351	จักรวาลของจูดาส	ที่นี่มันเป็นเรื่องของการคัดเลือกตามธรรมชาติ
2354	แล็บของบาเบล	ห้องแล็บลับที่ใช้ปลูกพืชต้องคำสาป "โลหิตปีศาจ"
2355	ห้องโถงของโลกิ	ห้องโถงของโลกิ ราชาที่กำลังจะมาถึง
2356	พื้นที่ของจินตมณีที่กำลังเผาไหม้	ความบ้าคลั่งที่แฝงเข้ามาในจิตใจของมิตราได้ปะทุขึ้นมา
2357	จักรวาลแห่งความบ้าคลั่ง	ภายในตัวใครบางคนที่เสียสติ ร้อนยิ่งกว่านรกและเต็มไปด้วยความเจ็บปวดอย่างแสนสาหัส
2358	ห้องโถงมืด	เสียงแปลกๆ ดังมาจากห้องโถงที่ว่างเปล่า นั่นเสียงลมหรือเสียงหัวเราะของใครบางคนหรือเปล่านะ?
2374	ถ้ำในป่า	ถ้ำลึกในป่า บางทีมันอาจจะไม่ได้ว่างเปล่าเหมือนอย่างที่เห็นก็ได้
2375	เพลิงที่กำลังมอด	เปลวไฟกำลังจะมอด แต่ความร้อนที่สุดจะทนและความเจ็บปวดอันแสนสาหัสนี้จะหายไปด้วยหรือเปล่า
2376	อาณาเขตจักรวาลของมิเรียม	คุกแห่งการลงโทษที่เตรียมไว้สำหรับผู้ที่ถูกกำหนดมาให้สูญพันธุ์
2377	จักรวาลของบาโทรี	นรกที่ถูกเลือกมาด้วยความสมัครใจโดยหวังว่าจะมีแสงจากสรวงสวรรค์สาดส่องลงมา...
2378	ฉากหลังแสงไฟนีออน	ชั่วโมงแห่งแสงไฟนีออนบอกเวลาเริ่มต้นของรัตติกาล
2379	หอแห่งปีศาจตนนั้นในยามราตรี	ข้างหน้าบ้านของปีศาจตนนั้นที่เงียบอย่างเหลือเชื่อ
2381	บ้านของมิเรียม	ความทรงจำอันอบอุ่นที่ซ่อนอยู่ภายใต้ความทรงจำ ความทรงจำที่สูญเสียไปซึ่งไม่สามารถปกป้องได้อีกต่อไป
2382	สมาคมเอ็กโซซิสต์สาขายุโรป	แท่นบูชาที่สร้างขึ้นตามประวัติศาสตร์ความเชื่ออันเป็นนิรันดร์ ถึงอย่างนั้น แท่นบูชาแห่งแสงสว่างก็ยังมีเงามืด
2383	บ้านของผู้บูชาปีศาจ	ไม่มีอะไรจะไร้ความหมายไปมากกว่าความเชื่อ ที่นี่ ผู้ที่ถูกทดสอบความเชื่อจะพบจุดจบอันน่าเศร้า
2384	อาณาเขตของคาดูเซอุส	ในมุมมืดของจิตใจคน คาดูเซอุสตวัดลิ้น
2385	ห้องผู้ป่วย	เมื่อเกิดเหตุฉุกเฉิน แม้แต่ปีศาจก็ไปโรงพยาบาลในโลกมนุษย์
2386	สตูดิโอ	ที่นี่เป็นทั้งบ้านสำหรับพักผ่อนและสตูดิโอสำหรับฝึกซ้อมจนไฟลุก
2387	เทศกาลโคมไฟกระดาษ	ต้อนรับปีใหม่นี้ด้วยการใส่คำอธิษฐานปีใหม่ของคุณลงในโคมไฟกระดาษและปล่อยโคมไฟให้ลอยไป
2445	ห้องแสดงคอนเสิร์ตของแพลนเนตปาร์ตี้	สถานที่จัดแสดงคอนเสิร์ตเดี่ยวของวงแพลนเนตปาร์ตี้\มาชมการแสดงอันน่าทึ่งและเพลงเพราะๆ ของวงกันได้เลย
2454	ลานน้ำแข็งคริสต์มาส	มาเล่นสเก็ตกันในวันคริสต์มาสกันเถอะ
2455	คืนก่อนปีใหม่	พระอาทิตย์ดวงใหม่ยังไม่ขึ้น แต่ท้องฟ้าก็เริ่มสว่างสดใส เบิกทางให้ดวงอาทิตย์
3	พื้นหลังสีม่วง	มิติย่อยสีม่วงที่คล้ายกับท้องฟ้ายามราตรีของโลกปีศาจ
3046	ทิวทัศน์ชายฝั่ง	แสงไฟจากเมืองหลอมรวมกับระลอกคลื่นเหนือผิวน้ำของแม่น้ำลึก
3059	โบสถ์น้อย	สถานที่ศักดิ์สิทธิ์ที่เหล่าเอ็กโซซิสต์ใช้ประกอบพิธีกรรม
4	พื้นหลังสีทอง	มิติย่อยสีทองที่คล้ายกับท้องฟ้าดาวพร่างพรายของโลกปีศาจ
5	พื้นหลังสีเขียว	มิติย่อยสีเขียวที่คล้ายกับมอสของโลกปีศาจ
6	พื้นหลังสีแดง	มิติย่อยสีแดงที่คล้ายกับลาวาของโลกปีศาจ
7	ไม่มีชื่อ	[ไม่มีคำอธิบาย]
8	ไม่มีชื่อ	[ไม่มีคำอธิบาย]
9	ไม่มีชื่อ	[ไม่มีคำอธิบาย]
